31-1.31,6/2/2007,7:34 AM.1
x,y,t
46.42,90.41,0.00
45.98,89.53,0.08
44.87,88.86,0.18
43.33,87.98,0.28
42.00,87.54,0.38
41.12,86.65,0.48
40.23,85.77,0.58
39.79,84.66,0.68
40.23,83.12,0.78
41.12,81.57,0.88
42.44,79.58,0.98
43.77,77.59,1.08
44.21,76.49,1.18
44.21,75.16,1.28
43.55,74.27,1.38
42.22,73.61,1.48
40.90,72.95,1.58
39.13,71.84,1.68
38.02,70.74,1.78
36.47,68.31,1.88
35.59,66.32,1.98
34.71,63.44,2.08
34.71,60.13,2.18
34.71,57.92,2.28
35.59,55.48,2.38
36.92,52.83,2.48
38.46,50.84,2.58
39.79,48.85,2.68
41.34,47.08,2.78
42.44,45.98,2.88
43.55,46.20,2.98
44.43,46.20,3.08
44.87,47.08,3.18
44.87,49.07,3.28
44.65,50.84,3.38
44.21,53.05,3.48
43.99,55.71,3.58
42.88,57.92,3.68
41.56,59.69,3.78
39.35,61.45,3.88
37.36,63.00,3.98
34.93,64.33,4.08
32.72,65.21,4.18
30.28,65.43,4.28
28.07,65.87,4.38
25.64,66.76,4.48
24.32,67.42,4.58
22.33,68.53,4.68
21.00,69.85,4.78
19.45,71.18,4.88
17.68,72.51,4.98
16.14,73.39,5.08
14.81,73.83,5.18
13.48,73.39,5.28
11.94,72.73,5.38
10.83,71.40,5.48
9.95,70.30,5.58
9.73,68.97,5.68
10.39,68.31,5.78
11.27,67.20,5.88
12.60,67.20,5.98
14.81,67.20,6.08
17.02,67.86,6.18
18.79,68.75,6.28
21.00,70.30,6.38
22.77,72.06,6.48
24.32,74.27,6.58
25.86,76.26,6.68
27.41,78.25,6.78
28.96,80.02,6.88
31.17,81.35,6.98
32.72,81.79,7.08
34.04,81.13,7.18
35.59,80.46,7.28
37.14,79.36,7.38
38.68,77.81,7.48
40.23,76.71,7.58
42.00,76.26,7.68
44.21,76.26,7.78
46.42,76.49,7.88
48.85,77.37,7.98
51.28,78.70,8.08
53.50,79.80,8.18
55.93,80.91,8.28
58.36,82.23,8.38
59.46,82.45,8.48
60.79,82.01,8.58
62.34,81.79,8.68
62.34,81.13,8.78
62.34,80.24,8.88
62.12,79.58,8.98
61.01,78.25,9.08
59.91,77.15,9.18
58.14,75.38,9.28
56.59,73.61,9.38
54.82,71.84,9.48
53.05,69.63,9.58
51.06,67.86,9.68
48.85,65.87,9.78
46.64,63.89,9.88
44.65,62.12,9.98
42.66,59.91,10.08
40.90,57.92,10.18
39.35,56.37,10.28
37.36,55.26,10.38
35.15,54.82,10.48
32.94,55.26,10.58
30.73,55.48,10.68
28.07,55.93,10.78
25.64,56.81,10.88
23.65,57.92,10.98
21.44,59.24,11.08
19.90,61.23,11.18
18.35,63.22,11.28
17.02,65.21,11.38
16.36,67.20,11.48
16.14,69.85,11.58
16.36,72.29,11.68
16.80,74.94,11.78
17.68,77.37,11.88
18.79,79.58,11.98
20.12,81.57,12.08
21.88,83.34,12.18
23.87,85.11,12.28
25.86,86.87,12.38
28.07,88.42,12.48
30.28,89.75,12.58
32.05,90.41,12.68
34.26,90.41,12.78
35.81,90.19,12.88
37.58,89.31,12.98
39.13,87.98,13.08
40.67,86.43,13.18
42.44,85.11,13.28
44.43,83.34,13.38
46.64,81.35,13.48
48.41,78.92,13.58
49.96,76.71,13.68
51.28,74.50,13.78
52.61,71.84,13.88
53.72,68.97,13.98
54.60,66.32,14.08
55.26,63.66,14.18
55.26,61.23,14.28
55.04,58.80,14.38
54.60,56.59,14.48
53.94,54.38,14.58
52.83,52.17,14.68
51.28,50.18,14.78
49.74,48.41,14.88
47.53,47.08,14.98
45.32,45.98,15.08
42.88,45.32,15.18
40.23,45.32,15.28
37.36,44.87,15.38
34.71,45.10,15.48
31.83,45.32,15.58
28.96,45.76,15.68
26.08,45.76,15.78
23.43,45.98,15.88
20.78,45.76,15.98
18.13,45.54,16.08
15.69,45.10,16.18
13.26,45.32,16.28
10.83,45.32,16.38
8.84,45.32,16.48
7.29,45.76,16.58
6.63,45.98,16.68
6.85,45.98,16.78
7.52,45.76,16.88
7.74,45.76,16.98
7.52,45.76,17.08
8.18,46.20,17.18
8.62,46.86,17.28
9.28,48.19,17.38
10.17,49.52,17.48
11.49,51.28,17.58
12.60,53.50,17.68
13.71,55.71,17.78
15.25,57.92,17.88
16.36,60.35,17.98
17.91,63.00,18.08
19.45,65.21,18.18
21.22,67.86,18.28
22.99,70.30,18.38
24.54,72.95,18.48
26.53,75.16,18.58
28.52,77.15,18.68
30.51,79.36,18.78
32.94,80.69,18.88
35.59,81.79,18.98
38.24,82.90,19.08
40.90,84.22,19.18
43.55,85.11,19.28
45.76,85.55,19.38
47.31,85.55,19.48
49.07,85.11,19.58
50.40,84.44,19.68
51.51,83.34,19.78
51.95,81.79,19.88
51.95,79.80,19.98
52.17,77.81,20.08
52.83,75.60,20.18
53.72,73.39,20.28
54.60,71.40,20.38
55.04,69.63,20.48
54.82,67.64,20.58
54.16,66.10,20.68
53.50,64.33,20.78
52.39,62.56,20.88
50.62,60.79,20.98
49.30,59.02,21.08
47.53,57.03,21.18
