31-1.36,6/4/2007,1:19 PM
x,y,t
45.10,89.97,0.00
44.65,89.97,0.07
43.99,89.97,0.17
43.33,89.31,0.27
42.66,88.64,0.37
42.22,87.76,0.47
42.00,86.87,0.57
42.44,85.11,0.67
43.33,83.56,0.77
43.99,82.01,0.87
44.43,81.13,0.97
44.43,80.02,1.07
43.99,79.14,1.17
43.55,78.25,1.27
43.11,78.03,1.37
41.78,78.03,1.47
40.45,77.81,1.57
38.46,77.37,1.67
36.70,76.93,1.77
34.48,76.71,1.87
32.72,76.93,1.97
30.73,77.37,2.07
28.74,78.70,2.17
26.53,80.02,2.27
25.42,81.35,2.37
23.87,82.67,2.47
23.87,83.34,2.57
23.87,84.22,2.67
24.54,85.33,2.77
26.08,85.55,2.87
27.85,85.99,2.97
30.06,85.33,3.07
31.83,84.22,3.17
32.72,83.12,3.27
33.82,81.57,3.37
35.37,80.46,3.47
36.47,78.92,3.57
36.25,77.59,3.67
35.59,75.82,3.77
34.93,74.94,3.87
33.38,74.50,3.97
31.61,74.27,4.07
29.40,73.39,4.17
27.41,72.29,4.27
25.86,70.96,4.37
24.76,69.85,4.47
24.88,68.97,4.57
24.98,68.09,4.67
25.42,68.53,4.77
26.08,69.19,4.87
26.75,70.74,4.97
27.19,72.73,5.07
28.07,74.94,5.17
29.18,76.93,5.28
30.51,78.25,5.37
32.72,79.58,5.47
34.48,79.80,5.57
35.37,79.36,5.67
36.03,78.70,5.77
36.25,77.37,5.87
36.03,75.60,5.97
36.03,73.39,6.07
35.37,71.84,6.17
34.93,70.52,6.27
33.60,69.19,6.37
31.83,68.31,6.47
30.73,68.53,6.57
28.96,69.19,6.67
27.63,70.07,6.77
26.53,71.40,6.87
24.98,73.17,6.97
23.65,74.72,7.07
21.66,76.26,7.17
19.90,77.59,7.27
18.13,78.70,7.37
16.80,79.36,7.47
15.92,79.14,7.57
14.59,78.92,7.67
13.71,78.25,7.77
13.04,76.71,7.87
12.82,75.60,7.97
13.48,74.27,8.07
14.59,73.17,8.17
15.92,71.62,8.27
17.68,70.30,8.37
19.23,68.75,8.47
20.78,66.98,8.57
22.55,65.65,8.67
23.65,64.99,8.77
24.76,64.99,8.87
25.86,65.43,8.97
26.97,66.54,9.07
27.63,68.31,9.17
28.07,70.30,9.27
28.30,72.95,9.37
28.52,75.38,9.47
28.96,77.81,9.57
29.84,79.80,9.67
30.73,81.79,9.77
32.05,83.34,9.87
33.38,85.33,9.97
34.71,87.32,10.07
35.59,89.31,10.17
36.92,90.63,10.27
37.80,91.74,10.37
38.68,92.18,10.47
39.79,92.18,10.57
40.67,91.74,10.67
41.34,90.85,10.77
41.78,89.31,10.87
42.88,87.76,10.97
44.21,86.21,11.07
45.98,84.44,11.17
48.19,83.34,11.27
50.84,82.23,11.37
53.27,80.69,11.47
55.48,79.14,11.57
57.70,77.15,11.67
59.24,74.72,11.77
60.79,72.29,11.87
61.01,70.07,11.97
60.57,67.64,12.07
60.13,65.21,12.17
59.02,63.89,12.27
58.14,62.56,12.37
56.37,62.12,12.47
54.38,61.67,12.57
52.17,61.67,12.67
49.74,62.34,12.77
47.31,63.22,12.87
44.65,64.33,12.97
42.00,65.21,13.07
39.13,66.54,13.17
36.47,67.64,13.27
33.60,68.53,13.37
30.95,69.19,13.47
27.85,69.19,13.57
24.98,68.97,13.67
22.33,68.31,13.77
19.67,68.31,13.87
17.02,68.31,13.97
14.37,68.53,14.07
11.94,68.31,14.17
10.17,67.86,14.27
8.18,66.98,14.37
6.41,65.43,14.47
5.31,63.66,14.57
4.42,62.12,14.67
4.20,60.35,14.77
4.20,59.02,14.87
4.20,57.92,14.97
4.64,56.81,15.07
5.08,55.26,15.17
5.31,53.72,15.27
6.63,51.95,15.37
7.29,50.18,15.47
8.18,48.63,15.57
8.40,47.31,15.67
7.96,45.98,15.77
7.52,44.43,15.87
7.07,43.33,15.97
6.63,42.22,16.07
6.41,40.90,16.17
6.85,39.79,16.27
7.29,38.46,16.37
7.74,36.70,16.47
8.18,35.15,16.57
8.62,33.60,16.67
9.73,31.83,16.77
10.83,29.62,16.87
12.16,28.30,16.97
13.71,26.08,17.07
15.25,23.87,17.17
17.02,22.11,17.27
19.01,20.56,17.37
20.34,18.57,17.47
22.55,17.02,17.57
24.10,15.25,17.67
26.31,13.48,17.77
28.07,12.16,17.87
30.06,10.61,17.97
32.27,9.51,18.07
34.71,8.40,18.17
36.70,7.74,18.27
39.35,8.18,18.37
42.66,9.95,18.47
44.43,11.94,18.57
45.32,13.93,18.67
45.54,16.58,18.77
45.76,19.23,18.87
45.98,21.88,18.97
46.20,24.76,19.07
46.64,27.41,19.17
46.20,30.51,19.27
45.76,33.60,19.37
44.65,36.70,19.47
43.77,39.79,19.57
42.88,42.66,19.67
42.22,45.76,19.77
42.00,49.07,19.87
42.00,52.17,19.97
42.22,55.48,20.07
42.22,58.80,20.17
41.78,62.12,20.27
41.12,65.21,20.37
40.23,68.09,20.47
38.91,70.74,20.57
38.02,73.61,20.67
37.14,76.26,20.77
36.70,78.92,20.87
35.59,81.79,20.97
34.26,83.78,21.07
32.50,85.33,21.17
30.73,85.99,21.27
28.74,85.99,21.37
26.75,85.55,21.47
24.98,84.44,21.57
22.77,83.34,21.67
21.22,81.79,21.77
19.23,80.46,21.87
17.68,79.36,21.97
15.47,78.92,22.07
13.26,78.25,22.17
11.49,77.59,22.27
10.61,76.93,22.37
10.17,76.49,22.47
9.95,75.82,22.57
9.51,75.38,22.67
10.83,74.50,22.77
13.71,72.51,22.87
16.58,71.40,22.97
18.79,70.52,23.07
21.22,70.52,23.17
23.87,70.74,23.27
26.53,70.74,23.37
29.18,70.52,23.47
31.61,70.74,23.57
34.26,71.40,23.67
36.47,72.29,23.77
39.13,73.83,23.87
41.56,75.16,23.97
43.99,76.49,24.07
46.64,78.25,24.17
49.07,79.80,24.27
51.95,81.13,24.37
54.60,82.23,24.47
57.70,82.90,24.57
60.13,82.67,24.67
62.12,82.01,24.77
63.66,80.91,24.87
64.99,79.14,24.97
64.99,77.81,25.07
64.77,75.82,25.17
63.66,74.05,25.27
62.34,72.73,25.37
60.79,71.62,25.47
58.80,70.74,25.57
56.81,70.52,25.67
54.38,69.63,25.77
52.17,68.31,25.87
49.96,67.20,25.97
47.53,66.10,26.07
44.87,65.21,26.17
42.22,64.99,26.27
39.35,64.99,26.37
36.47,64.77,26.47
33.60,64.77,26.57
30.51,64.33,26.67
27.85,63.89,26.77
24.54,63.66,26.87
21.44,63.22,26.97
18.57,62.34,27.07
15.69,61.01,27.17
13.48,59.46,27.27
11.05,57.92,27.37
9.06,56.15,27.47
6.85,54.16,27.57
5.53,52.39,27.67
4.42,50.40,27.77
4.64,48.85,27.87
4.64,47.31,27.97
5.53,46.42,28.07
6.63,45.54,28.17
8.18,44.21,28.27
9.95,43.55,28.37
11.94,42.66,28.47
14.15,42.22,28.57
16.58,41.78,28.67
19.01,41.78,28.77
21.66,41.56,28.87
24.54,41.34,28.97
27.19,40.90,29.07
30.28,40.67,29.17
33.16,40.01,29.27
35.81,39.35,29.37
38.46,38.46,29.47
41.34,37.80,29.57
43.99,36.92,29.67
46.64,35.81,29.77
49.30,34.48,29.87
51.51,32.94,29.97
53.94,31.17,30.07
55.93,29.18,30.17
57.92,26.97,30.27
