31-1.38,6/4/2007.2,1:30 PM
x,y,t
7.52,46.64,0.00
7.52,47.08,0.08
7.29,47.31,0.18
7.07,47.53,0.28
7.29,47.97,0.38
7.52,48.19,0.48
7.52,47.53,0.58
7.74,47.31,0.68
8.62,47.08,0.78
9.51,45.98,0.88
9.95,45.32,0.98
10.61,44.87,1.08
11.27,44.43,1.18
11.94,44.21,1.28
12.16,44.65,1.38
13.04,45.10,1.48
13.48,45.76,1.58
14.37,47.08,1.68
14.37,48.41,1.78
14.37,49.96,1.88
14.37,50.40,1.98
14.59,51.28,2.08
14.59,52.17,2.18
14.59,52.83,2.28
14.81,53.50,2.38
15.03,53.50,2.48
15.47,53.27,2.58
15.69,53.05,2.68
16.14,53.27,2.78
16.36,53.05,2.88
16.80,53.94,2.98
17.24,54.82,3.08
17.91,55.71,3.18
18.13,57.47,3.28
18.57,59.24,3.38
19.45,61.01,3.48
20.12,63.00,3.58
21.00,64.77,3.68
21.88,66.76,3.78
22.33,68.75,3.88
23.21,70.30,3.98
23.87,71.40,4.08
24.76,72.51,4.18
25.64,73.83,4.28
27.41,74.72,4.38
29.18,75.16,4.48
31.17,75.38,4.58
32.94,75.38,4.68
34.04,74.94,4.78
35.15,74.50,4.88
35.59,73.83,4.98
36.47,73.17,5.08
37.14,72.73,5.18
37.58,73.17,5.28
38.02,73.61,5.38
38.46,73.83,5.48
38.02,74.50,5.58
37.58,75.38,5.68
36.70,75.60,5.78
35.81,74.94,5.88
34.93,74.27,5.98
34.04,72.95,6.08
33.16,70.96,6.18
32.50,68.97,6.28
31.39,66.76,6.38
30.28,64.55,6.48
28.96,62.12,6.58
28.07,59.69,6.68
28.30,57.70,6.78
28.74,55.48,6.88
29.84,53.50,6.98
30.95,51.28,7.08
32.27,49.07,7.18
33.16,46.64,7.28
33.38,44.65,7.38
32.72,42.88,7.48
31.83,41.56,7.58
30.95,40.45,7.68
29.62,40.45,7.78
29.18,40.90,7.88
28.30,41.78,7.98
27.41,42.88,8.08
27.19,44.65,8.18
26.97,46.20,8.28
26.75,47.97,8.38
26.53,50.18,8.48
26.08,52.61,8.58
25.42,54.38,8.68
24.10,55.93,8.78
22.55,57.03,8.88
21.00,57.47,8.98
20.34,57.25,9.08
19.23,56.37,9.18
18.57,56.15,9.28
19.01,55.48,9.38
19.23,54.60,9.48
20.12,53.27,9.58
21.44,51.95,9.68
22.77,50.84,9.78
23.87,49.07,9.88
24.76,47.08,9.98
25.42,45.32,10.08
25.64,43.11,10.18
26.08,41.56,10.28
26.97,40.23,10.38
27.85,39.35,10.48
28.74,38.91,10.58
29.62,39.35,10.68
30.73,40.01,10.78
31.61,41.12,10.88
32.05,42.22,10.98
31.83,43.99,11.08
31.61,46.20,11.18
31.61,48.41,11.28
31.61,50.62,11.38
31.61,52.83,11.48
30.95,55.04,11.58
30.28,57.03,11.68
29.18,59.02,11.78
28.30,61.01,11.88
28.07,63.00,11.98
28.07,65.43,12.08
28.30,67.86,12.18
28.07,69.63,12.28
27.41,70.96,12.38
26.75,72.51,12.48
25.42,72.73,12.58
24.32,72.73,12.68
22.77,72.29,12.78
21.66,71.18,12.88
20.12,69.85,12.98
18.57,68.31,13.08
17.02,66.54,13.18
15.69,64.99,13.28
14.59,63.00,13.38
13.48,60.79,13.48
12.60,58.80,13.58
11.94,57.25,13.68
11.05,55.93,13.78
10.61,54.60,13.88
9.73,53.50,13.98
9.28,52.17,14.08
9.28,50.62,14.18
9.95,49.52,14.28
10.39,48.41,14.38
11.27,47.31,14.48
13.04,46.42,14.58
14.37,45.76,14.68
16.36,44.43,14.78
18.13,43.11,14.88
19.90,41.34,14.98
21.44,39.35,15.08
22.55,37.14,15.18
23.87,34.71,15.28
25.20,33.16,15.38
26.31,31.83,15.48
27.85,31.17,15.58
29.40,31.39,15.68
30.95,31.61,15.78
32.72,32.27,15.88
34.71,33.38,15.98
36.70,34.26,16.08
38.68,35.81,16.18
40.23,37.14,16.28
41.34,39.13,16.38
41.78,41.34,16.48
42.22,43.55,16.58
42.88,45.98,16.68
43.33,48.41,16.78
43.99,51.06,16.88
44.65,53.94,16.98
45.76,56.59,17.08
47.08,59.46,17.18
48.63,62.12,17.28
49.96,64.99,17.38
51.51,67.64,17.48
53.05,70.30,17.58
54.38,73.17,17.68
55.48,75.82,17.78
56.81,78.47,17.88
58.14,80.91,17.98
59.69,83.34,18.08
61.23,85.55,18.18
63.00,87.76,18.28
64.33,90.19,18.38
65.65,92.40,18.48
66.76,94.61,18.58
66.98,96.38,18.68
66.54,98.15,18.78
65.43,99.48,18.88
64.33,100.58,18.98
62.56,100.14,19.08
60.79,99.48,19.18
57.47,95.94,19.28
54.82,92.84,19.38
52.61,90.19,19.48
50.84,87.98,19.58
49.07,85.77,19.68
47.08,83.56,19.78
45.10,82.01,19.88
43.11,80.02,19.98
40.90,77.81,20.08
39.13,75.82,20.18
36.92,73.61,20.28
35.37,71.18,20.38
33.60,68.75,20.48
31.39,66.32,20.58
29.40,63.89,20.68
27.19,61.45,20.78
25.20,59.24,20.88
23.21,56.81,20.98
21.44,54.16,21.08
20.56,51.28,21.18
19.90,48.63,21.28
19.67,45.98,21.38
19.67,42.88,21.48
20.12,40.45,21.58
20.78,37.80,21.68
21.44,35.15,21.78
22.33,32.27,21.88
23.43,29.84,21.98
24.54,27.41,22.08
25.86,25.20,22.18
27.41,23.43,22.28
29.18,21.88,22.38
30.95,20.78,22.48
32.50,20.34,22.58
34.48,19.67,22.68
36.03,19.01,22.78
37.58,18.13,22.88
39.35,16.80,22.98
40.45,15.47,23.08
41.78,13.71,23.18
42.88,11.72,23.28
44.43,9.73,23.38
45.76,7.96,23.48
47.31,6.63,23.58
48.41,5.53,23.68
49.52,5.08,23.78
50.84,5.08,23.88
52.17,6.41,23.98
53.72,7.96,24.08
54.60,10.39,24.18
55.48,12.60,24.28
55.93,15.03,24.38
56.37,17.46,24.48
56.81,19.90,24.58
56.81,22.55,24.68
56.81,25.20,24.78
56.59,27.63,24.88
56.37,30.06,24.98
55.48,32.05,25.08
54.38,33.82,25.18
53.50,34.71,25.28
51.73,35.81,25.38
49.74,36.70,25.48
47.97,37.58,25.58
46.20,38.46,25.68
44.43,39.57,25.78
43.11,41.12,25.88
41.34,42.66,25.98
40.01,43.99,26.08
38.46,45.32,26.18
37.80,45.32,26.28
36.70,45.10,26.38
35.81,44.87,26.48
35.15,43.99,26.58
34.26,42.66,26.68
33.16,41.56,26.78
32.50,40.67,26.88
31.61,40.23,26.98
30.51,40.45,27.08
29.62,41.34,27.18
28.52,42.66,27.28
27.63,44.21,27.38
26.75,46.42,27.48
25.64,48.41,27.58
24.32,50.18,27.68
22.55,51.95,27.78
20.56,53.94,27.88
18.57,55.48,27.98
