31-1,5/25/2007,10:07 AM
x,y,t
57.40,91.88,0.00
56.95,92.10,0.07
56.73,92.77,0.16
56.28,93.66,0.26
55.39,94.55,0.36
55.84,95.66,0.46
56.73,97.22,0.56
58.06,98.55,0.66
59.40,98.77,0.76
61.18,98.11,0.86
62.51,96.77,0.96
63.62,95.44,1.06
63.62,94.10,1.16
63.18,92.32,1.26
62.51,90.77,1.36
61.40,89.65,1.46
60.07,88.76,1.56
59.40,87.87,1.66
57.40,86.76,1.76
55.62,86.54,1.86
53.61,86.98,1.96
52.06,87.65,2.06
50.50,88.54,2.16
49.39,89.21,2.26
47.83,88.76,2.36
46.05,87.87,2.46
44.94,86.54,2.56
44.05,84.76,2.66
43.16,82.76,2.76
42.71,80.53,2.86
42.49,78.31,2.96
42.49,76.30,3.06
42.49,74.75,3.16
43.16,73.64,3.26
44.27,72.08,3.36
45.38,70.97,3.46
46.94,70.74,3.56
48.27,71.19,3.66
49.16,71.63,3.76
50.28,72.75,3.86
51.39,74.30,3.96
51.17,75.86,4.06
50.28,77.42,4.16
48.94,78.97,4.26
47.61,80.53,4.36
45.61,82.31,4.46
44.05,84.09,4.56
42.71,86.76,4.66
41.16,89.43,4.76
39.60,91.88,4.86
38.49,94.99,4.96
36.93,97.44,5.06
36.04,99.00,5.16
35.59,99.66,5.26
35.37,99.22,5.36
35.37,98.77,5.46
35.59,98.77,5.56
35.59,98.77,5.66
35.59,99.22,5.76
36.71,98.77,5.86
37.82,98.33,5.96
38.71,98.11,6.06
39.82,97.44,6.16
40.27,96.99,6.26
42.05,94.32,6.36
43.16,92.32,6.46
43.83,89.88,6.56
43.83,87.65,6.66
43.16,85.65,6.76
42.27,83.87,6.86
41.16,82.09,6.96
40.27,80.98,7.06
39.60,78.53,7.16
39.15,75.86,7.26
39.15,73.41,7.36
40.27,70.74,7.46
41.82,67.85,7.56
44.05,65.63,7.66
46.49,63.85,7.76
48.94,62.29,7.86
52.06,62.07,7.96
54.95,62.51,8.06
57.62,63.62,8.16
59.84,64.96,8.26
62.73,65.85,8.36
65.85,66.96,8.46
68.52,68.30,8.56
71.63,69.19,8.66
74.75,70.52,8.76
77.86,71.63,8.86
80.75,72.97,8.96
83.65,74.30,9.06
86.54,75.64,9.16
89.21,77.19,9.26
91.88,78.97,9.36
93.21,80.75,9.46
93.66,81.42,9.56
93.43,80.98,9.66
93.43,80.53,9.76
92.77,80.09,9.86
92.77,80.09,9.96
93.21,80.09,10.06
93.66,80.09,10.16
94.55,80.09,10.26
94.77,78.97,10.36
94.99,78.53,10.46
