Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,CSE,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
2007-03-20,1:01 AM,1,1,26-Apr,26-4 1 1,Thigmotaxis (m),3168.59,20.77,1245.83,53.2,91.65,46.53,59.97,0.08,0,74.11708805,0
2007-03-20,1:05 AM,1,1,26-Jan,26-1 1 1,Thigmotaxis (m),3174.04,15.45,926.29,55.16,85.61,40.28,59.95,0.19,0,71.72758309,0
2007-03-20,1:07 AM,1,1,26-Feb,26-2 1 1,Thigmotaxis (m),929.86,15.94,355.2,48.42,72.45,19.44,22.29,0.28,0,89.30428413,0
2007-03-20,1:09 AM,1,1,26-Mar,26-3 1 1,Thigmotaxis (m),3300.84,18.71,1120.28,56.96,88.71,43.75,59.89,0.16,0,100.1008581,0
2007-03-20,1:13 AM,1,2,26-Apr,26-4 1 2,Thigmotaxis (m),2752.44,16.8,1007.21,48.46,84.65,23.61,59.96,0.23,0,16.51728889,0
2007-03-20,1:15 AM,1,2,26-Jan,26-1 1 2,Scanning (m),1049.09,17.12,582.18,31.99,86.84,43.75,34,0.31,1,64.00388169,0
2007-03-20,1:17 AM,1,2,26-Feb,26-2 1 2,Scanning (m),656.81,15.11,279.91,38.74,78.95,18.06,18.53,0.11,0,58.38950201,0
2007-03-20,1:18 AM,1,2,26-Mar,26-3 1 2,Spatial Indirect (m),167.27,15.73,107.56,30.38,53.7,5.56,6.84,0.45,2,110.684843,0
2007-03-20,1:20 AM,1,3,26-Apr,26-4 1 3,Thigmotaxis (m),2037.82,14.03,840.72,34.9,87.81,36.81,59.94,0.25,0,61.36899397,0
2007-03-20,1:23 AM,1,3,26-Jan,26-1 1 3,Chaining (m),531.27,25.84,289.15,56.36,61.35,23.61,11.19,0.23,1,48.75997864,0
2007-03-20,1:24 AM,1,3,26-Feb,26-2 1 3,Random Search (m),411.02,29.44,296.79,49.52,61.27,20.14,10.08,0.51,0,26.75552552,0
2007-03-20,1:27 AM,1,3,26-Mar,26-3 1 3,Random Search (m),3694.69,16.94,1014.81,63.82,91.1,43.75,59.92,0.09,0,69.85059646,0
2007-03-20,1:29 AM,1,4,26-Apr,26-4 1 4,Random Search (m),2408.26,15.57,932.38,43,90.15,52.08,59.9,0.42,0,131.5128365,0
2007-03-20,1:49 AM,1,1,28-Jan,28-1 1 1,Thigmotaxis (m),3190,21.28,1275.11,53.45,91.95,38.19,59.93,0.2,0,89.1230777,0
2007-03-20,1:52 AM,1,1,28-Feb,28-2 1 1,Thigmotaxis (m),1108.44,20.23,469.63,48.56,81.6,19.44,23.21,0.32,0,54.0132336,0
2007-03-20,1:55 AM,1,1,28-Mar,28-3 1 1,Thigmotaxis (m),3439.06,18.99,1138.92,57.7,90.35,34.72,59.97,0.07,0,52.57860675,0
2007-03-20,1:58 AM,1,1,28-Apr,28-4 1 1,Focal Search (m),65.39,35.32,187.56,14.26,78.88,9.03,5.31,0.39,2,52.75150364,0
2007-03-20,2:02 AM,1,2,28-Jan,28-1 1 2,Chaining (m),976.75,18.91,372.63,56.49,76.95,22.92,19.71,0.23,0,36.23981823,0
2007-03-20,2:04 AM,1,2,28-Feb,28-2 1 2,Thigmotaxis (m),2552.36,16.39,982.19,45.04,89.89,46.53,59.93,0.37,0,68.89154472,0
2007-03-20,2:07 AM,1,2,28-Mar,28-3 1 2,Thigmotaxis (m),2326.39,15.27,915.09,41.76,91.34,22.22,59.93,0.44,0,48.4686025,0
2007-03-20,2:09 AM,1,2,28-Apr,28-4 1 2,Random Search (m),1394.25,21.74,589.82,55.62,79.06,40.97,27.13,0.2,0,73.62174523,0
2007-03-20,2:11 AM,1,3,28-Jan,28-1 1 3,Random Search (m),706.46,17.19,343.42,37.9,80.51,31.25,19.98,0.32,0,44.49551434,0
2007-03-20,2:13 AM,1,3,28-Feb,28-2 1 3,Thigmotaxis (m),3001.31,16.84,1009.17,50.66,93.25,18.75,59.91,0.28,0,22.26946734,0
2007-03-20,2:16 AM,1,3,28-Mar,28-3 1 3,Random Search (m),1720.92,14.07,843.84,29.69,89.8,31.94,59.96,0.27,0,52.86883013,0
2007-03-20,2:18 AM,1,3,28-Apr,28-4 1 3,Random Search (m),938.66,19.68,516.07,36.48,81.96,43.06,26.22,0.35,0,69.01805334,0
2007-03-20,2:21 AM,1,4,28-Jan,28-1 1 4,Random Search (m),2675.67,20.5,1228,46.46,87.86,61.11,59.89,0.29,0,58.05467117,0
2007-03-20,2:23 AM,1,4,28-Feb,28-2 1 4,Thigmotaxis (m),3650.67,15.53,930.39,63.4,86.67,24.31,59.89,0.11,0,84.61527486,0
2007-03-20,2:25 AM,1,4,28-Mar,28-3 1 4,Directed Search (m),560.34,15.54,357.83,30.79,69.98,24.31,23.03,0.72,2,60.95433935,0
2007-03-20,2:27 AM,1,4,28-Apr,28-4 1 4,Thigmotaxis (m),2240.61,17.43,845.26,49.18,83.17,31.94,48.49,0.24,0,60.51482449,0
2007-03-20,2:55 AM,1,1,25-Jan,25-1 1 1,Thigmotaxis (m),1955.62,19.47,1167.72,33.1,86.75,41.67,59.96,0.22,0,50.74445962,0
2007-03-20,2:58 AM,1,1,25-Feb,25-2 1 1,Thigmotaxis (m),2673.65,21.7,1300.53,44.73,92.53,56.25,59.94,0.11,0,58.50212622,0
2007-03-20,3:02 AM,1,1,30-Jan,30-1 1 1,Thigmotaxis (m),1838.64,21.54,840.54,47.53,91.15,31.94,39.02,0.24,0,113.5298968,0
2007-03-20,3:05 AM,1,1,Feb-30,30-2 1 1,Thigmotaxis (m),3686.59,20.99,1258.64,61.86,92.35,36.81,59.96,0.06,0,66.49757481,0
2007-03-20,3:10 AM,1,2,25-Jan,25-1 1 2,Thigmotaxis (m),1911.35,13.14,446.39,62.23,76.62,15.28,33.96,0.11,0,39.91531808,0
2007-03-20,3:12 AM,1,2,25-Feb,25-2 1 2,Thigmotaxis (m),3004.37,19.06,1141.64,52.12,90.36,31.25,59.9,0.24,0,89.74424368,0
2007-03-20,3:15 AM,1,2,30-Jan,30-1 1 2,Thigmotaxis (m),2800.82,20.76,1245.14,48.34,92.2,38.89,59.99,0.22,0,120.0893523,0
2007-03-20,3:17 AM,1,2,Feb-30,30-2 1 2,Thigmotaxis (m),2543.55,16.98,863.39,52.76,84.05,25,50.84,0.24,0,51.67958452,0
2007-03-20,3:21 AM,1,3,25-Jan,25-1 1 3,Thigmotaxis (m),1447.53,14.43,488.03,43.43,88.66,22.92,33.83,0.11,0,97.11007539,0
2007-03-20,3:23 AM,1,3,25-Feb,25-2 1 3,Thigmotaxis (m),2834.53,16.93,1014.04,47.59,93.28,54.17,59.88,0.11,0,119.7519193,0
2007-03-20,3:25 AM,1,3,30-Jan,30-1 1 3,Spatial Indirect (m),80.95,15.36,102.58,22.22,58.66,6.25,6.68,0.4,2,37.3146223,0
2007-03-20,3:28 AM,1,3,Feb-30,30-2 1 3,Thigmotaxis (m),2141.28,16.46,986.5,36.43,90.21,46.53,59.94,0.23,0,31.4334559,0
2007-03-20,3:30 AM,1,4,25-Jan,25-1 1 4,Random Search (m),1195.36,16.29,527.17,40.9,81.14,43.06,32.37,0.33,0,63.53084903,0
2007-03-20,3:32 AM,1,4,25-Feb,25-2 1 4,Random Search (m),2730.41,19,1137.59,47.88,87.68,50,59.88,0.31,0,63.31361613,0
2007-03-20,3:33 AM,1,4,30-Jan,30-1 1 4,Random Search (m),785.28,18.09,381.69,44.33,70.36,25,21.1,0.38,0,16.5810196,0
2007-03-20,3:35 AM,1,4,Feb-30,30-2 1 4,Random Search (m),1156.48,15.03,375.21,52.19,70.93,22.92,24.96,0.32,0,101.145467,0
2007-03-20,10:33 AM,1,1,21-1*,21-1* 1 1,Thigmotaxis (m),2549.13,21.7,1300.08,43,90.15,40.97,59.92,0.2,0,87.79674531,0
2007-03-20,10:37 AM,1,1,21-2*,21-2* 1 1,Thigmotaxis (m),2876.43,20.3,1217.71,48.33,90.82,18.75,59.98,0.24,0,50.77261953,0
2007-03-20,10:39 AM,1,1,21-Mar,21-3 1 1,Spatial Indirect (m),251.34,29.52,257.7,32.37,74.07,9.72,8.73,0.23,2,77.36519641,0
2007-03-20,10:43 AM,1,1,21-4*,21-4* 1 1,Thigmotaxis (m),2964.53,22.94,1375.81,49.76,92.74,40.28,59.97,0.13,0,47.81123148,0
2007-03-20,10:48 AM,1,2,21-Jan,21-1 1 2,Thigmotaxis (m),3866.52,18.01,1079.03,66.92,87.62,33.33,59.91,0.07,0,64.81446327,0
2007-03-20,10:51 AM,1,2,21-Feb,21-2 1 2,Thigmotaxis (m),3333.03,17.24,1032.07,58.38,89.74,18.75,59.88,0.17,0,59.75173987,0
2007-03-20,10:54 AM,1,2,21-Mar,21-3 1 2,Thigmotaxis (m),2796.67,19.08,1143.45,48.82,87.03,34.72,59.92,0.3,0,81.29091973,0
2007-03-20,10:57 AM,1,2,21-Apr,21-4 1 2,Thigmotaxis (m),3356.35,17.1,1024.85,58.22,86.64,29.86,59.95,0.12,0,42.06944698,0
2007-03-20,10:59 AM,1,3,21-Jan,21-1 1 3,Direct swim (m),96.27,19.65,95.7,25.92,54.38,4.86,4.87,0.38,2,84.56104748,0
2007-03-20,11:01 AM,1,3,21-Feb,21-2 1 3,Thigmotaxis (m),2052.95,15.05,684.6,45.73,89.5,29.17,45.49,0.07,0,97.77891508,0
2007-03-20,11:04 AM,1,3,21-Mar,21-3 1 3,Thigmotaxis (m),2662.92,16.15,968.39,45.03,92.71,34.72,59.97,0.17,0,117.4898429,0
2007-03-20,11:07 AM,1,3,21-Apr,21-4 1 3,Thigmotaxis (m),2676.82,16.64,997.18,45.27,91.4,36.11,59.91,0.21,0,55.71593406,0
2007-03-20,11:11 AM,1,4,21-Jan,21-1 1 4,Thigmotaxis (m),3278.17,19.81,1186.21,56.73,90.6,49.31,59.89,0.12,0,89.4396605,0
2007-03-20,11:12 AM,1,4,21-Feb,21-2 1 4,Directed Search (m),222.75,24.67,201.78,38.1,42.74,12.5,8.18,0.58,2,79.05082661,0
