Date,Time,Day,Trial,Sex,Animal uncorrected,Animal,Trial Code,Search Strategy,IPE,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,Entropy,Brittany Strategy,Matthew Strategy,Brittany Strategy Corrected,Matthew Strategy Corrected,BvP,MvP ,MvB
39161,0.45,1,2,F,21-1,21-1,21-1 1 2,Thigmotaxis,3916.85,18.01,1079.03,67.95,87.31,33.33,59.91,0.06,0,66.64768554,14.74,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.457638889,1,3,F,21-1,21-1,21-1 1 3,Indirect Search,104.53,19.65,95.7,29.5,54.01,4.86,4.87,0.38,2,84.59091546,10.17,Direct swim (m),Direct swim (m),Direct Swim,Direct Swim,FALSE,FALSE,TRUE
39161,0.465972222,1,4,F,21-1,21-1,21-1 1 4,Random Search,3268.63,19.81,1186.21,56.56,90.69,49.31,59.89,0.13,0,90.75703313,14.54,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,FALSE,FALSE,TRUE
39161,0.439583333,1,1,F,21-1*,21-1,21-1* 1 1,Thigmotaxis,2471.12,21.7,1300.08,41.63,90.64,40.28,59.92,0.22,0,86.74993961,14.34,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.452083333,1,2,F,21-2,21-2,21-2 1 2,Thigmotaxis,3456.51,17.24,1032.07,60.65,89.66,18.75,59.88,0.16,0,61.07246151,14.31,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.459027778,1,3,F,21-2,21-2,21-2 1 3,Thigmotaxis,2168.68,15.05,684.6,48.51,91.08,29.17,45.49,0.07,0,97.89720272,13.53,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.466666667,1,4,F,21-2,21-2,21-2 1 4,Indirect Search,219.12,24.67,201.78,37.65,49.64,12.5,8.18,0.58,2,78.08177657,12.09,Directed Search (m),Directed Search (m),Directed Search,Directed Search,FALSE,FALSE,TRUE
39161,0.442361111,1,1,F,21-2*,21-2,21-2* 1 1,Thigmotaxis,2776.58,20.3,1217.71,46.62,91.11,18.75,59.98,0.27,0,50.78896927,14.39,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.44375,1,1,F,21-3,21-3,21-3 1 1,Not Recognized,230.8,29.52,257.7,29.56,76.88,9.72,8.73,0.25,0,78.29365186,11.99,Thigmotaxis (m),Spatial Indirect (m),Thigmotaxis,Indirect Search,FALSE,FALSE,FALSE
39161,0.454166667,1,2,F,21-3,21-3,21-3 1 2,Thigmotaxis,2796.52,19.08,1143.45,49,87.43,34.72,59.92,0.28,0,79.61489853,14.79,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.461111111,1,3,F,21-3,21-3,21-3 1 3,Thigmotaxis,2732.66,16.15,968.39,46.39,92.46,34.72,59.97,0.18,0,117.4378973,14.54,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.46875,1,4,F,21-3,21-3,21-3 1 4,Random Search,542.58,19.76,270.46,48.11,71.37,18.75,13.69,0.28,0,44.55414647,13.08,Random Search (m),Spatial Indirect (m),Random Search,Indirect Search,TRUE,FALSE,FALSE
39161,0.45625,1,2,F,21-4,21-4,21-4 1 2,Chaining,3430.61,17.1,1024.85,59.67,86.49,29.86,59.95,0.11,1,41.07331905,14.93,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,FALSE,FALSE,TRUE
39161,0.463194444,1,3,F,21-4,21-4,21-4 1 3,Chaining,2758.36,16.64,997.18,46.81,91.21,36.11,59.91,0.21,1,55.49827494,14.43,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,FALSE,FALSE,TRUE
39161,0.470138889,1,4,F,21-4,21-4,21-4 1 4,Chaining,612.96,22.37,321.75,49.07,68.14,17.36,14.38,0.22,1,103.4273621,14.14,Chaining (m),Chaining (m),Chaining,Chaining,TRUE,TRUE,TRUE
39161,0.446527778,1,1,F,21-4*,21-4,21-4* 1 1,Thigmotaxis,2900.71,22.94,1375.81,48.64,93.16,40.28,59.97,0.14,0,47.60340457,14.74,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.496527778,1,2,F,23-1,23-1,23-1 1 2,Thigmotaxis,3534.72,14.54,871.6,62.26,89.45,15.97,59.94,0.12,0,47.69253052,15.12,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.503472222,1,3,F,23-1,23-1,23-1 1 3,Not Recognized,237.11,14.34,151.96,27.27,75.66,4.17,10.6,0.67,0,36.10190299,9.55,Directed Search (m),Directed Search (m),Directed Search,Directed Search,FALSE,FALSE,TRUE
39161,0.509027778,1,4,F,23-1,23-1,23-1 1 4,Thigmotaxis,3122.98,17.36,1039.47,54.49,82.95,26.39,59.88,0.19,0,60.67621235,14.98,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.486111111,1,1,F,23-1*,23-1,23-1* 1 1,Thigmotaxis,2792.67,19.82,1187.31,46.9,91.02,28.47,59.9,0.2,0,33.80072127,14.87,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.488888889,1,1,F,23-2,23-2,23-2 1 1,Thigmotaxis,3135.65,21.87,1310.43,52.57,91.39,36.81,59.93,0.15,0,43.28521832,14.95,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.497916667,1,2,F,23-2,23-2,23-2 1 2,Random Search,1276.59,17.23,406.46,60.59,75.93,25.69,23.59,0.19,0,99.43461477,14.23,Random Search (m),Scanning (m),Random Search,Scanning,TRUE,FALSE,FALSE
39161,0.504861111,1,3,F,23-2,23-2,23-2 1 3,Chaining,1228.39,15.82,449.76,44.94,86.77,20.83,28.43,0.23,1,40.81022289,14.05,Thigmotaxis (m),Random Search (m),Thigmotaxis,Random Search,FALSE,FALSE,FALSE
39161,0.511111111,1,4,F,23-2,23-2,23-2 1 4,Random Search,3359.94,18.45,1106.58,58.4,83.84,49.31,59.97,0.17,0,69.70014924,14.68,Random Search (m),Random Search (m),Random Search,Random Search,TRUE,TRUE,TRUE
39161,0.5,1,2,F,23-3,23-3,23-3 1 2,Thigmotaxis,3027.8,17,1019.26,53.16,92.74,36.81,59.97,0.27,0,69.73994811,14.66,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,TRUE,TRUE,TRUE
39161,0.50625,1,3,F,23-3,23-3,23-3 1 3,Chaining,3292.32,16.64,997.8,55.74,92.79,27.78,59.98,0.09,1,100.1460611,14.67,Thigmotaxis (m),Thigmotaxis (m),Thigmotaxis,Thigmotaxis,FALSE,FALSE,TRUE
