Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
2007-05-25,1:01 AM,1,1,26-Apr,26-4 1 1,Thigmotaxis,3176.6,20.77,1245.83,53.27,91.93,45.83,59.97,0.07,0,73.63338461,0
2007-05-25,1:05 AM,1,1,26-Jan,26-1 1 1,Thigmotaxis,3194.24,15.45,926.29,55.72,84.85,40.28,59.95,0.17,0,70.43619591,0
2007-05-25,1:07 AM,1,1,26-Feb,26-2 1 1,Random Search,958.14,15.94,355.2,50.24,76.72,19.44,22.28,0.27,0,88.81462209,0
2007-05-25,1:09 AM,1,1,26-Mar,26-3 1 1,Thigmotaxis,3340.2,18.71,1120.28,57.82,88.67,43.75,59.89,0.14,0,99.02199086,0
2007-05-25,1:11 AM,1,1,Jan-37,37-1 1 1,Thigmotaxis,2975.1,17.07,1022.97,52.01,83.96,21.53,59.94,0.18,0,70.89736342,0
2007-05-25,1:13 AM,1,1,Feb-37,37-2 1 1,Thigmotaxis,2355.11,18.4,1103.46,42.01,84.05,52.08,59.96,0.39,0,84.23424702,0
2007-05-25,1:13 AM,1,2,26-Apr,26-4 1 2,Thigmotaxis,2827.75,16.8,1007.21,49.93,84.72,23.61,59.96,0.21,0,16.73005996,0
2007-05-25,1:15 AM,1,2,26-Jan,26-1 1 2,Scanning,1108.78,17.12,582.18,34.04,87.16,43.75,34,0.31,1,63.9370184,0
2007-05-25,1:16 AM,1,1,Mar-37,37-3 1 1,Thigmotaxis,3715.63,18.32,1098.14,64.51,84.96,45.83,59.94,0.14,0,78.15948832,0
2007-05-25,1:17 AM,1,2,26-Feb,26-2 1 2,Random Search,695.4,15.11,279.91,41.56,79.4,18.06,18.53,0.11,0,58.32059968,0
2007-05-25,1:18 AM,1,2,26-Mar,26-3 1 2,Indirect Search,181.25,15.73,107.56,33.97,53.8,5.56,6.84,0.45,2,110.9491967,0
2007-05-25,1:20 AM,1,3,26-Apr,26-4 1 3,Thigmotaxis,2145.52,14.03,840.72,36.93,87.38,36.81,59.94,0.25,0,61.22363862,0
2007-05-25,1:23 AM,1,2,Jan-37,37-1 1 2,Random Search,3235.87,19.62,1176.64,54.31,93.6,56.94,59.98,0.05,0,98.19875316,0
2007-05-25,1:23 AM,1,3,26-Jan,26-1 1 3,Chaining,543.86,25.84,289.15,57.45,63.04,23.61,11.19,0.21,1,48.46501885,0
2007-05-25,1:24 AM,1,3,26-Feb,26-2 1 3,Random Search,404.49,29.44,296.79,48.7,64.82,20.14,10.08,0.52,0,27.30576586,0
2007-05-25,1:26 AM,1,2,Feb-37,37-2 1 2,Thigmotaxis,3048.34,19.67,1179.59,51.18,87.95,18.06,59.97,0.11,0,48.8223797,0
2007-05-25,1:27 AM,1,3,26-Mar,26-3 1 3,Thigmotaxis,3725.04,16.94,1014.81,64.3,90.96,45.14,59.92,0.06,0,71.85006128,0
2007-05-25,1:28 AM,1,2,Mar-37,37-3 1 2,Thigmotaxis,3167.41,17.49,1048.14,53.03,91.58,38.89,59.94,0.08,0,110.820331,0
2007-05-25,1:29 AM,1,4,26-Apr,26-4 1 4,Random Search,2428.18,15.57,932.38,43.3,89.96,52.08,59.9,0.43,0,132.0927727,0
2007-05-25,1:35 AM,1,3,Jan-37,37-1 1 3,Chaining,2948.54,16.31,977.5,49.95,86.27,24.31,59.92,0.1,1,70.30326672,0
2007-05-25,1:37 AM,1,3,Feb-37,37-2 1 3,Thigmotaxis,2186.41,20.3,1195.65,37.63,87.02,47.92,58.9,0.29,0,69.85931369,0
2007-05-25,1:39 AM,1,3,Mar-37,37-3 1 3,Chaining,2639.67,13.48,808.03,44.91,89.18,37.5,59.93,0.1,1,81.10895565,0
2007-05-25,1:43 AM,1,4,Jan-37,37-1 1 4,Random Search,2821.52,15.09,905.07,50.09,86.55,58.33,59.98,0.32,0,60.2536767,0
2007-05-25,1:45 AM,1,4,Feb-37,37-2 1 4,Chaining,3371.78,16.51,989.78,58.42,103.43,35.42,59.94,0.21,1,133.2701371,0
2007-05-25,1:47 AM,1,4,Mar-37,37-3 1 4,Random Search,3300.7,14.57,873.13,57.95,86.46,47.22,59.92,0.24,0,66.99157385,0
2007-05-25,1:49 AM,1,1,28-Jan,28-1 1 1,Thigmotaxis,3203.9,21.28,1275.11,53.62,92.32,38.19,59.93,0.2,0,91.28363641,0
2007-05-25,1:52 AM,1,1,28-Feb,28-2 1 1,Thigmotaxis,1101.75,20.23,469.63,48.14,80.83,20.14,23.21,0.29,0,55.72319352,0
2007-05-25,1:55 AM,1,1,28-Mar,28-3 1 1,Thigmotaxis,3411.4,18.99,1138.92,57.19,90.53,34.72,59.97,0.07,0,55.206964,0
2007-05-25,1:58 AM,1,1,28-Apr,28-4 1 1,Focal Search,62.1,35.32,187.56,13.24,71.26,9.03,5.31,0.39,2,54.55012274,0
2007-05-25,2:02 AM,1,2,28-Jan,28-1 1 2,Random Search,1000.49,18.92,372.63,58.27,77.03,22.92,19.7,0.22,0,35.0849297,0
2007-05-25,2:04 AM,1,2,28-Feb,28-2 1 2,Thigmotaxis,2542.73,16.39,982.19,45.1,89.68,46.53,59.93,0.35,0,68.41831749,0
2007-05-25,2:07 AM,1,2,28-Mar,28-3 1 2,Thigmotaxis,2262.92,15.27,915.09,40.92,90.97,22.22,59.93,0.47,0,49.70225494,0
2007-05-25,2:09 AM,1,2,28-Apr,28-4 1 2,Random Search,1381.88,21.74,589.82,55.51,80.83,40.97,27.13,0.22,0,73.29684605,0
2007-05-25,2:11 AM,1,3,28-Jan,28-1 1 3,Random Search,719.93,17.19,343.42,39.17,81.42,31.25,19.98,0.32,0,43.79536599,0
2007-05-25,2:13 AM,1,3,28-Feb,28-2 1 3,Thigmotaxis,3020.9,16.84,1009.17,51.18,93.04,18.75,59.91,0.27,0,22.32927813,0
2007-05-25,2:16 AM,1,3,28-Mar,28-3 1 3,Thigmotaxis,1856.05,14.08,843.84,32.17,89.74,31.94,59.95,0.27,0,52.85507772,0
2007-05-25,2:18 AM,1,3,28-Apr,28-4 1 3,Random Search,932.85,19.68,516.07,36.54,82.72,43.06,26.22,0.35,0,68.55621155,0
2007-05-25,2:21 AM,1,4,28-Jan,28-1 1 4,Random Search,2695.54,20.5,1228,46.77,88.05,61.11,59.89,0.27,0,59.20102447,0
2007-05-25,2:23 AM,1,4,28-Feb,28-2 1 4,Thigmotaxis,3644.64,15.53,930.39,63.27,86.42,24.31,59.89,0.09,0,83.99065677,0
2007-05-25,2:25 AM,1,4,28-Mar,28-3 1 4,Directed Search,565.56,15.54,357.83,30.89,70.33,24.31,23.03,0.7,2,62.22901818,0
2007-05-25,2:27 AM,1,4,28-Apr,28-4 1 4,Thigmotaxis,2193.84,17.43,845.26,48.16,84.25,31.94,48.49,0.24,0,61.18739177,0
2007-05-25,2:55 AM,1,1,25-Jan,25-1 1 1,Thigmotaxis,1884.29,19.47,1167.72,31.85,87.7,41.67,59.96,0.23,0,52.51188022,0
2007-05-25,2:58 AM,1,1,25-Feb,25-2 1 1,Thigmotaxis,2609.22,21.7,1300.53,43.61,93.18,56.25,59.94,0.1,0,60.30957008,0
2007-05-25,3:02 AM,1,1,30-Jan,30-1 1 1,Thigmotaxis,1843.41,21.55,840.54,47.58,91.41,31.94,39.01,0.23,0,113.8371119,0
2007-05-25,3:05 AM,1,1,30-2*,30-2 1 1,Thigmotaxis,3680.97,20.99,1258.64,61.71,92.44,36.81,59.96,0.06,0,68.85470602,0
2007-05-25,3:10 AM,1,2,25-Jan,25-1 1 2,Chaining,1959.51,13.14,446.39,64.08,76.44,15.28,33.96,0.11,1,39.18602149,0
2007-05-25,3:12 AM,1,2,25-Feb,25-2 1 2,Thigmotaxis,3033.55,19.06,1141.64,52.79,90.23,31.25,59.9,0.22,0,89.75774545,0
2007-05-25,3:15 AM,1,2,30-Jan,30-1 1 2,Thigmotaxis,2838.93,20.76,1245.14,49.13,91.85,38.89,59.99,0.22,0,120.0160333,0
2007-05-25,3:17 AM,1,2,30-2*,30-2 1 2,Thigmotaxis,2622.49,16.99,863.39,54.54,85.41,25,50.83,0.22,0,50.64899733,0
2007-05-25,3:21 AM,1,3,25-Jan,25-1 1 3,Thigmotaxis,1524.84,14.43,488.03,46.02,91.18,22.92,33.83,0.11,0,96.29229548,0
2007-05-25,3:23 AM,1,3,25-Feb,25-2 1 3,Thigmotaxis,2901.08,16.93,1014.04,48.84,92.92,54.17,59.88,0.11,0,119.5379722,0
2007-05-25,3:25 AM,1,3,30-Jan,30-1 1 3,Indirect Search,90.54,15.36,102.58,25.59,58.92,6.25,6.68,0.38,2,36.9110052,0
2007-05-25,3:28 AM,1,3,30-2*,30-2 1 3,Thigmotaxis,2232.78,16.46,986.5,38.14,89.72,46.53,59.94,0.22,0,31.45541069,0
2007-05-25,3:30 AM,1,4,25-Jan,25-1 1 4,Random Search,1222.22,16.29,527.17,41.66,84.73,43.06,32.37,0.3,0,63.49909263,0
2007-05-25,3:32 AM,1,4,25-Feb,25-2 1 4,Random Search,2740.55,19,1137.59,48.01,87.67,50,59.88,0.32,0,64.40733819,0
2007-05-25,3:33 AM,1,4,30-Jan,30-1 1 4,Chaining,815.41,18.09,381.69,45.62,73.04,25,21.1,0.33,1,16.80113109,0
2007-05-25,3:35 AM,1,4,30-2*,30-2 1 4,Random Search,1146.19,15.03,375.21,51.67,75.1,23.61,24.96,0.29,0,99.8383307,0
2007-05-25,10:07 AM,1,1,31-Jan,31-1 1 1,Thigmotaxis,2624.79,21.25,1274.39,44.05,88.86,41.67,59.96,0.18,0,108.5745321,0
2007-05-25,10:10 AM,1,1,Feb-31,31-2 1 1,Thigmotaxis,2322.53,17.09,1025.1,39.06,92.63,19.44,59.99,0.22,0,123.0690666,0
