Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39227,0.042361111,1,1,43581,26-4 1 1,Thigmotaxis,2735.54,20.77,1245.83,47.42,89.31,45.83,59.97,0.34,0,104.6975014,0
39227,0.045138889,1,1,43491,26-1 1 1,Thigmotaxis,2641.01,15.45,926.29,44.98,83.98,40.28,59.95,0.16,0,33.588032,0
39227,0.046527778,1,1,43522,26-2 1 1,Random Search,1207.43,15.94,355.2,56.8,86.52,19.44,22.28,0.07,0,70.53118398,0
39227,0.047916667,1,1,43550,26-3 1 1,Thigmotaxis,2534.67,18.71,1120.28,43.31,92.33,43.75,59.89,0.24,0,61.51823832,0
39227,0.049305556,1,1,13516,37-1 1 1,Thigmotaxis,3665.78,17.07,1022.97,61.55,91.59,21.53,59.94,0.07,0,27.58522334,0
39227,0.050694444,1,1,13547,37-2 1 1,Thigmotaxis,3447.52,18.4,1103.46,58.24,91.86,52.08,59.96,0.07,0,43.51694889,0
39227,0.050694444,1,2,43581,26-4 1 2,Chaining,3506.08,16.8,1007.21,59.33,90.71,23.61,59.96,0.11,1,58.63518185,0
39227,0.052083333,1,2,43491,26-1 1 2,Scanning,1738.1,17.12,582.18,56.15,85.54,43.75,34,0.29,1,44.1775039,0
39227,0.052777778,1,1,13575,37-3 1 1,Thigmotaxis,2013.04,18.32,1098.14,34.42,91.26,45.83,59.94,0.3,0,66.58575803,0
39227,0.053472222,1,2,43522,26-2 1 2,Random Search,1007.75,15.11,279.91,63.44,84.91,18.06,18.53,0.33,0,77.32493916,0
39227,0.054166667,1,2,43550,26-3 1 2,Not Recognized,337.96,15.73,107.56,71.28,80.09,5.56,6.84,0.04,0,113.4775569,0
39227,0.055555556,1,3,43581,26-4 1 3,Chaining,3915.27,14.03,840.72,68.49,88.66,36.81,59.94,0.07,1,113.9077616,0
39227,0.057638889,1,2,13516,37-1 1 2,Random Search,2190.33,19.62,1176.64,38.11,90.06,56.94,59.98,0.31,0,103.5495062,0
39227,0.057638889,1,3,43491,26-1 1 3,Chaining,338.35,25.84,289.15,30.67,107.69,23.61,11.19,0.35,1,69.08247934,0
39227,0.058333333,1,3,43522,26-2 1 3,Random Search,314.25,29.44,296.79,32.26,102.17,20.14,10.08,0.11,0,72.52647889,0
