Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
2007-05-25,1:01 AM,1,1,26-Apr,26-4 1 1,Thigmotaxis,3129.83,20.77,1245.83,52.6,92.62,45.83,59.97,0.22,0,111.3318284,0
2007-05-25,1:05 AM,1,1,26-Jan,26-1 1 1,Thigmotaxis,3183.04,15.45,926.29,56.05,81.5,40.28,59.95,0.24,0,47.35393121,0
2007-05-25,1:07 AM,1,1,26-Feb,26-2 1 1,Random Search,1435.73,15.94,355.2,72.77,82.23,19.44,22.28,0.08,0,79.97796803,0
2007-05-25,1:09 AM,1,1,26-Mar,26-3 1 1,Thigmotaxis,3257.98,18.71,1120.28,57.11,90.02,43.75,59.89,0.21,0,71.81816766,0
2007-05-25,1:11 AM,1,1,Jan-37,37-1 1 1,Thigmotaxis,4521.71,17.07,1022.97,77.56,87.25,21.53,59.94,0.04,0,40.1604982,0
2007-05-25,1:13 AM,1,1,Feb-37,37-2 1 1,Thigmotaxis,3284.57,18.4,1103.46,57.54,89.8,52.08,59.96,0.2,0,55.53467992,0
2007-05-25,1:13 AM,1,2,26-Apr,26-4 1 2,Chaining,3885.34,16.8,1007.21,67.77,87.49,23.61,59.96,0.13,1,40.65726563,0
2007-05-25,1:15 AM,1,2,26-Jan,26-1 1 2,Scanning,1893.16,17.12,582.18,61.59,86.09,43.75,34,0.27,1,47.77072784,0
2007-05-25,1:16 AM,1,1,Mar-37,37-3 1 1,Thigmotaxis,3434.63,18.32,1098.14,60.06,89.23,45.83,59.94,0.12,0,69.62036396,0
2007-05-25,1:17 AM,1,2,26-Feb,26-2 1 2,Random Search,1138.76,15.11,279.91,73.91,81.43,18.06,18.53,0.08,0,64.07376867,0
2007-05-25,1:18 AM,1,2,26-Mar,26-3 1 2,Not Recognized,323.94,15.73,107.56,75.4,63.72,5.56,6.84,0.2,0,117.4854606,0
2007-05-25,1:20 AM,1,3,26-Apr,26-4 1 3,Chaining,3822.86,14.03,840.72,67.84,86.26,36.81,59.94,0.13,1,87.95067102,0
2007-05-25,1:23 AM,1,2,Jan-37,37-1 1 2,Random Search,2190.02,19.62,1176.64,36.82,90.44,56.94,59.98,0.25,0,94.0055142,0
2007-05-25,1:23 AM,1,3,26-Jan,26-1 1 3,Chaining,538.99,25.84,289.15,49.52,96.56,23.61,11.19,0.08,1,52.58260121,0
2007-05-25,1:24 AM,1,3,26-Feb,26-2 1 3,Random Search,246.39,29.44,296.79,25.4,103.02,20.14,10.08,0.2,0,40.10723614,0
2007-05-25,1:26 AM,1,2,Feb-37,37-2 1 2,Chaining,2417.95,19.67,1179.59,40.71,93.94,18.06,59.97,0.37,1,117.6726123,0
2007-05-25,1:27 AM,1,3,26-Mar,26-3 1 3,Thigmotaxis,2773.58,16.94,1014.81,46.55,88.78,45.14,59.92,0.14,0,102.2577856,0
2007-05-25,1:28 AM,1,2,Mar-37,37-3 1 2,Chaining,2396.48,17.49,1048.14,40.73,88.47,38.89,59.94,0.29,1,60.16815379,0
2007-05-25,1:29 AM,1,4,26-Apr,26-4 1 4,Random Search,3092.17,15.57,932.38,52,89.98,52.08,59.9,0.1,0,127.0512374,0
2007-05-25,1:35 AM,1,3,Jan-37,37-1 1 3,Chaining,3802.39,16.31,977.5,66.85,87.43,24.31,59.92,0.07,1,58.84532064,0
2007-05-25,1:37 AM,1,3,Feb-37,37-2 1 3,Thigmotaxis,2832.19,20.3,1195.65,50.6,92.54,47.92,58.9,0.29,0,93.22060387,0
2007-05-25,1:39 AM,1,3,Mar-37,37-3 1 3,Chaining,3931.47,13.48,808.03,69.61,84.49,37.5,59.93,0.15,1,76.77231057,0
2007-05-25,1:43 AM,1,4,Jan-37,37-1 1 4,Random Search,1997.2,15.09,905.07,33.83,90.69,58.33,59.98,0.24,0,78.01212207,0
2007-05-25,1:45 AM,1,4,Feb-37,37-2 1 4,Chaining,3069.79,16.51,989.78,51.46,97.38,35.42,59.94,0.1,1,106.387624,0
2007-05-25,1:47 AM,1,4,Mar-37,37-3 1 4,Random Search,3129.68,14.57,873.13,52.86,88.57,47.22,59.92,0.03,0,94.65787896,0
2007-05-25,1:49 AM,1,1,28-Jan,28-1 1 1,Chaining,3158.99,21.28,1275.11,53.15,90.52,38.19,59.93,0.16,1,31.57014767,0
2007-05-25,1:52 AM,1,1,28-Feb,28-2 1 1,Chaining,976.4,20.23,469.63,42.93,94.57,20.14,23.21,0.28,1,61.25762031,0
2007-05-25,1:55 AM,1,1,28-Mar,28-3 1 1,Chaining,2607.84,18.99,1138.92,43.8,90.76,34.72,59.97,0.21,1,45.71947635,0
2007-05-25,1:58 AM,1,1,28-Apr,28-4 1 1,Not Recognized,237.1,35.32,187.56,49.03,99.43,9.03,5.31,0.14,0,127.4404341,0
2007-05-25,2:02 AM,1,2,28-Jan,28-1 1 2,Chaining,1048.83,18.92,372.63,61.5,88.06,22.92,19.7,0.17,1,20.84767168,0
2007-05-25,2:04 AM,1,2,28-Feb,28-2 1 2,Thigmotaxis,3189.29,16.39,982.19,56.35,85.29,46.53,59.93,0.19,0,59.7435293,0
2007-05-25,2:07 AM,1,2,28-Mar,28-3 1 2,Chaining,2775.58,15.27,915.09,49.35,84.39,22.22,59.93,0.36,1,80.27697272,0
2007-05-25,2:09 AM,1,2,28-Apr,28-4 1 2,Random Search,1085.32,21.74,589.82,44.74,87.48,40.97,27.13,0.34,0,67.76744758,0
2007-05-25,2:11 AM,1,3,28-Jan,28-1 1 3,Random Search,931.97,17.19,343.42,56.77,86.11,31.25,19.98,0.32,0,22.22299913,0
2007-05-25,2:13 AM,1,3,28-Feb,28-2 1 3,Chaining,3219.86,16.84,1009.17,57.14,86.81,18.75,59.91,0.22,1,17.58291621,0
2007-05-25,2:16 AM,1,3,28-Mar,28-3 1 3,Thigmotaxis,4003.76,14.08,843.84,70.99,86.86,31.94,59.95,0.2,0,63.26200099,0
2007-05-25,2:18 AM,1,3,28-Apr,28-4 1 3,Random Search,1107.91,19.68,516.07,48,89.04,43.06,26.22,0.27,0,80.86766871,0
