31-1,5/25/2007,10:07 AM,31-1,5/25/2007,10:21 AM,31-1,5/25/2007,10:31 AM,31-1,5/25/2007,10:41 AM,31-1,5/26/2007,7:30 AM,31-1,5/26/2007,7:36 AM,31-1,5/26/2007,7:43 AM,31-1,5/26/2007,7:49 AM,31-1,5/27/2007,7:12 AM,31-1,5/27/2007,7:21 AM,31-1,5/27/2007,7:27 AM,31-1,5/27/2007,7:34 AM,31-1,5/28/2007,7:27 AM,31-1,5/28/2007,7:33 AM,31-1,5/28/2007,7:37 AM,31-1*,5/28/2007,7:42 AM,31-1,5/29/2007,6:28 AM,31-1,5/29/2007,6:32 AM,31-1,5/29/2007,6:37 AM,31-1,5/29/2007,6:41 AM,31-1,5/30/2007,6:42 AM,31-1,5/30/2007,6:48 AM,31-1,5/30/2007,6:54 AM,31-1,5/30/2007,6:58 AM,31-1,5/31/2007,10:23 AM,31-1,5/31/2007,10:27 AM,31-1,5/31/2007,10:31 AM,31-1,5/31/2007,10:36 AM,31-1,6/1/2007,10:26 AM,31-1,6/1/2007,10:32 AM,31-1,6/1/2007,10:36 AM,31-1,6/1/2007,10:40 AM,31-1,6/2/2007,7:34 AM,31-1,6/3/2007,7:21 AM,31-1,6/3/2007,7:25 AM,31-1,6/3/2007,7:29 AM,31-1,6/3/2007,7:34 AM,31-1,6/4/2007,1:19 PM,31-1,6/4/2007,1:25 PM,31-1,6/4/2007,1:30 PM,31-1,6/4/2007,1:35 PM,31-1*,6/5/2007,9:29 AM,31-1,6/5/2007,9:34 AM,31-1,6/5/2007,9:38 AM,31-1,6/5/2007,9:42 AM,31-1,6/6/2007,8:38 AM,31-1,6/6/2007,8:45 AM,31-1,6/6/2007,8:48 AM,31-1,6/6/2007,8:52 AM,31-1,6/7/2007,10:26 AM,31-1,6/8/2007,7:43 AM,31-1,6/8/2007,7:47 AM,31-1,6/8/2007,7:51 AM,31-1*,6/8/2007,7:55 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
57.40,91.88,0.00,55.17,9.57,0.00,6.90,46.94,0.01,96.55,55.39,0.00,7.12,42.94,0.00,96.33,51.39,0.00,53.61,10.23,0.00,59.18,94.10,0.00,92.99,43.60,0.00,10.01,46.72,0.00,52.28,93.21,0.00,53.39,9.79,0.00,52.06,11.12,0.01,50.72,95.66,0.01,100.11,54.50,0.00,8.25,45.03,0.00,51.73,86.21,0.00,88.64,52.61,0.00,52.27,5.97,0.00,9.06,41.12,0.00,93.29,52.83,0.00,47.31,7.74,0.00,11.27,41.12,0.00,47.08,92.84,0.00,53.94,6.41,0.00,9.06,46.64,0.01,48.63,93.06,0.00,96.82,60.13,0.00,31.97,73.23,0.00,50.62,93.29,0.01,91.96,57.47,0.00,NaN,NaN,0.00,46.42,90.41,0.00,57.25,89.97,0.00,8.18,43.33,0.00,95.50,55.93,0.00,47.75,6.63,0.00,45.10,89.97,0.00,49.96,8.18,0.00,7.52,46.64,0.00,91.74,56.15,0.01,5.98,50.73,0.00,93.51,54.16,0.01,51.28,7.57,0.00,48.41,92.62,0.00,91.74,63.22,0.00,4.86,49.07,0.00,48.41,92.18,0.01,55.04,6.19,0.00,56.37,88.64,0.00,38.55,60.14,0.00,93.06,49.74,0.00,50.18,10.17,0.01,51.61,93.26,0.00,
56.95,92.10,0.07,54.50,10.46,0.08,6.67,46.72,0.08,96.33,55.39,0.08,6.67,42.94,0.08,96.10,50.94,0.10,53.84,10.46,0.08,59.40,94.55,0.07,93.43,43.83,0.10,10.46,46.05,0.09,53.39,93.21,0.08,53.61,10.23,0.08,52.06,11.35,0.08,50.50,96.10,0.08,99.66,55.39,0.08,10.25,44.81,0.08,52.17,85.55,0.08,87.76,51.51,0.08,52.50,6.19,0.08,9.06,40.45,0.08,92.62,53.05,0.09,47.53,8.62,0.08,11.94,40.45,0.08,46.42,92.62,0.07,53.94,7.07,0.08,9.28,47.31,0.08,48.19,93.06,0.08,95.50,60.35,0.08,31.97,73.23,0.08,50.40,92.84,0.08,91.52,57.92,0.08,,,,45.98,89.53,0.08,57.92,89.31,0.07,8.18,42.88,0.08,94.83,55.93,0.10,47.75,6.63,0.08,44.65,89.97,0.07,49.96,8.40,0.08,7.52,47.08,0.08,91.30,55.93,0.08,6.20,52.28,0.09,93.29,53.94,0.08,51.06,5.97,0.08,48.63,92.40,0.08,91.07,62.56,0.08,5.31,49.07,0.08,48.63,91.30,0.08,55.26,5.97,0.08,56.81,88.20,0.08,43.68,54.52,0.08,92.18,48.85,0.08,49.96,10.17,0.08,51.84,94.15,0.08,
56.73,92.77,0.16,54.50,11.12,0.15,6.67,46.49,0.18,96.33,55.39,0.14,6.90,42.27,0.18,96.10,50.28,0.20,54.73,10.46,0.15,59.18,94.99,0.14,94.32,44.49,0.20,12.01,44.72,0.19,54.28,93.43,0.15,53.39,10.68,0.17,51.61,12.24,0.17,50.05,96.10,0.15,99.44,55.84,0.14,11.59,44.59,0.17,53.27,84.22,0.15,86.43,51.06,0.17,53.05,5.97,0.14,9.95,39.79,0.15,91.96,53.05,0.17,48.41,9.95,0.18,12.38,39.57,0.14,45.54,91.07,0.17,54.16,7.29,0.14,9.28,47.53,0.14,47.75,92.62,0.16,94.83,60.35,0.14,31.97,73.23,0.14,48.85,92.40,0.16,91.30,57.92,0.14,,,,44.87,88.86,0.18,58.36,89.09,0.13,7.96,42.66,0.14,94.39,56.37,0.20,47.31,6.41,0.15,43.99,89.97,0.17,49.52,8.84,0.18,7.29,47.31,0.18,91.07,55.48,0.14,7.09,53.83,0.19,92.84,53.94,0.14,50.40,5.31,0.17,48.85,91.96,0.14,90.63,61.90,0.14,5.53,49.30,0.14,49.30,89.97,0.15,55.04,5.97,0.18,57.47,87.54,0.18,48.81,48.90,0.16,90.85,47.97,0.16,49.74,10.39,0.16,53.50,92.84,0.17,
56.28,93.66,0.26,53.61,11.35,0.25,6.45,46.27,0.28,96.10,55.62,0.24,8.01,42.05,0.28,96.77,49.39,0.30,55.39,10.23,0.25,58.29,95.88,0.23,94.99,45.16,0.30,13.79,43.83,0.29,54.73,94.32,0.25,53.17,11.12,0.27,51.17,13.57,0.27,49.16,95.66,0.25,98.77,56.51,0.23,12.46,45.38,0.27,54.38,83.12,0.25,85.33,50.18,0.27,53.72,6.41,0.23,10.83,38.91,0.25,91.07,53.05,0.27,48.85,10.83,0.28,14.15,39.35,0.23,44.65,89.75,0.27,55.04,8.18,0.24,9.06,48.19,0.24,47.08,92.18,0.26,92.62,60.57,0.23,31.97,73.17,0.22,47.75,91.52,0.26,90.19,57.70,0.24,,,,43.33,87.98,0.28,59.69,88.64,0.22,7.52,42.22,0.24,93.06,56.37,0.30,47.31,6.85,0.25,43.33,89.31,0.27,49.52,9.28,0.28,7.07,47.53,0.28,90.41,55.04,0.22,9.08,55.38,0.29,91.96,54.16,0.24,50.40,5.53,0.27,49.52,91.30,0.24,89.97,60.57,0.21,6.63,49.30,0.21,50.40,88.42,0.25,55.04,6.41,0.28,58.14,86.43,0.28,53.93,43.27,0.26,89.75,46.20,0.25,49.52,10.39,0.26,53.72,92.84,0.28,
55.39,94.55,0.36,52.95,11.12,0.35,7.12,45.83,0.38,95.88,55.62,0.34,8.68,41.60,0.38,97.66,48.50,0.40,56.28,9.57,0.35,57.17,95.88,0.33,94.99,46.49,0.40,15.35,43.16,0.39,55.62,94.77,0.35,53.61,11.12,0.37,50.94,15.13,0.37,47.83,94.99,0.35,97.88,56.95,0.33,13.35,46.27,0.37,55.93,82.45,0.35,84.22,48.85,0.37,54.60,7.07,0.33,12.16,37.36,0.35,89.75,53.72,0.37,49.07,12.82,0.38,15.92,39.57,0.33,43.55,88.64,0.37,55.48,9.51,0.34,9.28,48.19,0.34,46.42,91.96,0.36,90.85,60.57,0.33,31.83,73.17,0.32,46.20,90.85,0.36,89.31,57.70,0.34,,,,42.00,87.54,0.38,61.01,87.54,0.32,7.29,41.56,0.34,91.30,56.59,0.40,46.86,7.07,0.35,42.66,88.64,0.37,49.52,9.73,0.38,7.29,47.97,0.38,89.97,54.38,0.32,10.85,55.38,0.39,90.85,54.38,0.34,50.18,5.75,0.37,50.40,90.63,0.34,88.86,59.46,0.31,8.18,49.52,0.31,51.51,87.32,0.35,54.38,7.74,0.38,58.80,84.89,0.38,59.06,37.65,0.36,88.64,44.43,0.35,49.52,10.17,0.36,53.94,92.40,0.38,
55.84,95.66,0.46,52.06,10.01,0.45,7.34,46.05,0.48,95.44,55.39,0.44,8.68,41.60,0.48,98.77,48.05,0.50,56.28,8.90,0.45,55.62,94.99,0.43,94.77,48.50,0.50,16.68,43.38,0.49,56.28,94.77,0.45,53.84,11.57,0.47,49.83,16.24,0.47,46.94,93.21,0.45,96.55,57.17,0.43,14.46,47.83,0.47,57.47,81.79,0.45,83.12,47.53,0.47,55.48,9.06,0.43,13.71,36.47,0.45,88.64,54.16,0.47,48.63,14.59,0.48,17.68,40.45,0.43,42.44,87.54,0.47,55.26,11.49,0.44,9.51,48.85,0.44,46.20,91.30,0.46,88.86,61.23,0.43,31.83,73.17,0.42,44.65,90.63,0.46,88.42,57.70,0.44,,,,41.12,86.65,0.48,62.34,86.65,0.42,7.52,41.34,0.44,89.31,56.81,0.50,46.64,7.29,0.45,42.22,87.76,0.47,49.74,10.61,0.49,7.52,48.19,0.48,89.31,53.50,0.43,12.16,56.15,0.49,89.75,54.38,0.44,49.74,5.75,0.47,51.28,89.31,0.44,88.42,58.14,0.41,9.06,49.96,0.41,52.17,86.43,0.45,54.16,9.06,0.48,59.46,83.34,0.48,64.19,32.03,0.46,88.20,43.11,0.46,49.52,9.73,0.46,54.16,92.40,0.47,
56.73,97.22,0.56,51.83,8.90,0.55,8.45,46.27,0.58,95.44,55.17,0.54,9.34,41.38,0.58,99.89,47.61,0.60,56.06,8.23,0.55,54.06,94.10,0.53,94.10,50.50,0.60,18.02,44.05,0.59,57.17,95.21,0.55,54.06,11.57,0.57,49.61,17.57,0.57,46.05,91.21,0.55,95.21,56.95,0.53,14.91,49.83,0.57,58.80,81.35,0.55,81.79,45.98,0.57,55.71,12.16,0.53,15.92,36.03,0.55,87.54,54.82,0.57,48.41,16.36,0.58,19.45,41.78,0.53,41.34,86.43,0.57,54.38,13.26,0.54,9.95,49.74,0.54,45.54,90.41,0.56,86.43,62.12,0.53,32.21,73.39,0.52,43.11,90.63,0.56,87.98,57.47,0.54,,,,40.23,85.77,0.58,63.44,85.55,0.52,7.07,41.12,0.54,87.54,57.47,0.60,46.64,8.40,0.55,42.00,86.87,0.57,49.52,11.05,0.58,7.52,47.53,0.58,88.86,52.39,0.53,14.59,56.37,0.59,88.86,54.38,0.54,49.52,6.19,0.57,52.83,88.20,0.54,87.98,57.03,0.51,9.95,50.18,0.51,52.61,85.77,0.55,53.72,10.61,0.58,60.13,81.13,0.58,69.32,26.40,0.56,88.20,42.00,0.56,49.30,9.28,0.56,54.16,92.40,0.58,
58.06,98.55,0.66,51.83,7.56,0.65,9.79,47.38,0.68,94.55,54.73,0.64,9.79,40.71,0.68,100.55,47.61,0.70,55.84,7.79,0.65,52.72,92.77,0.63,93.21,51.83,0.70,19.13,44.94,0.69,58.51,94.77,0.65,53.61,12.01,0.67,49.83,18.69,0.67,45.38,88.76,0.65,94.10,56.95,0.63,14.91,52.06,0.67,59.91,80.46,0.65,80.91,44.21,0.67,54.82,15.25,0.63,17.91,36.47,0.65,86.21,55.48,0.67,47.75,18.13,0.68,21.00,43.55,0.63,40.45,84.66,0.67,53.50,15.03,0.64,10.83,50.18,0.64,44.87,89.75,0.66,84.22,63.00,0.63,32.83,73.39,0.62,41.34,90.85,0.66,87.10,57.25,0.64,,,,39.79,84.66,0.68,64.11,84.00,0.62,7.07,41.12,0.64,86.21,58.36,0.70,46.20,9.51,0.65,42.44,85.11,0.67,49.30,12.38,0.68,7.74,47.31,0.68,88.64,51.28,0.62,17.46,56.59,0.69,87.76,54.60,0.64,49.30,6.85,0.67,54.60,87.10,0.64,87.32,55.71,0.61,11.05,50.62,0.61,53.50,84.66,0.65,53.50,11.72,0.68,61.23,79.14,0.68,74.44,20.78,0.66,88.20,41.12,0.65,49.30,9.06,0.66,54.38,92.62,0.67,
59.40,98.77,0.76,52.50,6.23,0.75,10.46,48.05,0.78,94.55,54.06,0.74,10.90,39.82,0.78,101.89,48.05,0.80,56.06,6.67,0.75,51.83,91.21,0.73,92.32,53.84,0.80,20.02,46.27,0.79,59.62,94.32,0.75,53.17,12.68,0.77,50.05,19.58,0.77,45.16,86.54,0.75,92.77,56.51,0.73,14.91,54.28,0.77,61.01,79.58,0.75,80.24,42.88,0.77,54.16,17.46,0.73,20.12,37.36,0.75,85.33,56.15,0.77,47.31,19.90,0.78,22.33,45.76,0.73,39.57,83.56,0.77,52.39,16.80,0.74,11.27,50.62,0.74,44.21,89.09,0.76,81.57,63.22,0.73,33.13,73.83,0.72,40.45,90.63,0.76,86.65,57.70,0.74,,,,40.23,83.12,0.78,64.77,83.12,0.72,7.07,41.56,0.74,84.44,59.46,0.80,45.76,11.27,0.75,43.33,83.56,0.77,49.07,13.71,0.78,8.62,47.08,0.78,88.64,50.62,0.73,19.90,57.25,0.79,86.21,54.38,0.74,48.63,7.07,0.77,56.15,85.55,0.74,86.43,54.38,0.71,11.49,51.06,0.71,54.38,84.22,0.75,53.05,12.82,0.78,62.56,76.49,0.78,,,,88.42,40.23,0.75,49.52,9.28,0.76,55.26,92.40,0.78,
