31-2,5/25/2007,10:10 AM,31-2,5/25/2007,10:23 AM,31-2,5/25/2007,10:34 AM,31-2,5/25/2007,10:44 AM,31-2,5/26/2007,7:31 AM,31-2,5/26/2007,7:37 AM,31-2,5/26/2007,7:44 AM,31-2,5/26/2007,7:50 AM,31-2,5/27/2007,7:16 AM,31-2*,5/27/2007,7:22 AM,31-2,5/27/2007,7:29 AM,31-2,5/27/2007,7:35 AM,31-2,5/28/2007,7:28 AM,31-2,5/28/2007,7:34 AM,31-2,5/28/2007,7:39 AM,31-2*,5/28/2007,7:43 AM,31-2,5/29/2007,6:29 AM,31-2,5/29/2007,6:33 AM,31-2,5/29/2007,6:37 AM,31-2,5/29/2007,6:42 AM,31-2,5/30/2007,6:43 AM,31-2,5/30/2007,6:50 AM,31-2,5/30/2007,6:55 AM,31-2,5/30/2007,6:59 AM,31-2,5/31/2007,10:24 AM,31-2,5/31/2007,10:28 AM,31-2,5/31/2007,10:32 AM,31-2,5/31/2007,10:37 AM,31-2,6/1/2007,10:29 AM,31-2,6/1/2007,10:33 AM,31-2,6/1/2007,10:37 AM,31-2,6/1/2007,10:42 AM,31-2,6/2/2007,7:36 AM,31-2,6/3/2007,7:22 AM,31-2,6/3/2007,7:26 AM,31-2,6/3/2007,7:30 AM,31-2,6/3/2007,7:35 AM,31-2,6/4/2007,1:20 PM,31-2,6/4/2007,1:26 PM,31-2,6/4/2007,1:31 PM,31-2,6/4/2007,1:36 PM,31-2,6/5/2007,9:30 AM,31-2*,6/5/2007,9:35 AM,31-2,6/5/2007,9:39 AM,31-2,6/5/2007,9:43 AM,31-2,6/6/2007,8:40 AM,31-2*,6/6/2007,8:45 AM,31-2,6/6/2007,8:49 AM,31-2,6/6/2007,8:53 AM,31-2,6/7/2007,10:28 AM,31-2,6/8/2007,7:44 AM,31-2,6/8/2007,7:48 AM,31-2,6/8/2007,7:52 AM,31-2,6/8/2007,7:56 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
53.39,97.22,0.00,54.73,6.01,0.00,13.35,45.38,0.01,93.43,51.39,0.00,11.79,51.39,0.00,94.55,44.72,0.00,52.06,7.12,0.00,53.61,86.09,0.00,92.32,45.16,0.00,7.80,44.14,0.00,49.16,88.54,0.00,56.51,7.12,0.00,49.61,6.01,0.00,54.28,94.99,0.00,88.76,48.27,0.00,11.37,47.71,0.00,46.20,96.38,0.00,100.80,52.61,0.01,52.39,11.27,0.00,7.07,47.53,0.00,93.51,47.08,0.00,55.48,6.63,0.00,11.94,41.56,0.00,51.95,88.20,0.00,52.61,7.29,0.00,8.40,43.11,0.01,55.93,94.17,0.00,95.94,50.62,0.01,7.07,43.33,0.00,49.07,89.75,0.00,92.40,49.74,0.00,50.84,7.29,0.00,7.96,47.97,0.00,54.38,94.39,0.00,14.81,47.97,0.00,93.95,48.19,0.00,48.41,5.08,0.00,56.59,92.62,0.01,51.06,5.75,0.01,7.52,44.87,0.00,96.38,51.95,0.00,12.38,41.56,0.00,96.58,50.51,0.01,52.39,4.20,0.00,52.17,88.86,0.00,76.26,35.81,0.00,10.85,44.30,0.00,48.63,89.53,0.00,53.27,7.74,0.00,53.27,6.41,0.01,11.72,42.22,0.00,96.82,50.40,0.00,50.18,7.74,0.01,55.71,94.61,0.01,
52.95,96.99,0.09,54.73,6.45,0.08,13.57,45.38,0.08,94.10,50.94,0.10,11.79,51.83,0.11,93.66,44.27,0.08,51.83,6.90,0.07,54.95,84.98,0.08,92.10,44.05,0.08,7.58,43.47,0.08,49.39,87.87,0.08,56.95,7.12,0.07,49.61,6.01,0.08,54.73,94.55,0.08,87.65,48.27,0.09,12.71,48.15,0.08,46.20,96.60,0.07,101.24,52.17,0.08,52.61,11.94,0.08,6.85,47.75,0.07,92.84,47.08,0.07,55.71,6.41,0.08,12.38,40.90,0.10,51.51,87.54,0.09,52.61,7.29,0.08,7.96,43.55,0.10,56.15,93.51,0.08,95.27,50.62,0.08,7.52,43.33,0.08,49.07,89.53,0.07,91.96,49.07,0.07,50.62,7.29,0.08,8.18,48.85,0.09,55.26,94.17,0.07,15.47,48.41,0.09,93.29,47.53,0.08,48.19,5.08,0.08,56.37,92.18,0.08,51.06,5.97,0.08,7.74,44.65,0.08,95.94,51.28,0.09,14.15,41.56,0.08,95.94,49.30,0.08,53.05,5.70,0.08,52.39,88.64,0.08,76.26,35.81,0.11,10.61,43.11,0.08,49.07,89.09,0.08,53.05,7.29,0.08,52.61,6.63,0.08,12.16,42.00,0.08,96.82,50.40,0.08,50.40,7.29,0.08,56.15,94.39,0.08,
51.83,97.44,0.19,54.28,7.12,0.17,13.79,45.61,0.15,94.77,51.39,0.20,11.79,52.95,0.20,92.99,44.27,0.18,52.06,6.67,0.17,55.62,84.54,0.14,92.10,42.49,0.16,6.91,42.80,0.18,49.61,86.76,0.14,57.17,7.12,0.15,49.83,6.23,0.14,55.17,94.32,0.14,86.54,48.50,0.19,12.90,48.05,0.15,46.64,97.26,0.14,101.69,51.28,0.17,52.83,12.38,0.14,6.85,48.19,0.16,92.18,47.75,0.17,56.37,6.19,0.17,12.38,40.45,0.20,51.06,86.87,0.19,52.83,7.29,0.14,7.52,43.99,0.20,55.71,93.06,0.14,95.05,50.62,0.14,7.29,43.77,0.16,48.41,88.42,0.15,90.85,48.19,0.17,50.18,7.74,0.14,8.62,49.52,0.19,56.15,93.51,0.17,15.69,49.07,0.17,92.62,46.86,0.17,47.31,5.08,0.16,56.15,91.30,0.14,51.06,5.75,0.14,7.96,44.65,0.17,95.94,51.28,0.23,15.92,42.00,0.16,95.27,49.07,0.14,52.83,6.63,0.14,52.17,87.98,0.18,76.49,35.81,0.21,10.83,42.66,0.15,49.52,88.20,0.17,53.27,7.29,0.14,52.17,7.07,0.14,12.60,41.78,0.14,96.82,50.18,0.14,50.40,6.85,0.16,56.81,93.95,0.15,
51.61,98.11,0.29,54.28,7.56,0.27,13.79,45.61,0.25,95.44,52.06,0.30,11.79,54.06,0.30,91.88,44.49,0.28,51.83,6.45,0.27,57.62,84.31,0.22,92.32,40.49,0.26,6.90,42.05,0.28,49.83,85.20,0.23,57.17,7.12,0.25,48.94,6.67,0.24,56.28,93.88,0.21,85.43,48.72,0.29,13.35,48.94,0.25,46.64,97.71,0.25,101.46,49.96,0.27,53.27,12.82,0.23,7.29,49.07,0.26,92.18,48.19,0.27,56.37,5.97,0.27,12.60,39.57,0.30,50.40,85.99,0.29,53.05,7.07,0.24,7.74,45.54,0.31,55.48,92.40,0.23,94.39,50.62,0.23,7.52,43.99,0.26,47.53,87.32,0.25,89.97,47.08,0.27,49.96,8.18,0.22,8.62,50.84,0.29,57.03,92.84,0.27,16.36,49.74,0.24,91.30,46.20,0.26,46.42,6.19,0.26,55.93,90.19,0.23,50.84,5.97,0.21,8.09,44.65,0.27,95.72,50.62,0.29,17.91,42.88,0.26,94.61,48.19,0.24,52.39,6.85,0.22,51.95,87.54,0.28,76.49,35.81,0.31,11.27,42.00,0.23,49.96,87.10,0.26,53.50,6.85,0.24,51.51,7.29,0.23,13.04,41.56,0.22,97.49,50.18,0.22,50.84,6.41,0.26,57.47,92.84,0.25,
52.72,98.55,0.39,54.73,7.79,0.37,14.24,45.61,0.35,95.66,52.72,0.40,12.24,55.39,0.40,90.54,45.38,0.38,51.39,6.01,0.37,58.95,84.98,0.32,92.99,38.04,0.36,6.90,41.82,0.38,50.50,83.20,0.33,57.40,7.34,0.36,48.05,7.12,0.34,57.84,93.43,0.31,84.31,49.39,0.39,13.79,49.16,0.35,47.75,97.49,0.34,101.02,48.63,0.37,53.72,13.71,0.33,7.74,49.74,0.36,91.96,49.30,0.37,55.71,6.19,0.37,12.82,38.91,0.40,49.52,85.77,0.39,52.61,6.63,0.34,8.18,46.86,0.40,55.04,91.96,0.33,93.95,50.84,0.33,7.96,43.77,0.36,46.64,86.65,0.35,88.86,45.98,0.37,49.07,9.06,0.32,8.84,52.39,0.39,57.92,91.74,0.37,17.02,50.62,0.34,90.19,45.32,0.37,44.87,7.74,0.36,55.48,89.09,0.33,50.84,6.63,0.31,7.74,44.43,0.37,95.72,50.62,0.41,19.67,43.77,0.36,93.73,47.53,0.34,52.39,7.07,0.31,52.17,86.21,0.38,76.49,35.81,0.41,11.94,41.12,0.34,50.40,85.99,0.37,53.72,6.85,0.34,50.84,8.40,0.33,13.71,40.90,0.31,97.49,50.18,0.32,50.84,5.97,0.36,58.36,92.18,0.35,
52.95,98.77,0.49,54.73,7.34,0.47,14.68,46.05,0.45,95.44,53.84,0.50,12.68,56.51,0.50,89.21,46.05,0.48,51.17,6.01,0.47,60.51,85.43,0.43,93.43,36.26,0.46,7.34,41.60,0.48,51.61,81.20,0.43,57.40,7.56,0.45,47.38,7.34,0.44,59.18,92.10,0.41,82.76,50.28,0.49,14.46,50.28,0.45,48.63,97.04,0.44,99.92,47.08,0.47,54.16,13.71,0.43,8.18,50.62,0.46,92.40,50.40,0.47,55.71,6.63,0.47,13.04,38.46,0.50,48.63,85.11,0.49,52.39,5.97,0.44,8.62,48.19,0.50,54.38,91.30,0.43,92.84,51.73,0.43,7.96,44.43,0.46,45.54,85.99,0.45,87.98,44.65,0.47,48.19,10.17,0.42,9.06,53.94,0.49,58.14,90.63,0.47,17.46,52.17,0.44,88.86,44.65,0.47,43.11,9.28,0.46,54.60,87.54,0.43,50.40,7.52,0.41,7.74,44.21,0.47,95.50,50.62,0.55,21.22,45.10,0.46,92.84,46.86,0.44,51.73,7.29,0.41,52.39,84.89,0.48,76.71,35.81,0.51,12.60,40.45,0.44,50.62,84.89,0.47,54.16,6.41,0.44,50.40,9.28,0.43,14.37,40.23,0.41,97.71,50.18,0.42,50.84,5.97,0.46,59.46,91.30,0.45,
53.39,98.55,0.59,54.95,7.12,0.57,15.13,45.83,0.55,95.21,54.73,0.60,13.57,58.29,0.60,88.76,47.16,0.58,50.50,5.78,0.57,61.40,86.09,0.52,94.55,34.26,0.56,7.34,41.16,0.58,52.06,78.97,0.53,57.84,7.79,0.55,46.49,9.34,0.54,60.51,90.99,0.51,81.64,51.39,0.59,15.13,50.72,0.55,49.52,96.38,0.55,98.81,45.54,0.57,54.82,14.15,0.53,8.40,51.06,0.56,92.40,51.28,0.57,55.48,6.63,0.57,13.04,37.80,0.60,47.97,84.22,0.59,52.39,5.97,0.54,9.06,49.96,0.60,53.27,91.30,0.53,92.40,52.39,0.53,8.18,44.65,0.56,44.21,85.33,0.55,86.65,42.88,0.57,47.08,11.49,0.52,9.06,55.93,0.59,57.92,89.31,0.57,17.68,53.72,0.54,87.54,43.99,0.56,41.78,10.17,0.56,53.50,85.99,0.53,49.74,8.40,0.51,7.29,43.33,0.57,95.27,50.40,0.62,22.77,46.86,0.56,91.96,46.42,0.54,51.28,8.18,0.51,53.27,83.78,0.58,76.71,35.81,0.61,13.26,40.90,0.54,50.84,83.78,0.56,54.82,5.97,0.54,50.18,10.83,0.53,14.37,40.23,0.51,98.15,50.18,0.52,51.06,6.41,0.56,60.57,89.97,0.55,
53.39,98.77,0.69,54.95,7.12,0.67,15.57,45.83,0.65,94.77,55.84,0.70,14.68,59.62,0.70,88.76,48.50,0.68,50.28,6.23,0.67,62.73,86.54,0.62,95.44,32.48,0.66,7.56,40.71,0.68,53.84,77.42,0.63,58.95,8.01,0.65,45.83,10.68,0.64,61.62,89.43,0.61,80.53,52.72,0.69,15.79,51.61,0.65,50.62,95.05,0.64,97.04,44.65,0.67,55.93,14.15,0.63,10.17,51.28,0.66,91.96,52.17,0.67,55.26,7.52,0.67,13.26,37.36,0.70,47.31,83.56,0.69,51.95,6.41,0.64,9.95,51.73,0.70,52.17,91.52,0.63,91.52,53.50,0.63,8.40,45.32,0.66,42.66,84.66,0.65,85.55,41.12,0.67,46.20,12.60,0.62,9.06,57.92,0.69,57.25,88.42,0.67,17.68,54.82,0.64,86.21,43.33,0.67,40.67,11.27,0.66,52.61,84.66,0.63,49.07,9.51,0.61,6.85,42.44,0.67,95.27,49.52,0.74,23.43,48.63,0.66,90.63,46.42,0.64,50.40,8.84,0.62,53.72,82.45,0.68,76.93,36.03,0.71,14.81,41.34,0.63,50.62,82.45,0.67,55.71,6.41,0.65,49.96,12.16,0.63,14.81,39.57,0.62,98.15,49.96,0.62,51.20,6.63,0.66,61.67,89.09,0.65,
54.06,99.22,0.79,55.17,7.12,0.77,16.02,45.83,0.75,93.88,56.28,0.80,16.02,60.51,0.80,88.99,49.61,0.78,49.39,6.90,0.77,63.40,86.32,0.73,95.44,31.37,0.76,8.45,40.93,0.78,55.39,76.08,0.73,59.40,8.45,0.75,45.83,12.68,0.74,62.73,87.65,0.71,79.42,54.50,0.79,16.91,52.28,0.75,51.06,93.51,0.75,95.05,43.77,0.77,56.81,14.81,0.73,12.16,51.95,0.76,91.30,53.50,0.77,54.60,8.18,0.77,13.48,36.92,0.80,46.64,82.45,0.79,51.06,7.52,0.74,10.61,53.50,0.80,50.84,91.96,0.73,90.85,54.38,0.73,8.84,46.20,0.76,41.12,84.22,0.75,84.44,39.57,0.77,45.32,14.37,0.72,9.28,60.13,0.79,56.15,87.10,0.77,18.35,55.71,0.74,84.66,43.33,0.76,39.57,12.38,0.76,51.73,82.67,0.73,48.41,10.83,0.71,6.85,41.56,0.77,95.27,49.30,0.80,24.32,50.84,0.76,89.31,46.20,0.74,49.52,9.73,0.71,55.04,81.13,0.78,77.15,36.03,0.81,15.69,41.78,0.74,51.06,81.57,0.76,56.59,6.85,0.75,49.96,13.71,0.73,15.03,38.91,0.71,98.59,50.40,0.72,51.73,6.85,0.76,63.00,87.76,0.75,
