33-3,5/25/2007,11:12 AM,33-3,5/25/2007,11:20 AM,33-3,5/25/2007,11:29 AM,33-3,5/25/2007,11:38 AM,33-3,5/26/2007,8:13 AM,33-3,5/26/2007,8:20 AM,33-3,5/26/2007,8:26 AM,33-3,5/26/2007,8:33 AM,33-3,5/27/2007,7:51 AM,33-3,5/27/2007,7:57 AM,33-3*,5/27/2007,8:02 AM,33-3,5/27/2007,8:06 AM,33-3,5/28/2007,7:58 AM,33-3*,5/28/2007,8:02 AM,33-3,5/28/2007,8:07 AM,33-3,5/28/2007,8:13 AM,33-3*,5/29/2007,7:03 AM,33-3,5/29/2007,7:07 AM,33-3,5/29/2007,7:11 AM,33-3,5/29/2007,7:16 AM,33-3,5/30/2007,7:14 AM,33-3,5/30/2007,7:19 AM,33-3,5/30/2007,7:24 AM,33-3,5/30/2007,7:30 AM,33-3,5/31/2007,10:50 AM,33-3,5/31/2007,10:54 AM,33-3,5/31/2007,10:58 AM,33-3,5/31/2007,11:03 AM,33-3,6/1/2007,10:56 AM,33-3,6/1/2007,11:01 AM,33-3,6/1/2007,11:05 AM,33-3,6/1/2007,11:08 AM,33-3,6/2/2007,7:51 AM,33-3,6/3/2007,7:49 AM,33-3,6/3/2007,7:53 AM,33-3,6/3/2007,7:57 AM,33-3,6/3/2007,8:01 AM,33-3,6/4/2007,1:50 PM,33-3,6/4/2007,1:55 PM,33-3,6/4/2007,1:59 PM,33-3,6/4/2007,2:04 PM,33-3,6/5/2007,9:53 AM,33-3,6/5/2007,9:57 AM,33-3,6/5/2007,10:01 AM,33-3*,6/5/2007,10:06 AM,33-3,6/6/2007,9:05 AM,33-3,6/6/2007,9:09 AM,33-3*,6/6/2007,9:13 AM,33-3,6/6/2007,9:17 AM,33-3,6/7/2007,10:42 AM,33-3,6/8/2007,8:15 AM,33-3,6/8/2007,8:19 AM,33-3,6/8/2007,8:23 AM,33-3,6/8/2007,8:27 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
52.95,6.67,0.00,51.61,92.54,0.00,95.44,53.84,0.00,9.34,45.61,0.00,49.39,95.44,0.01,97.66,52.50,0.01,52.50,7.34,0.00,12.01,42.94,0.00,94.77,48.50,0.00,49.39,6.23,0.01,7.58,43.03,0.00,52.28,92.77,0.00,52.50,11.57,0.00,9.14,44.14,0.00,51.61,88.54,0.00,95.88,49.16,0.00,6.87,43.42,0.00,49.74,91.07,0.01,99.70,49.07,0.00,49.96,8.62,0.00,57.70,93.95,0.00,7.74,37.58,0.00,93.29,52.39,0.00,51.06,6.63,0.01,51.28,6.19,0.00,47.75,93.06,0.00,8.18,45.32,0.01,93.51,54.38,0.00,7.07,40.67,0.00,99.48,49.07,0.00,51.06,7.52,0.00,45.98,93.29,0.00,48.41,90.63,0.00,94.61,51.73,0.00,49.74,5.53,0.00,48.19,93.95,0.00,7.52,43.33,0.00,51.06,7.52,0.00,47.97,91.52,0.00,99.03,53.50,0.00,6.19,45.76,0.00,41.78,89.09,0.00,94.61,53.27,0.00,52.39,5.75,0.00,5.09,47.18,0.00,92.62,55.48,0.00,54.16,2.43,0.01,7.53,45.19,0.00,48.41,88.86,0.00,96.38,48.63,0.00,51.73,90.19,0.00,92.62,54.82,0.00,48.41,8.40,0.00,7.74,44.65,0.00,
53.17,6.45,0.08,51.61,92.77,0.08,95.44,54.06,0.08,9.34,45.83,0.08,49.39,95.66,0.08,97.22,53.17,0.09,52.50,7.12,0.08,12.46,42.49,0.08,94.32,48.72,0.08,48.94,6.45,0.08,8.03,42.13,0.08,52.50,92.77,0.09,52.95,12.90,0.10,8.69,43.03,0.09,52.06,88.10,0.08,95.88,48.27,0.08,7.31,42.53,0.08,50.18,90.41,0.09,99.70,49.07,0.07,49.74,9.73,0.10,57.70,93.95,0.08,8.40,37.80,0.08,93.73,52.39,0.09,51.06,6.63,0.08,50.84,5.97,0.07,47.31,93.06,0.08,9.51,45.54,0.08,93.29,54.82,0.10,7.07,40.23,0.10,99.48,48.41,0.09,50.84,7.96,0.09,46.20,93.29,0.08,48.63,90.19,0.07,94.39,52.17,0.08,49.74,5.97,0.09,47.97,93.95,0.08,8.18,43.11,0.08,50.62,7.52,0.08,47.31,90.85,0.08,93.73,53.05,0.07,6.41,45.76,0.08,41.34,88.64,0.08,94.61,52.61,0.08,51.73,9.51,0.08,7.09,46.08,0.08,91.74,55.04,0.08,50.40,6.19,0.08,5.97,46.20,0.08,48.19,88.42,0.08,96.82,47.08,0.10,52.17,89.53,0.08,91.96,54.38,0.09,48.85,7.96,0.08,7.96,44.87,0.07,
53.39,6.45,0.14,51.61,92.99,0.14,94.77,54.06,0.17,9.34,46.05,0.14,49.39,96.10,0.14,96.77,54.06,0.19,52.50,7.12,0.14,12.90,42.05,0.14,93.88,48.94,0.15,48.94,5.78,0.18,8.92,41.69,0.16,53.17,92.32,0.21,53.39,15.13,0.20,9.81,42.80,0.17,52.72,87.43,0.14,96.33,47.61,0.16,7.07,41.34,0.14,50.40,89.31,0.19,99.70,48.63,0.13,49.74,11.49,0.20,58.14,93.73,0.17,9.06,37.80,0.14,94.17,53.05,0.19,51.06,7.07,0.18,50.62,6.41,0.16,47.08,93.29,0.14,10.39,45.98,0.14,93.51,55.26,0.20,6.63,40.45,0.20,99.03,48.41,0.19,50.62,8.62,0.17,46.86,92.62,0.18,49.74,89.09,0.14,93.95,52.17,0.14,48.85,7.07,0.19,47.97,93.73,0.14,8.40,42.88,0.14,50.62,7.29,0.15,46.86,89.75,0.14,93.29,52.39,0.14,6.19,45.98,0.14,40.45,87.32,0.17,93.95,51.95,0.15,51.73,9.51,0.15,5.75,47.08,0.17,90.85,54.60,0.14,50.18,6.63,0.15,6.41,45.98,0.16,47.53,87.98,0.14,97.49,45.76,0.20,53.05,88.86,0.14,90.85,53.94,0.19,48.85,8.18,0.14,8.40,44.43,0.17,
53.39,6.45,0.23,51.83,93.43,0.21,94.55,53.61,0.27,9.12,45.83,0.23,49.16,96.10,0.23,95.44,55.17,0.29,52.50,6.90,0.25,13.57,41.60,0.21,92.99,49.83,0.25,48.94,5.56,0.28,10.48,42.58,0.25,53.61,91.43,0.31,53.17,17.35,0.30,10.46,41.82,0.24,53.84,86.76,0.23,96.55,46.72,0.26,8.62,40.23,0.22,50.18,89.31,0.29,99.25,48.41,0.22,50.18,13.04,0.30,57.70,93.29,0.27,9.95,37.80,0.21,95.05,53.50,0.29,50.84,7.52,0.28,49.96,6.85,0.26,46.42,93.06,0.23,12.16,46.20,0.24,93.51,55.26,0.30,6.63,39.79,0.31,97.93,47.97,0.29,50.40,9.73,0.25,48.19,91.74,0.28,50.62,87.54,0.25,93.95,52.83,0.21,47.53,8.40,0.29,47.97,92.84,0.24,9.06,42.22,0.24,50.62,7.52,0.25,46.64,88.64,0.21,92.62,51.73,0.22,5.75,46.20,0.23,39.13,85.77,0.27,93.73,51.51,0.25,52.17,9.28,0.25,5.97,47.53,0.27,89.53,53.94,0.22,50.18,7.07,0.25,6.85,46.64,0.26,46.64,87.32,0.24,97.71,44.65,0.30,53.94,87.76,0.22,89.75,53.27,0.29,49.52,8.40,0.22,8.62,43.99,0.27,
53.39,6.67,0.33,52.50,93.88,0.31,93.88,53.61,0.37,8.90,45.38,0.33,49.39,96.10,0.33,94.32,56.06,0.39,52.72,6.90,0.34,14.46,42.27,0.31,93.21,50.50,0.35,49.16,6.23,0.38,10.01,42.71,0.35,54.06,90.77,0.41,52.50,19.35,0.40,10.90,42.05,0.33,55.62,85.87,0.34,97.22,45.83,0.36,10.83,38.24,0.31,50.18,88.42,0.39,98.59,47.97,0.32,50.62,15.25,0.40,56.81,92.40,0.37,10.61,37.36,0.31,96.60,54.16,0.39,50.40,9.73,0.38,49.30,7.96,0.36,45.32,93.29,0.33,14.59,46.64,0.34,93.29,55.26,0.40,7.52,39.35,0.41,95.72,47.97,0.40,50.62,11.49,0.33,49.30,90.85,0.38,51.51,85.77,0.34,93.29,53.72,0.31,46.20,10.39,0.39,47.97,92.40,0.34,9.51,41.78,0.34,50.40,7.74,0.35,46.64,86.43,0.31,91.74,51.51,0.32,6.41,45.76,0.33,37.58,84.44,0.37,93.29,50.62,0.35,52.39,9.06,0.35,7.07,48.63,0.37,87.54,52.83,0.32,49.74,7.96,0.35,8.40,47.31,0.36,45.76,86.43,0.34,97.93,43.11,0.40,55.04,86.87,0.32,89.09,53.27,0.39,50.40,9.06,0.32,8.62,43.55,0.37,
53.17,6.67,0.43,52.50,94.32,0.41,93.43,53.39,0.47,8.68,45.16,0.43,49.83,96.33,0.43,92.99,57.40,0.49,53.17,7.34,0.44,15.57,43.16,0.41,93.66,51.83,0.45,49.61,6.90,0.49,10.68,43.16,0.46,55.17,90.77,0.49,51.61,21.58,0.50,12.24,42.05,0.43,56.95,84.98,0.44,97.44,44.94,0.46,13.48,36.70,0.41,50.18,87.98,0.49,97.71,46.86,0.43,51.51,17.02,0.50,55.93,91.52,0.47,11.49,36.92,0.41,97.49,54.82,0.49,50.40,11.27,0.48,48.85,9.51,0.46,44.43,93.29,0.43,16.80,46.86,0.44,93.06,55.48,0.50,7.74,39.35,0.50,94.17,47.97,0.50,51.06,13.48,0.42,50.84,89.75,0.48,52.61,83.34,0.44,92.40,54.82,0.41,44.87,12.16,0.49,47.31,92.40,0.44,10.54,41.34,0.44,50.18,8.18,0.45,47.08,84.00,0.41,91.07,50.40,0.42,7.96,47.08,0.43,35.81,82.90,0.47,93.06,49.30,0.45,52.61,9.28,0.45,8.40,50.18,0.47,85.33,51.73,0.42,49.30,8.84,0.45,9.95,47.53,0.46,44.43,85.77,0.44,97.49,41.78,0.50,56.37,85.77,0.41,87.98,53.50,0.49,51.95,9.06,0.42,9.06,42.88,0.47,
52.95,6.90,0.53,51.83,94.99,0.51,92.32,53.17,0.57,8.68,44.49,0.53,50.28,96.99,0.53,91.88,58.51,0.59,53.39,7.34,0.55,16.02,44.05,0.51,94.77,53.39,0.55,49.61,7.34,0.58,11.35,44.27,0.56,56.28,90.54,0.59,50.05,23.80,0.60,13.35,42.71,0.53,58.29,83.65,0.54,97.88,44.05,0.56,16.36,35.37,0.51,49.52,87.76,0.59,96.38,45.76,0.52,52.39,19.45,0.60,54.60,90.85,0.57,11.49,36.47,0.51,98.59,55.71,0.59,50.84,13.48,0.58,48.41,11.49,0.56,42.66,93.29,0.53,19.67,47.31,0.54,93.06,56.15,0.60,8.84,38.91,0.61,92.40,47.75,0.60,51.51,15.69,0.52,52.61,88.20,0.58,53.94,80.91,0.55,91.07,55.71,0.51,43.33,13.93,0.59,46.86,91.96,0.54,11.49,40.90,0.54,49.96,8.40,0.55,47.31,81.57,0.51,89.75,50.18,0.52,9.73,48.41,0.53,33.16,81.13,0.57,92.62,48.19,0.55,53.27,9.73,0.55,10.39,51.73,0.57,83.12,50.62,0.52,48.41,10.39,0.55,11.72,47.75,0.56,43.33,84.44,0.54,96.82,40.45,0.60,57.47,84.22,0.51,87.54,53.72,0.59,53.72,9.73,0.52,9.51,41.56,0.57,
52.72,7.12,0.63,50.94,95.44,0.61,91.43,52.72,0.67,9.34,44.72,0.63,50.72,96.55,0.63,90.54,59.18,0.69,53.84,7.56,0.64,15.57,44.94,0.61,95.88,54.06,0.65,49.39,7.79,0.68,11.35,45.16,0.65,57.84,90.99,0.69,48.27,25.81,0.70,14.68,43.60,0.63,59.40,82.31,0.63,97.88,43.38,0.66,19.45,34.26,0.61,48.41,87.98,0.69,94.39,44.87,0.62,52.83,21.66,0.70,53.05,91.07,0.67,11.94,36.03,0.61,99.70,57.25,0.69,50.84,15.47,0.68,48.19,13.93,0.66,41.12,92.62,0.63,22.11,47.97,0.64,92.40,57.25,0.70,9.95,38.46,0.70,90.85,47.53,0.69,51.51,18.13,0.62,54.60,86.65,0.68,55.26,78.70,0.64,89.31,56.59,0.61,41.12,15.47,0.69,45.76,91.52,0.64,12.82,40.67,0.64,49.74,8.40,0.65,47.75,79.14,0.61,88.86,50.18,0.62,11.05,49.52,0.63,30.73,79.58,0.67,92.62,46.64,0.65,54.38,10.39,0.65,12.38,53.72,0.67,81.35,49.74,0.62,47.75,11.94,0.65,13.71,47.53,0.66,42.22,83.12,0.64,95.94,39.57,0.70,58.58,82.67,0.62,86.87,54.38,0.69,55.48,10.39,0.62,9.95,39.79,0.67,
53.61,7.34,0.73,50.05,96.10,0.71,90.54,52.28,0.77,8.90,44.72,0.73,51.61,95.66,0.74,89.21,60.29,0.79,54.50,8.01,0.75,15.13,45.38,0.71,97.66,55.17,0.75,49.61,8.01,0.78,10.90,46.05,0.75,59.84,90.77,0.84,46.27,27.81,0.80,15.57,45.16,0.73,60.73,80.98,0.74,97.66,42.94,0.76,22.55,33.16,0.71,47.08,88.42,0.79,92.40,43.99,0.73,53.27,24.32,0.80,51.28,91.52,0.77,12.38,35.15,0.71,100.58,58.80,0.79,50.84,17.91,0.78,47.75,16.58,0.76,38.91,91.74,0.73,24.32,48.85,0.74,92.18,58.36,0.80,11.05,38.24,0.81,89.53,47.31,0.80,51.51,20.34,0.72,56.59,85.11,0.78,57.03,76.04,0.75,87.10,56.59,0.71,38.91,16.80,0.79,45.10,90.85,0.74,14.15,40.67,0.74,49.52,8.84,0.75,48.63,76.26,0.71,87.32,50.18,0.72,12.38,50.62,0.73,27.85,77.81,0.77,92.62,44.65,0.75,55.93,11.49,0.75,13.71,55.48,0.77,79.58,49.74,0.72,47.53,13.71,0.75,15.92,47.31,0.76,41.56,81.35,0.74,94.83,39.79,0.80,59.24,80.69,0.71,86.21,55.04,0.79,57.25,11.72,0.72,10.61,37.80,0.77,
