35-1,5/25/2007,12:08 PM,35-1,5/25/2007,12:18 PM,35-1,5/25/2007,12:26 PM,35-1,5/25/2007,12:34 PM,35-1,5/26/2007,8:55 AM,35-1,5/26/2007,9:03 AM,35-1,5/26/2007,9:09 AM,35-1,5/26/2007,9:17 AM,35-1,5/27/2007,8:20 AM,35-1*,5/27/2007,8:25 AM,35-1,5/27/2007,8:32 AM,35-1,5/27/2007,8:39 AM,35-1,5/28/2007,8:24 AM,35-1,5/28/2007,8:30 AM,35-1*,5/28/2007,8:35 AM,35-1,5/28/2007,8:40 AM,35-1,5/29/2007,7:26 AM,35-1,5/29/2007,7:33 AM,35-1,5/29/2007,7:37 AM,35-1,5/29/2007,7:41 AM,35-1,5/30/2007,7:40 AM,35-1,5/30/2007,7:45 AM,35-1,5/30/2007,7:50 AM,35-1,5/30/2007,7:55 AM,35-1,5/31/2007,11:14 AM,35-1,5/31/2007,11:19 AM,35-1,5/31/2007,11:24 AM,35-1,5/31/2007,11:29 AM,35-1,6/1/2007,11:29 AM,35-1,6/1/2007,11:34 AM,35-1,6/1/2007,11:38 AM,35-1,6/1/2007,11:42 AM,35-1,6/2/2007,8:01 AM,35-1*,6/3/2007,8:12 AM,35-1,6/3/2007,8:17 AM,35-1,6/3/2007,8:21 AM,35-1,6/3/2007,8:25 AM,35-1,6/4/2007,2:17 PM,35-1,6/4/2007,2:23 PM,35-1*,6/4/2007,2:29 PM,35-1,6/4/2007,2:34 PM,35-1,6/5/2007,10:15 AM,35-1,6/5/2007,10:20 AM,35-1,6/5/2007,10:24 AM,35-1,6/5/2007,10:29 AM,35-1,6/6/2007,9:26 AM,35-1,6/6/2007,9:31 AM,35-1,6/6/2007,9:36 AM,35-1,6/6/2007,9:41 AM,35-1,6/7/2007,10:51 AM,35-1,6/8/2007,8:34 AM,35-1,6/8/2007,8:38 AM,35-1,6/8/2007,8:42 AM,35-1,6/8/2007,8:46 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
52.06,6.45,0.00,10.90,43.16,0.00,53.39,93.88,0.00,95.21,54.06,0.00,9.79,44.27,0.01,51.17,94.99,0.00,94.55,54.28,0.00,53.17,7.79,0.00,45.16,94.77,0.00,7.80,40.80,0.00,93.43,50.05,0.01,54.95,7.56,0.01,50.94,6.90,0.00,44.94,99.22,0.00,7.13,47.04,0.00,94.77,53.84,0.01,10.61,51.95,0.00,99.48,61.45,0.00,49.30,7.74,0.00,51.51,92.18,0.00,98.59,50.18,0.00,51.06,5.75,0.00,49.52,91.52,0.01,9.28,45.10,0.01,48.85,91.96,0.00,52.39,6.85,0.01,11.72,46.64,0.01,92.62,57.25,0.00,12.60,44.21,0.01,98.15,51.73,0.00,51.73,11.72,0.00,48.41,93.06,0.00,97.49,53.05,0.00,93.26,54.94,0.00,7.52,46.20,0.00,47.08,93.29,0.01,46.64,9.51,0.00,51.28,13.93,0.00,7.96,46.64,0.00,49.40,90.60,0.00,96.16,55.04,0.00,10.83,48.41,0.00,47.53,94.17,0.01,97.71,53.72,0.00,53.13,7.07,0.00,51.95,94.39,0.00,7.96,49.96,0.00,93.51,54.38,0.00,51.51,11.49,0.00,49.30,10.83,0.00,6.85,45.10,0.01,45.76,89.97,0.01,96.16,53.50,0.00,53.05,5.31,0.00,
52.28,6.67,0.08,11.12,42.49,0.08,52.95,93.88,0.09,94.99,53.84,0.08,9.34,44.94,0.08,51.17,94.77,0.08,94.99,54.50,0.08,53.84,7.34,0.11,45.83,94.55,0.08,9.36,41.69,0.08,92.77,50.72,0.09,54.73,8.01,0.08,50.94,6.90,0.08,45.16,99.22,0.08,6.91,48.15,0.08,93.88,54.28,0.08,13.93,52.17,0.10,99.25,61.01,0.09,48.85,8.40,0.08,51.51,91.52,0.10,98.81,49.30,0.09,50.62,7.07,0.08,48.85,91.30,0.08,10.83,45.10,0.08,49.30,91.07,0.08,51.95,7.29,0.08,12.82,46.64,0.08,92.62,58.14,0.08,13.71,43.77,0.08,98.59,51.06,0.09,52.83,12.82,0.10,49.30,92.84,0.08,97.93,53.50,0.08,95.27,55.26,0.08,8.40,45.98,0.09,47.08,93.51,0.08,46.42,10.83,0.08,51.51,15.03,0.08,8.62,47.53,0.08,47.97,90.63,0.08,96.38,55.48,0.07,12.16,49.07,0.09,48.19,93.51,0.08,97.93,53.94,0.08,54.31,3.76,0.08,52.39,93.29,0.07,9.06,50.84,0.07,93.95,53.72,0.08,52.17,12.16,0.08,49.74,12.38,0.08,7.74,44.87,0.09,45.54,89.31,0.08,96.16,53.72,0.08,52.83,5.97,0.11,
51.83,7.34,0.17,11.12,42.71,0.15,52.28,94.32,0.19,95.66,53.39,0.17,9.57,45.38,0.14,50.50,94.77,0.18,95.44,54.50,0.14,53.61,6.67,0.21,45.83,95.21,0.14,11.57,42.94,0.15,92.99,51.61,0.19,53.84,9.57,0.15,51.17,7.34,0.14,45.38,99.00,0.17,7.13,47.26,0.14,92.77,55.62,0.16,16.80,51.51,0.20,98.81,61.01,0.19,48.63,9.28,0.18,51.06,90.85,0.20,98.59,47.53,0.19,50.84,7.52,0.14,47.75,91.07,0.14,12.16,44.87,0.14,49.52,89.53,0.16,52.17,8.40,0.17,13.48,46.20,0.14,92.40,58.80,0.15,15.03,43.11,0.14,98.37,50.40,0.19,53.94,12.82,0.20,50.62,92.40,0.16,98.37,53.94,0.17,95.94,54.60,0.17,9.73,46.86,0.19,48.19,93.95,0.16,46.86,12.82,0.19,51.95,16.14,0.14,9.51,47.97,0.14,47.53,90.63,0.16,96.38,55.71,0.14,14.15,50.18,0.19,49.07,92.84,0.14,98.59,54.38,0.17,51.25,7.29,0.14,53.05,91.74,0.14,10.61,51.73,0.16,94.39,53.27,0.14,53.05,12.82,0.14,51.06,13.71,0.18,7.74,43.99,0.19,45.32,89.31,0.18,95.72,53.94,0.14,53.05,5.97,0.18,
52.72,8.01,0.27,11.12,42.49,0.25,52.28,94.32,0.29,95.66,52.28,0.27,10.23,45.83,0.22,50.72,94.77,0.28,96.33,54.06,0.22,53.61,6.45,0.31,46.05,94.77,0.22,13.79,43.60,0.25,93.88,52.50,0.29,54.06,11.35,0.25,50.50,7.79,0.22,45.61,98.11,0.31,7.36,47.04,0.22,91.43,56.95,0.26,19.45,50.18,0.30,98.59,61.01,0.29,48.85,10.83,0.28,50.18,89.97,0.30,97.49,46.20,0.29,51.06,7.74,0.21,47.08,91.30,0.24,12.60,44.43,0.22,50.18,87.54,0.26,53.72,10.17,0.27,13.93,45.54,0.22,92.84,59.46,0.25,16.36,42.00,0.22,97.71,48.85,0.29,54.60,13.04,0.30,52.39,91.30,0.26,98.81,53.27,0.27,96.38,53.27,0.27,10.61,47.08,0.29,49.07,93.29,0.26,47.53,13.71,0.28,52.83,18.35,0.24,10.17,47.53,0.21,47.53,90.41,0.26,96.60,55.48,0.21,15.69,51.06,0.29,49.74,91.74,0.22,99.03,53.94,0.27,48.19,10.83,0.25,53.50,89.75,0.22,11.94,52.17,0.26,94.17,51.95,0.24,53.94,13.26,0.24,52.61,14.59,0.28,7.52,43.77,0.29,44.65,89.31,0.28,95.27,54.60,0.24,52.61,6.63,0.31,
52.50,8.68,0.37,10.90,42.05,0.35,52.95,94.99,0.39,94.77,51.39,0.37,10.90,45.83,0.32,50.28,94.99,0.38,97.44,53.39,0.32,53.61,7.34,0.41,46.94,93.66,0.32,16.46,43.16,0.35,94.77,53.17,0.39,55.17,13.13,0.35,50.72,8.90,0.32,46.49,97.44,0.37,6.67,47.61,0.32,90.10,58.29,0.36,22.33,48.63,0.40,97.49,59.69,0.39,49.30,12.82,0.38,48.85,89.31,0.40,96.60,44.43,0.39,51.51,8.62,0.31,46.42,91.96,0.34,13.71,43.99,0.32,50.84,85.33,0.36,55.48,10.61,0.37,15.25,44.65,0.32,93.06,59.91,0.35,17.68,40.01,0.32,96.16,47.97,0.39,55.48,12.38,0.40,53.50,89.97,0.36,99.25,52.61,0.37,95.50,51.95,0.37,12.16,46.64,0.39,50.40,91.74,0.36,48.41,15.03,0.38,53.50,20.12,0.34,10.61,47.08,0.31,47.97,90.41,0.36,97.26,55.04,0.31,17.24,52.83,0.39,50.40,90.63,0.32,99.70,53.05,0.37,49.52,11.49,0.34,54.16,87.10,0.32,13.71,51.51,0.36,93.06,49.96,0.34,55.04,13.48,0.34,54.38,14.59,0.38,7.29,43.55,0.39,43.99,88.64,0.38,94.83,55.48,0.34,52.61,7.29,0.38,
52.50,8.45,0.47,10.90,41.82,0.45,53.61,94.99,0.49,93.43,50.50,0.47,12.24,44.72,0.42,50.28,95.21,0.48,97.44,52.28,0.43,53.17,7.56,0.51,46.49,91.88,0.42,18.69,42.71,0.45,95.66,52.50,0.49,56.51,14.68,0.45,51.61,9.79,0.42,47.83,95.44,0.49,7.12,47.83,0.42,88.32,59.84,0.46,24.76,47.08,0.50,95.72,58.58,0.49,50.62,14.59,0.48,47.97,89.31,0.50,95.05,42.66,0.49,52.39,8.84,0.41,46.86,92.40,0.44,14.81,43.33,0.42,51.73,83.12,0.46,57.25,10.61,0.47,15.47,43.99,0.42,93.06,59.69,0.45,17.68,38.24,0.42,94.39,47.53,0.49,55.04,12.16,0.50,54.38,88.42,0.46,98.37,51.51,0.47,94.17,51.06,0.47,13.26,45.76,0.49,51.28,90.41,0.46,49.52,15.69,0.48,54.16,22.55,0.44,10.39,46.42,0.41,48.19,89.53,0.46,97.49,54.38,0.41,18.35,54.38,0.49,51.06,89.09,0.42,99.25,51.73,0.47,50.62,11.72,0.44,55.04,84.22,0.42,14.59,50.62,0.46,91.74,48.19,0.44,55.71,13.04,0.44,55.71,13.93,0.48,7.29,42.88,0.49,43.33,88.20,0.48,94.61,55.93,0.44,53.50,8.62,0.49,
52.50,8.45,0.57,10.46,42.05,0.55,54.50,93.88,0.59,92.32,50.50,0.57,12.68,43.60,0.52,51.17,95.21,0.58,97.44,51.83,0.52,52.50,8.45,0.61,45.38,90.77,0.52,21.36,41.82,0.55,96.55,51.61,0.59,58.29,15.57,0.55,52.72,10.01,0.52,48.50,94.10,0.56,8.23,48.27,0.52,86.32,60.96,0.56,27.85,46.20,0.60,93.73,57.25,0.59,51.95,16.36,0.58,47.31,89.31,0.60,93.51,41.56,0.59,53.50,9.28,0.51,47.75,92.40,0.54,14.59,42.66,0.52,52.83,80.91,0.56,59.46,10.83,0.57,15.03,42.44,0.52,93.29,59.46,0.55,17.02,36.70,0.52,92.84,47.75,0.59,54.38,11.94,0.60,55.26,86.43,0.56,95.72,50.18,0.57,91.96,50.18,0.57,13.71,45.32,0.59,51.51,88.42,0.56,50.18,15.69,0.58,55.48,24.10,0.54,10.39,46.42,0.51,47.31,88.64,0.56,96.60,53.05,0.51,19.45,55.71,0.59,51.95,87.54,0.52,98.15,49.96,0.57,51.51,11.94,0.55,56.37,81.57,0.52,15.03,49.74,0.56,90.19,46.20,0.54,56.59,12.60,0.54,57.03,13.26,0.58,7.74,42.88,0.59,42.22,87.54,0.58,95.17,56.15,0.54,53.72,10.39,0.59,
52.95,8.23,0.67,10.46,42.27,0.65,54.06,92.77,0.69,91.21,51.17,0.67,12.01,42.71,0.62,51.83,95.21,0.68,97.22,50.72,0.62,51.61,9.57,0.71,43.83,90.10,0.62,24.25,41.16,0.65,96.55,50.94,0.69,60.51,16.46,0.65,54.50,9.79,0.62,50.50,92.77,0.70,8.68,47.83,0.62,84.09,62.07,0.66,31.39,45.98,0.70,91.52,56.15,0.69,53.50,18.13,0.68,46.86,89.75,0.70,91.74,40.01,0.69,54.82,9.51,0.61,48.85,91.30,0.64,14.37,42.00,0.62,53.94,78.70,0.66,60.79,10.39,0.67,14.15,41.56,0.62,93.06,59.24,0.65,16.14,35.81,0.62,90.85,48.41,0.69,53.50,12.60,0.70,55.71,84.00,0.66,93.06,50.18,0.67,90.41,49.96,0.67,13.48,44.43,0.69,51.51,86.87,0.66,50.84,15.25,0.68,56.81,25.64,0.64,9.73,46.86,0.61,46.20,86.87,0.66,95.27,52.39,0.61,20.12,56.59,0.69,52.39,85.99,0.62,97.04,48.41,0.67,52.17,12.16,0.64,57.70,78.47,0.62,14.59,48.19,0.66,88.20,44.21,0.64,56.15,11.72,0.64,56.59,12.38,0.68,7.96,43.11,0.69,41.34,86.43,0.68,95.72,57.03,0.64,54.16,12.16,0.69,
52.95,8.23,0.77,9.79,42.49,0.75,52.95,91.65,0.79,90.32,52.72,0.77,11.57,41.16,0.72,52.72,93.88,0.78,96.33,49.16,0.73,50.94,11.35,0.81,42.05,90.77,0.72,27.36,40.93,0.75,95.44,50.28,0.79,62.29,17.35,0.75,55.84,8.68,0.72,51.61,92.10,0.76,9.34,47.61,0.72,81.42,62.51,0.76,34.48,45.98,0.80,89.53,54.82,0.79,54.82,19.67,0.78,46.42,90.19,0.80,89.31,39.13,0.79,55.71,8.84,0.71,49.96,89.75,0.74,14.15,41.56,0.72,55.48,76.04,0.76,62.12,9.73,0.77,13.48,41.12,0.72,91.96,58.36,0.75,15.69,35.15,0.72,89.31,49.30,0.79,52.39,13.93,0.80,55.93,81.57,0.76,90.63,50.62,0.77,87.76,49.30,0.77,13.26,44.43,0.79,51.28,84.89,0.76,51.28,15.03,0.78,58.58,25.64,0.74,10.61,47.75,0.71,44.87,85.55,0.76,94.61,52.17,0.71,21.00,57.70,0.79,52.83,84.44,0.72,95.27,47.08,0.77,52.61,12.16,0.75,59.24,75.60,0.72,13.71,46.20,0.76,86.21,41.34,0.74,55.26,11.05,0.74,55.71,11.49,0.78,8.84,43.11,0.79,40.45,85.11,0.78,96.60,56.15,0.74,54.60,13.26,0.82,
