35-2,5/25/2007,12:11 PM,35-2,5/25/2007,12:19 PM,35-2,5/25/2007,12:28 PM,35-2,5/25/2007,12:36 PM,35-2,5/26/2007,8:56 AM,35-2,5/26/2007,9:04 AM,35-2,5/26/2007,9:12 AM,35-2,5/26/2007,9:18 AM,35-2,5/27/2007,8:21 AM,35-2,5/27/2007,8:27 AM,35-2,5/27/2007,8:33 AM,35-2,5/27/2007,8:40 AM,35-2,5/28/2007,8:26 AM,35-2,5/28/2007,8:31 AM,35-2*,5/28/2007,8:36 AM,35-2,5/28/2007,8:41 AM,35-2,5/29/2007,7:27 AM,35-2,5/29/2007,7:34 AM,35-2,5/29/2007,7:38 AM,35-2,5/29/2007,7:42 AM,35-2,5/30/2007,7:41 AM,35-2,5/30/2007,7:45 AM,35-2,5/30/2007,7:51 AM,35-2,5/30/2007,7:56 AM,35-2,5/31/2007,11:15 AM,35-2,5/31/2007,11:20 AM,35-2,5/31/2007,11:24 AM,35-2,5/31/2007,11:30 AM,35-2,6/1/2007,11:30 AM,35-2,6/1/2007,11:35 AM,35-2,6/1/2007,11:38 AM,35-2,6/1/2007,11:43 AM,35-2,6/2/2007,8:03 AM,35-2*,6/3/2007,8:13 AM,35-2*,6/3/2007,8:18 AM,35-2,6/3/2007,8:22 AM,35-2,6/3/2007,8:26 AM,35-2,6/4/2007,2:18 PM,35-2,6/4/2007,2:25 PM,35-2*,6/4/2007,2:30 PM,35-2,6/4/2007,2:34 PM,35-2,6/5/2007,10:16 AM,35-2,6/5/2007,10:21 AM,35-2,6/5/2007,10:25 AM,35-2,6/5/2007,10:30 AM,35-2,6/6/2007,9:27 AM,35-2*,6/6/2007,9:33 AM,35-2,6/6/2007,9:36 AM,35-2,6/6/2007,9:41 AM,35-2*,6/7/2007,10:53 AM,35-2*,6/8/2007,8:35 AM,35-2,6/8/2007,8:39 AM,35-2,6/8/2007,8:43 AM,35-2,6/8/2007,8:47 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
49.39,5.34,0.00,7.56,48.94,0.00,60.96,99.00,0.01,101.44,47.16,0.00,17.35,43.83,0.01,52.95,96.99,0.00,81.42,45.16,0.00,53.17,5.78,0.00,47.16,95.88,0.00,12.24,40.71,0.01,97.66,48.27,0.00,55.39,7.79,0.00,50.28,10.23,0.00,49.83,84.09,0.01,6.91,46.37,0.00,96.99,58.73,0.00,9.73,48.63,0.00,101.02,53.05,0.00,48.41,5.53,0.01,52.61,87.54,0.00,95.27,45.76,0.00,51.73,9.28,0.00,51.06,91.74,0.00,7.52,43.55,0.01,47.75,87.76,0.00,48.19,5.08,0.01,6.19,45.98,0.00,90.85,44.87,0.00,7.07,42.22,0.00,92.18,54.60,0.00,50.62,6.85,0.00,45.76,87.10,0.00,10.61,49.52,0.00,94.37,48.07,0.00,8.20,47.18,0.00,53.27,91.30,0.00,51.06,6.41,0.00,47.31,8.18,0.01,6.85,44.65,0.00,45.85,88.39,0.00,97.26,54.16,0.01,10.83,46.64,0.01,44.65,93.95,0.00,94.83,52.61,0.00,59.69,50.40,0.00,54.60,91.30,0.00,5.54,46.08,0.00,91.52,57.70,0.00,49.96,4.81,0.01,7.09,41.87,0.00,7.75,42.97,0.00,47.53,85.11,0.00,95.94,49.52,0.01,48.63,6.63,0.00,
48.72,5.34,0.08,8.23,48.94,0.08,61.18,98.33,0.08,100.78,46.27,0.08,17.57,42.27,0.08,53.84,96.99,0.08,82.76,46.72,0.08,53.17,6.23,0.08,48.50,94.99,0.10,11.79,40.04,0.08,97.66,48.27,0.08,55.39,7.79,0.08,50.05,11.79,0.07,48.94,85.20,0.08,8.03,47.48,0.10,97.22,58.95,0.09,11.05,49.52,0.08,100.58,52.39,0.07,47.97,5.75,0.08,51.73,87.32,0.08,93.95,46.42,0.08,52.39,10.61,0.08,50.84,90.85,0.08,7.52,43.33,0.09,46.86,87.98,0.08,47.08,5.31,0.08,6.41,46.42,0.08,89.31,45.32,0.08,6.85,43.77,0.08,91.52,55.48,0.08,49.52,7.74,0.08,44.43,85.99,0.08,11.94,50.62,0.08,92.62,49.30,0.08,6.85,46.86,0.10,53.50,90.63,0.08,50.40,7.07,0.09,47.53,8.40,0.08,7.07,44.87,0.08,45.98,89.97,0.11,97.71,54.16,0.08,11.27,47.75,0.09,45.54,94.39,0.08,93.73,51.73,0.08,61.01,49.07,0.08,55.93,88.86,0.10,7.07,45.98,0.08,90.19,57.70,0.08,49.96,5.53,0.08,8.40,42.22,0.10,8.18,43.77,0.07,47.31,84.22,0.08,95.05,48.63,0.08,48.41,6.85,0.08,
47.61,5.34,0.14,8.90,48.72,0.16,60.51,97.44,0.16,99.44,44.72,0.15,18.02,40.71,0.15,55.39,96.33,0.14,84.31,47.83,0.14,53.17,6.45,0.14,49.16,92.99,0.20,10.90,40.71,0.16,97.22,48.27,0.14,54.50,8.68,0.17,50.72,13.79,0.15,48.05,86.76,0.17,10.23,48.94,0.20,97.66,59.40,0.19,13.26,50.18,0.18,100.14,51.51,0.14,47.08,6.41,0.14,49.96,87.32,0.17,92.62,47.31,0.15,53.72,11.72,0.14,50.40,89.75,0.17,7.74,43.33,0.19,45.76,88.42,0.17,46.42,6.19,0.16,7.29,46.86,0.15,87.76,46.42,0.16,7.07,44.65,0.14,91.07,55.93,0.14,48.41,9.06,0.14,43.11,84.22,0.16,13.71,51.95,0.17,91.30,50.18,0.15,6.19,47.53,0.20,54.38,89.31,0.17,49.96,8.18,0.19,47.75,9.51,0.18,7.74,45.32,0.16,46.86,90.63,0.22,98.37,53.27,0.18,11.94,50.18,0.18,46.42,94.61,0.14,92.62,51.28,0.14,62.12,47.53,0.15,57.47,85.77,0.20,7.74,46.20,0.14,89.09,57.70,0.14,49.30,6.41,0.18,9.28,43.11,0.20,7.52,44.65,0.16,47.31,83.12,0.14,93.73,47.31,0.17,48.63,6.85,0.14,
46.94,5.34,0.21,10.01,48.50,0.26,59.84,96.33,0.25,97.22,44.27,0.25,18.02,38.26,0.25,57.40,94.99,0.23,86.09,48.27,0.21,52.95,6.67,0.24,49.39,90.10,0.30,10.23,41.82,0.26,95.66,49.16,0.24,53.61,9.79,0.27,52.28,16.02,0.25,47.61,87.87,0.27,12.46,49.61,0.30,98.55,59.18,0.28,15.47,50.84,0.28,97.49,50.40,0.29,45.32,8.62,0.23,48.41,87.54,0.27,90.85,48.85,0.25,54.60,12.38,0.21,49.96,89.09,0.26,7.96,43.55,0.29,45.10,89.09,0.28,44.21,8.62,0.26,7.96,47.31,0.25,85.77,48.19,0.26,8.18,46.86,0.23,90.19,57.47,0.24,47.53,10.61,0.23,41.56,81.57,0.26,15.69,54.16,0.27,89.09,51.28,0.25,6.63,48.63,0.30,55.48,87.10,0.27,49.07,9.28,0.29,48.19,11.27,0.28,7.74,45.32,0.26,47.75,91.07,0.29,99.25,51.95,0.28,12.82,52.83,0.28,48.19,93.51,0.24,90.19,50.18,0.23,64.11,45.10,0.25,59.24,82.23,0.30,8.18,46.64,0.22,87.32,57.03,0.23,49.07,7.29,0.28,10.83,45.54,0.30,7.07,46.42,0.26,47.53,81.57,0.22,91.96,45.98,0.27,48.19,7.52,0.22,
46.05,5.56,0.31,12.01,47.38,0.36,58.95,96.10,0.36,95.21,45.16,0.35,16.91,36.26,0.35,58.95,92.77,0.33,88.76,48.50,0.31,52.95,6.67,0.34,49.16,86.98,0.40,10.90,43.38,0.36,94.32,50.72,0.34,54.06,11.35,0.37,54.28,18.69,0.35,48.27,88.99,0.37,14.91,50.05,0.40,99.22,58.51,0.38,18.13,51.73,0.38,96.16,50.84,0.35,44.21,11.27,0.33,47.53,87.32,0.37,89.09,50.62,0.35,56.15,13.93,0.31,48.85,88.20,0.37,7.29,43.99,0.39,45.76,89.97,0.37,42.22,11.05,0.36,9.51,48.41,0.35,84.00,50.18,0.36,9.28,49.07,0.33,89.75,58.58,0.34,46.42,13.26,0.33,40.67,78.70,0.36,17.91,56.15,0.37,86.65,52.39,0.35,7.07,50.62,0.40,57.03,85.33,0.37,48.19,10.39,0.39,49.07,13.48,0.38,7.74,46.20,0.36,49.96,90.19,0.42,99.03,49.96,0.38,13.93,55.93,0.38,49.74,91.74,0.34,87.98,48.85,0.34,66.10,42.44,0.35,60.79,78.70,0.40,8.84,46.86,0.32,85.11,56.15,0.33,48.19,9.51,0.38,12.38,47.97,0.40,6.85,48.85,0.36,48.63,79.36,0.32,89.97,44.21,0.37,47.53,8.62,0.32,
44.72,6.45,0.41,14.24,45.61,0.46,57.84,97.22,0.46,94.10,46.49,0.45,15.57,35.37,0.45,60.51,90.10,0.43,91.65,47.83,0.41,52.95,6.45,0.44,48.94,83.42,0.50,12.24,45.16,0.46,93.88,52.50,0.44,54.73,12.90,0.47,56.51,20.91,0.45,49.83,89.65,0.47,17.57,49.83,0.50,99.66,56.95,0.49,20.78,52.61,0.48,94.17,52.39,0.46,43.33,14.15,0.43,45.98,87.10,0.47,87.32,52.17,0.45,56.81,15.69,0.41,47.97,88.42,0.47,7.96,44.87,0.49,46.64,90.85,0.47,41.12,13.93,0.46,10.83,49.52,0.45,82.90,52.17,0.46,11.05,51.51,0.43,89.97,59.91,0.44,45.32,16.14,0.43,40.90,75.38,0.46,20.56,57.92,0.47,83.56,53.05,0.45,8.40,53.05,0.50,58.58,82.90,0.47,47.97,12.16,0.49,48.85,15.69,0.48,7.74,47.53,0.46,52.17,89.09,0.52,97.93,47.97,0.48,15.25,59.02,0.48,50.84,89.31,0.44,85.55,46.86,0.44,68.09,40.45,0.45,62.78,75.16,0.50,9.51,46.86,0.42,83.12,54.38,0.43,47.75,11.49,0.48,13.71,50.40,0.50,6.85,51.06,0.46,50.40,77.37,0.42,88.20,41.78,0.47,47.31,9.95,0.43,
43.16,7.12,0.51,14.46,43.16,0.56,57.17,98.55,0.56,93.66,48.27,0.55,13.79,36.26,0.55,60.96,86.76,0.53,94.77,46.72,0.51,52.95,6.23,0.54,48.50,79.86,0.60,14.02,46.72,0.56,92.99,54.06,0.54,56.28,14.46,0.57,59.18,23.14,0.55,51.61,89.43,0.57,20.24,48.94,0.60,99.22,55.39,0.58,23.43,53.72,0.58,92.40,55.48,0.61,42.88,17.24,0.53,44.43,86.21,0.57,85.33,53.27,0.55,56.81,18.13,0.51,46.86,89.09,0.56,8.84,45.98,0.59,47.97,90.41,0.57,41.12,17.02,0.56,13.04,51.06,0.55,81.79,54.38,0.56,13.26,53.94,0.53,90.85,61.23,0.54,43.77,19.01,0.53,41.34,72.29,0.56,23.65,59.24,0.57,80.91,54.16,0.55,10.39,55.26,0.60,60.13,80.24,0.57,48.41,13.93,0.59,48.19,18.57,0.58,8.62,49.07,0.56,53.50,86.65,0.62,96.16,46.42,0.58,16.80,61.67,0.58,51.95,86.43,0.54,83.34,44.21,0.54,70.52,37.80,0.55,64.55,71.40,0.60,10.39,47.31,0.52,81.35,52.17,0.53,47.08,13.48,0.58,14.59,53.27,0.60,7.74,53.05,0.56,52.83,75.38,0.52,87.10,39.13,0.57,46.64,11.72,0.52,
40.93,7.79,0.61,14.24,40.71,0.66,57.17,99.89,0.65,93.43,50.50,0.65,12.46,37.82,0.65,60.96,83.42,0.63,97.44,45.38,0.61,52.95,6.01,0.64,47.38,76.53,0.70,16.24,48.27,0.66,91.88,55.62,0.64,57.84,15.35,0.67,62.07,24.03,0.65,53.39,88.54,0.67,22.02,47.61,0.70,98.33,53.61,0.69,25.20,55.48,0.68,92.18,56.59,0.67,43.55,19.67,0.63,42.44,84.89,0.67,83.34,54.38,0.65,56.15,20.78,0.61,46.86,89.75,0.67,10.61,47.53,0.69,49.07,89.09,0.68,41.56,20.12,0.66,14.81,52.39,0.65,80.46,56.59,0.66,15.25,56.81,0.63,91.74,60.57,0.64,41.78,21.66,0.63,42.00,69.41,0.66,26.53,59.91,0.67,78.92,56.15,0.65,12.60,57.25,0.70,61.01,77.37,0.67,49.07,15.92,0.69,47.31,21.44,0.68,9.73,51.28,0.66,54.38,83.78,0.71,93.51,45.32,0.68,18.35,64.99,0.68,52.83,83.56,0.64,81.35,41.12,0.63,72.29,36.03,0.65,66.10,67.64,0.70,11.72,48.19,0.62,80.02,49.30,0.63,46.64,15.25,0.68,15.03,56.37,0.70,9.06,55.04,0.66,55.48,73.39,0.62,85.99,36.03,0.67,45.98,13.93,0.62,
38.93,9.12,0.71,14.24,38.04,0.76,57.62,100.55,0.76,94.10,52.06,0.75,12.24,40.27,0.75,60.96,79.64,0.73,99.66,44.05,0.71,52.72,6.23,0.74,45.61,73.41,0.80,18.46,50.50,0.76,90.10,57.40,0.74,58.51,15.35,0.77,65.18,24.92,0.75,55.17,87.21,0.77,22.91,46.05,0.80,96.99,52.06,0.79,26.53,57.92,0.78,91.30,59.46,0.79,44.21,22.11,0.73,41.12,83.34,0.77,80.91,56.37,0.75,55.04,23.65,0.71,47.75,90.85,0.76,12.38,48.85,0.79,49.74,87.54,0.77,42.00,23.65,0.76,17.24,54.16,0.75,78.70,59.24,0.76,17.46,59.69,0.73,93.29,59.91,0.74,39.13,23.87,0.73,43.11,65.87,0.76,28.96,59.02,0.77,78.47,57.92,0.75,15.47,59.24,0.80,61.01,74.50,0.77,48.85,17.91,0.79,46.20,24.76,0.78,11.72,53.50,0.76,54.60,81.79,0.79,90.85,44.21,0.78,20.12,67.86,0.78,54.38,80.46,0.74,79.58,37.80,0.74,73.83,34.71,0.75,67.86,64.11,0.80,12.82,48.63,0.72,78.92,45.76,0.73,47.53,16.58,0.78,15.69,59.69,0.80,11.05,56.59,0.76,58.14,71.40,0.72,84.89,32.94,0.77,45.54,16.14,0.73,
