36-2,5/25/2007,12:16 PM,36-2,5/25/2007,12:24 PM,36-2,5/25/2007,12:31 PM,36-2,5/25/2007,12:41 PM,36-2,5/26/2007,9:00 AM,36-2,5/26/2007,9:07 AM,36-2,5/26/2007,9:15 AM,36-2,5/26/2007,9:21 AM,36-2,5/27/2007,8:23 AM,36-2*,5/27/2007,8:30 AM,36-2,5/27/2007,8:36 AM,36-2,5/27/2007,8:42 AM,36-2,5/28/2007,8:28 AM,36-2,5/28/2007,8:33 AM,36-2,5/28/2007,8:38 AM,36-2,5/28/2007,8:43 AM,36-2,5/29/2007,7:31 AM,36-2,5/29/2007,7:36 AM,36-2,5/29/2007,7:40 AM,36-2,5/29/2007,7:44 AM,36-2,5/30/2007,7:43 AM,36-2,5/30/2007,7:49 AM,36-2,5/30/2007,7:53 AM,36-2,5/30/2007,7:58 AM,36-2,5/31/2007,11:17 AM,36-2,5/31/2007,11:22 AM,36-2,5/31/2007,11:27 AM,36-2,5/31/2007,11:32 AM,36-2,6/1/2007,11:32 AM,36-2,6/1/2007,11:36 AM,36-2,6/1/2007,11:40 AM,36-2,6/1/2007,11:44 AM,36-2,6/2/2007,8:07 AM,36-2,6/3/2007,8:16 AM,36-2,6/3/2007,8:19 AM,36-2,6/3/2007,8:23 AM,36-2,6/3/2007,8:27 AM,36-2,6/4/2007,2:21 PM,36-2,6/4/2007,2:27 PM,36-2,6/4/2007,2:32 PM,36-2,6/4/2007,2:36 PM,36-2,6/5/2007,10:17 AM,36-2*,6/5/2007,10:23 AM,36-2,6/5/2007,10:27 AM,36-2,6/5/2007,10:34 AM,36-2,6/6/2007,9:29 AM,36-2,6/6/2007,9:34 AM,36-2,6/6/2007,9:38 AM,36-2,6/6/2007,9:43 AM,36-2,6/7/2007,10:56 AM,36-2,6/8/2007,8:37 AM,36-2,6/8/2007,8:41 AM,36-2,6/8/2007,8:45 AM,36-2,6/8/2007,8:48 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
53.17,6.45,0.00,8.23,43.16,0.00,52.72,99.00,0.01,100.33,50.50,0.00,12.68,39.60,0.00,50.94,92.32,0.00,83.20,44.49,0.00,56.06,6.23,0.00,52.28,83.65,0.00,10.70,35.67,0.00,90.10,48.72,0.00,49.39,10.90,0.00,52.06,6.90,0.00,53.84,80.09,0.00,15.57,42.27,0.01,89.65,44.49,0.00,13.26,42.66,0.00,94.17,47.75,0.00,51.51,10.83,0.00,50.40,88.20,0.00,95.50,44.65,0.01,52.83,8.40,0.00,57.03,92.62,0.01,15.25,39.57,0.00,51.06,92.84,0.00,51.73,9.51,0.00,8.84,40.45,0.00,94.17,50.62,0.00,8.18,47.75,0.00,94.17,50.40,0.00,51.28,6.41,0.01,46.42,90.19,0.00,52.39,7.07,0.00,94.17,46.86,0.00,6.63,45.10,0.00,52.61,91.52,0.00,49.74,9.73,0.00,55.93,8.62,0.00,9.95,45.32,0.00,49.52,88.64,0.00,94.39,50.84,0.01,11.72,43.99,0.01,54.49,89.72,0.00,94.48,42.55,0.00,49.07,7.07,0.00,48.19,91.07,0.00,9.28,44.21,0.00,95.05,55.48,0.00,50.84,6.19,0.00,96.16,50.18,0.01,9.51,41.34,0.00,47.53,93.06,0.01,97.26,50.18,0.00,47.08,6.41,0.00,
53.17,6.23,0.08,7.79,42.49,0.10,52.28,99.22,0.08,100.11,50.72,0.08,13.57,39.38,0.08,51.39,92.32,0.08,81.64,44.49,0.10,57.40,6.67,0.11,52.95,82.76,0.10,12.26,34.78,0.08,89.43,48.05,0.08,49.61,11.35,0.08,52.50,7.34,0.08,54.95,80.31,0.08,16.68,43.16,0.08,90.10,43.60,0.08,13.93,43.11,0.08,94.17,46.86,0.08,51.06,11.94,0.07,50.84,88.42,0.07,96.16,44.43,0.08,53.50,9.06,0.07,57.03,92.84,0.08,16.36,40.45,0.08,50.84,93.73,0.10,50.62,10.61,0.08,10.39,40.23,0.08,93.73,50.40,0.07,8.62,47.97,0.08,93.73,49.96,0.08,51.28,6.63,0.08,46.86,89.75,0.08,53.27,7.74,0.08,93.73,45.98,0.07,7.96,44.87,0.07,52.61,91.07,0.07,49.52,10.61,0.08,56.37,9.28,0.08,10.83,45.54,0.08,49.52,88.20,0.08,94.17,50.40,0.09,12.60,44.43,0.09,57.92,87.98,0.11,96.16,43.92,0.08,49.30,7.07,0.07,48.19,90.85,0.09,9.95,44.21,0.08,94.39,55.04,0.08,51.28,6.63,0.08,96.16,49.74,0.08,9.51,41.12,0.07,47.75,92.62,0.08,97.04,49.96,0.07,47.53,6.41,0.10,
53.17,6.01,0.15,7.12,41.82,0.20,51.17,99.00,0.14,99.89,50.72,0.18,14.68,39.60,0.18,52.06,92.32,0.14,80.53,44.94,0.20,59.18,7.79,0.21,54.50,81.64,0.20,14.02,34.93,0.18,88.76,47.38,0.14,49.61,11.79,0.14,53.17,8.01,0.16,56.28,80.53,0.16,17.80,44.72,0.18,90.32,42.27,0.14,14.59,43.77,0.16,94.39,46.20,0.14,50.62,13.04,0.14,51.51,88.64,0.14,97.04,44.21,0.14,53.27,10.17,0.17,57.03,93.51,0.14,17.24,40.90,0.14,50.62,95.05,0.20,49.52,11.27,0.14,12.16,40.45,0.17,93.06,49.96,0.15,8.84,48.19,0.14,93.51,50.40,0.14,52.17,7.29,0.16,47.75,89.75,0.17,53.72,8.62,0.18,93.29,45.10,0.13,9.28,45.10,0.16,53.05,90.41,0.14,49.52,11.27,0.14,56.15,9.95,0.16,11.72,46.20,0.14,49.07,87.32,0.16,93.95,49.96,0.19,13.71,44.87,0.19,59.02,86.65,0.20,95.72,46.64,0.17,49.52,7.29,0.14,47.31,90.19,0.19,10.39,44.21,0.14,93.95,54.60,0.18,51.51,7.52,0.14,95.27,48.63,0.16,10.17,41.34,0.17,47.97,91.52,0.17,96.60,49.96,0.13,47.97,6.63,0.20,
53.61,6.23,0.25,6.67,41.16,0.30,49.83,98.77,0.22,99.66,50.50,0.28,16.24,39.82,0.28,52.95,92.77,0.23,79.42,45.61,0.30,61.62,10.01,0.31,56.28,81.42,0.30,15.57,34.48,0.28,88.10,46.72,0.22,49.83,13.35,0.24,54.73,8.90,0.26,57.40,81.20,0.26,18.69,46.27,0.28,90.99,40.93,0.21,15.03,45.10,0.25,94.83,45.54,0.23,50.18,14.15,0.22,52.17,88.64,0.24,97.49,43.99,0.25,52.61,11.27,0.27,56.15,94.39,0.23,17.91,41.78,0.24,49.07,95.05,0.31,48.19,12.60,0.24,13.71,41.56,0.26,92.40,49.52,0.25,10.39,49.07,0.23,92.62,50.40,0.24,52.83,7.74,0.26,47.97,89.09,0.27,54.38,9.95,0.28,92.62,43.77,0.22,10.61,45.32,0.25,53.27,89.31,0.23,49.52,12.38,0.22,55.48,11.27,0.26,12.38,46.64,0.22,49.30,86.21,0.26,92.84,49.96,0.29,15.03,45.10,0.29,59.91,85.55,0.30,94.61,45.98,0.27,49.96,8.84,0.21,46.64,89.75,0.29,11.27,43.77,0.23,93.06,54.16,0.28,51.73,7.96,0.23,94.39,48.19,0.26,10.83,41.12,0.27,48.41,90.41,0.27,96.60,49.30,0.23,48.19,7.52,0.30,
54.06,6.23,0.35,6.90,41.16,0.40,48.27,97.88,0.32,99.22,50.50,0.38,17.80,40.49,0.38,54.06,92.99,0.33,78.97,46.27,0.40,63.85,11.57,0.41,58.29,80.98,0.40,16.91,34.26,0.38,86.54,45.83,0.32,50.05,15.57,0.34,55.39,10.23,0.36,57.84,82.09,0.36,18.69,48.27,0.38,90.77,39.38,0.31,15.03,46.42,0.35,95.27,45.10,0.33,49.74,16.14,0.32,53.50,88.20,0.34,98.37,43.99,0.34,51.73,11.94,0.37,55.48,95.05,0.33,19.01,42.88,0.34,47.97,93.95,0.41,46.64,13.93,0.34,15.25,42.88,0.37,91.74,49.30,0.35,11.49,50.62,0.33,91.52,50.84,0.34,53.50,10.17,0.35,48.85,88.42,0.37,53.72,10.83,0.38,91.30,42.44,0.32,12.60,45.76,0.35,53.05,88.20,0.33,49.74,13.71,0.32,54.82,11.94,0.36,13.48,47.31,0.32,48.85,84.66,0.36,91.96,49.30,0.39,16.58,45.98,0.39,61.01,84.22,0.40,93.73,45.10,0.37,49.96,10.83,0.31,46.20,89.09,0.40,12.16,43.99,0.33,92.62,53.05,0.38,52.39,8.40,0.33,93.29,47.31,0.36,11.94,40.90,0.37,48.85,89.53,0.37,96.16,48.63,0.33,49.52,8.18,0.40,
54.28,6.45,0.45,6.67,40.71,0.50,46.72,96.77,0.42,99.00,50.05,0.48,19.80,40.93,0.48,55.17,92.77,0.43,79.20,46.49,0.50,66.07,12.90,0.51,60.29,80.98,0.50,18.46,34.70,0.48,85.20,44.94,0.42,50.72,17.57,0.44,55.17,12.01,0.46,57.62,82.98,0.46,18.46,50.05,0.48,89.88,38.04,0.41,15.03,47.53,0.46,95.27,45.10,0.43,49.96,18.35,0.42,54.60,87.54,0.44,98.81,43.99,0.44,50.84,12.60,0.47,54.38,94.39,0.43,19.90,44.43,0.44,47.08,93.06,0.50,45.32,15.47,0.44,16.14,44.43,0.47,90.85,49.30,0.45,12.82,52.61,0.43,90.19,51.51,0.44,53.94,13.04,0.46,49.30,87.76,0.47,53.27,12.38,0.48,89.97,41.34,0.42,14.15,46.20,0.46,52.17,86.43,0.43,49.96,14.81,0.43,53.50,12.38,0.46,14.59,47.75,0.42,47.97,83.56,0.46,90.85,49.30,0.49,18.35,45.98,0.49,61.90,83.34,0.50,92.40,44.21,0.47,50.40,12.60,0.41,45.76,88.42,0.50,13.71,44.43,0.43,92.18,52.17,0.48,53.05,9.06,0.43,92.18,46.42,0.46,13.48,40.23,0.47,49.52,88.86,0.47,95.94,48.19,0.43,50.84,9.06,0.50,
54.50,6.45,0.55,6.90,40.49,0.60,45.38,95.44,0.52,98.11,49.61,0.58,21.58,40.71,0.58,56.51,92.32,0.53,79.64,47.61,0.60,67.85,14.68,0.61,62.29,81.64,0.60,19.58,34.93,0.58,83.87,43.38,0.52,50.72,19.58,0.54,54.50,13.57,0.56,57.17,83.65,0.56,18.69,52.06,0.58,88.99,36.48,0.51,14.37,48.63,0.56,95.94,45.54,0.53,50.40,20.56,0.52,54.60,85.55,0.54,98.81,44.21,0.55,49.30,12.82,0.57,52.83,93.95,0.53,20.78,45.76,0.54,46.86,91.30,0.61,44.87,17.24,0.54,17.46,46.20,0.56,90.19,49.30,0.55,14.15,54.16,0.53,88.86,52.61,0.54,54.38,15.92,0.56,48.85,86.43,0.57,52.83,13.71,0.58,89.09,41.34,0.52,15.03,47.08,0.56,50.84,84.89,0.53,49.74,15.92,0.52,52.17,12.82,0.56,15.47,47.31,0.52,46.86,81.79,0.56,88.64,49.30,0.59,20.12,45.54,0.59,62.78,82.01,0.60,91.52,43.11,0.57,51.28,13.93,0.51,45.76,87.98,0.60,15.25,44.87,0.53,92.18,50.62,0.58,53.72,9.95,0.53,91.30,45.54,0.56,14.37,39.35,0.57,50.40,87.98,0.57,95.27,47.75,0.53,51.95,10.39,0.60,
54.50,6.67,0.65,7.12,40.27,0.70,43.83,94.32,0.62,96.99,48.94,0.68,23.14,39.82,0.68,57.40,91.43,0.63,80.75,48.94,0.70,69.63,16.24,0.71,64.51,82.09,0.70,20.91,35.59,0.68,82.76,42.05,0.62,50.50,21.80,0.64,54.06,14.91,0.66,56.28,84.31,0.66,18.24,54.73,0.68,88.32,35.37,0.61,13.71,49.96,0.65,96.82,45.98,0.63,50.84,22.55,0.62,54.60,83.78,0.64,98.15,45.10,0.64,48.19,12.82,0.68,52.17,93.06,0.63,21.44,47.31,0.64,47.31,89.75,0.70,45.10,19.23,0.64,18.57,47.31,0.67,89.31,48.63,0.65,15.92,55.48,0.63,87.54,53.50,0.64,54.16,18.57,0.65,47.75,85.11,0.67,51.73,15.25,0.68,87.76,42.00,0.62,15.92,47.75,0.65,49.07,83.78,0.63,49.74,16.80,0.62,50.62,13.26,0.67,16.36,46.64,0.62,45.32,80.24,0.66,86.65,49.30,0.69,22.11,44.21,0.69,64.11,80.46,0.70,90.19,42.00,0.67,52.17,15.47,0.61,46.20,87.10,0.69,17.02,45.76,0.63,92.40,49.30,0.68,54.16,10.83,0.63,90.19,44.21,0.66,15.69,38.24,0.67,51.28,87.10,0.67,94.61,47.08,0.63,53.50,11.94,0.70,
54.50,6.67,0.75,7.34,39.82,0.80,42.05,92.99,0.72,95.88,48.05,0.78,24.92,38.71,0.78,57.84,90.99,0.73,81.87,48.72,0.80,71.19,18.46,0.81,66.74,82.76,0.80,22.25,36.48,0.78,81.64,40.71,0.72,49.83,24.47,0.74,53.17,16.46,0.76,54.73,84.76,0.76,18.24,57.17,0.78,87.21,34.26,0.71,12.60,50.62,0.75,96.60,46.20,0.73,50.40,24.98,0.72,54.38,81.79,0.74,97.49,45.98,0.75,47.08,13.04,0.77,51.28,91.96,0.73,21.44,48.85,0.74,47.53,87.98,0.81,45.76,21.44,0.74,19.90,48.85,0.76,88.64,48.63,0.75,18.13,56.15,0.73,85.77,54.60,0.74,53.72,21.00,0.75,45.98,83.56,0.77,51.06,17.24,0.78,86.87,43.33,0.72,16.80,49.07,0.75,46.64,83.34,0.73,49.30,17.68,0.73,49.30,13.93,0.76,17.68,45.32,0.72,43.11,79.14,0.76,84.44,48.85,0.79,24.10,42.44,0.79,65.65,78.70,0.80,89.31,40.90,0.77,52.83,17.02,0.71,46.86,85.99,0.80,18.79,46.64,0.73,92.84,47.97,0.78,55.04,12.16,0.73,89.53,42.66,0.76,16.80,37.14,0.77,52.17,87.10,0.77,93.73,46.42,0.73,55.04,14.15,0.80,
