37-1,5/25/2007,1:11 PM,37-1,5/25/2007,1:23 PM,37-1,5/25/2007,1:35 PM,37-1,5/25/2007,1:43 PM,37-1,5/26/2007,9:43 AM,37-1,5/26/2007,9:48 AM,37-1,5/26/2007,9:55 AM,37-1,5/26/2007,10:01 AM,37-1,5/27/2007,9:00 AM,37-1,5/27/2007,9:05 AM,37-1,5/27/2007,9:11 AM,37-1*,5/27/2007,9:16 AM,37-1,5/28/2007,8:50 AM,37-1,5/28/2007,8:55 AM,37-1,5/28/2007,9:00 AM,37-1,5/28/2007,9:04 AM,37-1,5/29/2007,7:54 AM,37-1,5/29/2007,7:59 AM,37-1,5/29/2007,8:03 AM,37-1,5/29/2007,8:09 AM,37-1,5/30/2007,8:06 AM,37-1,5/30/2007,8:10 AM,37-1,5/30/2007,8:15 AM,37-1,5/30/2007,8:20 AM,37-1,5/31/2007,11:41 AM,37-1,5/31/2007,11:46 AM,37-1,5/31/2007,11:50 AM,37-1,5/31/2007,11:55 AM,37-1,6/1/2007,11:54 AM,37-1,6/1/2007,11:57 AM,37-1,6/1/2007,12:02 PM,37-1,6/1/2007,12:07 PM,37-1,6/2/2007,8:16 AM,37-1,6/3/2007,8:36 AM,37-1,6/3/2007,8:41 AM,37-1,6/3/2007,8:45 AM,37-1*,6/3/2007,8:48 AM,37-1,6/4/2007,2:46 PM,37-1,6/4/2007,2:52 PM,37-1,6/4/2007,2:57 PM,37-1,6/4/2007,3:02 PM,37-1,6/5/2007,10:46 AM,37-1,6/5/2007,10:51 AM,37-1,6/5/2007,10:55 AM,37-1,6/5/2007,10:59 AM,37-1,6/6/2007,9:51 AM,37-1,6/6/2007,9:55 AM,37-1,6/6/2007,9:59 AM,37-1,6/6/2007,10:03 AM,37-1,6/7/2007,11:06 AM,37-1*,6/8/2007,8:55 AM,37-1,6/8/2007,8:59 AM,37-1,6/8/2007,9:03 AM,37-1*,6/8/2007,9:06 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
61.84,14.46,0.00,59.84,94.10,0.00,7.56,46.94,0.00,101.89,51.61,0.00,9.57,40.04,0.00,101.44,46.05,0.00,51.61,5.56,0.00,52.50,99.00,0.00,96.33,49.61,0.00,55.39,6.90,0.00,64.96,89.65,0.00,8.03,43.03,0.00,48.72,94.10,0.01,52.06,5.78,0.00,11.57,39.82,0.00,90.99,45.83,0.00,12.82,47.97,0.00,93.29,47.31,0.01,51.06,7.52,0.01,44.21,97.49,0.00,96.16,53.50,0.01,6.85,43.99,0.00,50.40,97.04,0.00,51.73,6.85,0.01,54.16,9.28,0.00,53.27,90.41,0.01,88.64,38.46,0.01,8.84,43.33,0.00,48.63,95.05,0.00,90.19,45.32,0.01,50.84,10.17,0.01,11.27,38.24,0.01,94.17,50.18,0.00,99.48,52.61,0.00,53.05,8.84,0.00,8.40,37.80,0.00,54.49,90.16,0.00,55.26,8.40,0.00,53.05,90.19,0.01,10.83,43.11,0.01,99.70,56.59,0.01,13.26,45.54,0.01,96.60,51.28,0.00,56.37,9.95,0.00,49.96,86.87,0.01,97.93,53.94,0.00,52.83,7.29,0.00,46.20,88.86,0.01,10.17,49.96,0.00,44.87,9.28,0.00,12.18,46.96,0.00,98.81,56.81,0.00,49.52,5.31,0.00,47.18,87.72,0.01,
63.62,15.13,0.08,59.62,93.43,0.08,7.56,47.16,0.08,102.11,51.61,0.08,9.57,39.82,0.08,102.11,46.05,0.08,52.06,5.56,0.07,52.28,98.77,0.08,96.55,48.94,0.10,56.06,7.79,0.08,66.29,89.88,0.10,9.14,41.24,0.08,49.16,94.32,0.08,52.28,5.78,0.08,12.90,40.04,0.11,91.43,44.49,0.08,13.04,48.19,0.08,93.51,47.08,0.10,51.28,7.96,0.08,44.43,97.04,0.08,94.83,53.27,0.08,7.29,43.11,0.09,50.18,96.60,0.08,52.83,7.52,0.08,53.72,10.61,0.11,52.83,90.19,0.08,88.42,39.35,0.08,9.73,43.11,0.08,47.31,94.39,0.08,89.31,44.65,0.08,50.62,10.17,0.08,12.16,38.24,0.08,93.95,49.74,0.08,98.81,53.50,0.08,53.72,9.28,0.08,8.18,36.92,0.08,55.26,88.86,0.08,55.48,8.18,0.08,52.61,90.63,0.08,11.27,43.11,0.08,99.70,56.59,0.08,15.25,45.32,0.10,96.38,51.95,0.08,57.25,10.83,0.08,49.07,85.77,0.10,98.15,54.60,0.08,53.05,7.29,0.10,45.76,88.42,0.09,9.95,50.62,0.08,44.43,9.73,0.08,12.82,45.98,0.09,99.25,57.92,0.08,49.07,5.53,0.08,46.64,86.21,0.08,
64.51,15.79,0.14,58.73,93.43,0.18,7.56,47.38,0.14,102.33,51.39,0.18,8.23,40.49,0.18,102.33,46.05,0.14,52.06,6.23,0.17,51.61,98.33,0.15,97.22,48.27,0.20,56.06,8.01,0.14,66.52,90.10,0.20,9.57,41.60,0.15,50.05,94.77,0.18,53.17,6.67,0.18,14.02,40.71,0.21,92.32,43.60,0.15,12.60,48.19,0.17,94.39,47.53,0.20,51.06,7.52,0.14,43.99,96.82,0.17,93.51,53.05,0.14,8.84,41.78,0.19,49.07,95.05,0.16,53.27,8.84,0.17,52.83,10.39,0.21,52.17,88.86,0.14,87.54,40.23,0.16,10.17,42.88,0.14,46.20,93.29,0.14,88.64,44.65,0.14,50.62,10.39,0.14,13.48,38.24,0.16,93.29,49.07,0.14,98.15,54.16,0.14,54.16,10.17,0.17,8.40,35.37,0.18,55.48,87.32,0.17,55.71,8.84,0.17,51.28,91.30,0.14,12.38,43.33,0.17,99.92,56.81,0.14,17.46,44.87,0.20,95.27,53.05,0.18,58.14,12.38,0.17,47.97,84.00,0.20,97.71,55.26,0.18,53.50,7.74,0.20,45.10,87.54,0.19,10.61,51.51,0.18,43.99,10.17,0.17,13.26,45.76,0.19,99.03,58.36,0.14,49.30,5.97,0.18,46.30,83.07,0.16,
66.29,16.24,0.23,57.84,94.32,0.28,7.79,47.16,0.22,102.78,51.61,0.28,7.12,41.82,0.28,102.33,46.72,0.22,52.06,6.01,0.26,50.05,96.99,0.25,97.44,48.50,0.30,56.73,8.68,0.23,65.85,90.77,0.30,10.23,41.16,0.25,49.61,95.44,0.28,54.06,8.45,0.28,15.13,41.38,0.31,93.21,42.27,0.25,11.27,47.75,0.27,95.05,48.41,0.30,51.95,7.52,0.25,43.55,95.27,0.27,90.85,52.39,0.23,11.72,42.22,0.29,48.19,93.06,0.26,53.05,9.95,0.27,52.39,10.39,0.31,51.95,87.76,0.23,86.43,41.12,0.26,12.38,42.88,0.24,44.43,90.85,0.27,87.32,44.43,0.23,50.18,11.49,0.22,15.25,38.68,0.26,92.40,48.63,0.21,97.04,55.71,0.22,55.04,11.49,0.27,10.39,32.94,0.28,55.26,85.77,0.26,55.71,8.84,0.27,50.40,91.30,0.21,13.71,43.55,0.26,100.80,57.03,0.23,20.56,44.43,0.30,93.95,53.72,0.28,59.69,14.37,0.27,46.20,82.67,0.31,96.60,56.81,0.28,54.16,7.74,0.30,43.77,86.65,0.29,11.72,52.17,0.28,43.77,10.83,0.27,14.15,45.54,0.29,98.59,59.91,0.21,50.18,6.85,0.28,44.53,81.74,0.26,
68.07,16.91,0.34,56.95,95.88,0.38,8.68,46.94,0.32,102.11,52.28,0.38,6.67,43.16,0.38,101.67,46.94,0.32,52.95,6.90,0.37,49.83,95.44,0.35,98.33,48.72,0.40,57.17,9.34,0.33,64.96,91.65,0.40,10.90,40.93,0.35,48.72,96.33,0.38,54.06,10.90,0.38,16.02,42.27,0.41,93.88,42.05,0.35,10.61,47.31,0.37,94.39,49.74,0.40,51.73,7.74,0.34,43.99,94.61,0.37,88.20,52.61,0.33,13.48,43.77,0.39,47.75,90.85,0.36,51.95,11.49,0.37,53.05,9.73,0.41,51.95,85.77,0.33,84.44,41.56,0.37,14.59,42.88,0.34,43.33,89.31,0.34,85.77,44.87,0.33,49.96,13.26,0.32,16.80,39.13,0.36,91.07,47.97,0.31,95.27,57.47,0.32,56.37,12.38,0.37,12.60,30.73,0.38,54.60,84.66,0.37,56.37,9.73,0.37,48.41,90.63,0.31,14.81,44.21,0.37,101.02,57.25,0.33,23.87,43.77,0.40,91.52,54.38,0.38,61.01,16.14,0.37,44.21,81.13,0.41,95.05,57.70,0.38,55.04,8.40,0.40,43.11,84.89,0.39,13.26,52.39,0.38,44.21,11.72,0.37,15.25,44.87,0.39,97.71,61.23,0.31,50.40,7.52,0.38,44.30,78.64,0.36,
70.08,17.80,0.44,56.73,97.66,0.48,9.12,47.38,0.42,101.22,52.28,0.48,6.45,44.27,0.48,101.67,47.83,0.43,53.39,7.34,0.47,50.28,93.66,0.45,98.11,49.61,0.50,56.95,10.23,0.43,63.40,91.43,0.50,11.79,40.49,0.45,47.38,95.66,0.48,53.17,12.24,0.48,16.91,43.83,0.51,95.21,42.49,0.45,10.61,46.42,0.47,92.84,50.84,0.50,52.39,7.52,0.44,43.99,93.29,0.47,85.55,53.50,0.43,14.59,45.76,0.49,47.75,88.42,0.46,50.18,12.38,0.47,53.72,9.95,0.51,51.51,83.56,0.43,82.23,41.34,0.46,17.02,42.44,0.44,42.88,86.87,0.44,83.78,45.76,0.43,50.40,15.03,0.42,18.13,40.01,0.46,89.75,48.19,0.41,93.06,59.46,0.42,57.92,13.26,0.47,15.25,28.96,0.48,53.05,83.12,0.47,56.15,10.39,0.47,45.76,89.31,0.41,15.92,45.54,0.47,100.58,57.70,0.43,27.19,42.66,0.50,89.09,54.38,0.48,62.78,18.35,0.47,42.66,79.14,0.50,93.06,59.02,0.48,56.15,8.84,0.50,42.88,82.45,0.49,15.47,51.95,0.48,45.10,13.26,0.47,16.36,45.32,0.49,95.50,62.56,0.41,50.75,7.96,0.48,44.08,76.65,0.46,
72.30,18.91,0.54,57.40,99.66,0.58,10.46,47.61,0.52,98.11,53.17,0.58,6.45,45.16,0.58,101.67,48.72,0.52,54.28,8.68,0.56,50.94,91.43,0.55,97.22,50.72,0.60,56.51,11.35,0.53,61.40,90.77,0.60,12.46,40.71,0.55,46.27,94.77,0.58,52.06,13.79,0.58,17.35,45.16,0.61,95.66,43.60,0.55,11.27,45.32,0.57,90.85,51.51,0.60,52.83,7.96,0.55,44.43,91.96,0.57,82.90,54.82,0.53,15.47,48.19,0.59,48.19,86.21,0.56,48.85,13.71,0.57,55.04,10.83,0.61,51.06,81.13,0.53,79.58,41.12,0.56,19.01,42.66,0.54,42.22,84.66,0.54,81.57,46.64,0.53,51.06,16.14,0.52,19.45,41.12,0.56,88.20,48.85,0.51,90.19,61.01,0.52,59.46,14.37,0.57,17.24,28.30,0.58,51.28,82.45,0.56,55.93,11.72,0.57,43.11,87.98,0.51,17.02,47.08,0.56,100.14,57.92,0.53,30.28,40.90,0.60,86.43,54.38,0.58,64.99,20.56,0.57,41.34,76.93,0.61,90.63,60.13,0.58,57.70,10.17,0.60,43.55,80.02,0.59,17.68,51.06,0.58,46.42,14.37,0.57,17.46,45.98,0.59,93.73,63.22,0.51,51.06,7.74,0.58,45.10,74.72,0.56,
73.19,20.02,0.63,57.84,101.00,0.68,12.01,46.94,0.62,95.66,53.61,0.68,6.45,45.83,0.68,100.78,49.61,0.62,54.50,9.12,0.67,52.28,89.43,0.65,95.88,51.83,0.70,55.84,12.68,0.63,59.18,90.10,0.70,13.57,41.38,0.65,44.49,92.77,0.68,50.50,15.35,0.68,17.35,47.16,0.71,95.44,44.72,0.65,12.38,44.43,0.67,88.42,52.17,0.70,53.27,8.40,0.64,44.43,90.19,0.67,80.24,56.37,0.63,16.58,50.18,0.69,49.52,84.22,0.66,47.53,15.25,0.67,55.93,11.94,0.71,50.18,79.80,0.63,77.15,40.67,0.66,21.66,43.33,0.64,41.12,82.01,0.64,79.14,47.53,0.63,52.39,17.68,0.62,20.56,43.11,0.66,86.87,50.40,0.61,86.87,62.34,0.62,60.35,16.14,0.67,19.01,28.74,0.68,49.30,82.01,0.67,55.04,13.26,0.67,40.45,86.65,0.61,18.13,48.85,0.67,99.25,58.14,0.63,33.38,38.91,0.70,83.34,54.82,0.68,67.20,22.99,0.67,41.78,74.50,0.70,88.20,61.45,0.68,58.80,11.72,0.70,44.21,77.15,0.69,20.34,50.18,0.68,48.19,15.47,0.67,19.23,46.64,0.69,90.63,63.66,0.61,51.28,7.96,0.68,46.64,72.95,0.66,
73.86,20.47,0.74,58.29,101.44,0.78,11.79,45.83,0.72,93.21,52.95,0.78,7.12,46.49,0.78,99.44,50.72,0.73,54.95,9.34,0.76,53.61,87.21,0.75,94.32,51.39,0.80,54.28,13.35,0.73,56.51,89.21,0.80,14.46,42.27,0.75,43.16,90.77,0.78,48.94,16.68,0.78,17.35,49.16,0.81,94.32,46.49,0.75,13.71,44.21,0.77,85.77,52.39,0.80,53.05,9.28,0.75,43.77,88.86,0.77,77.37,57.70,0.73,18.35,52.17,0.79,50.40,82.23,0.76,45.76,16.80,0.77,55.26,13.48,0.81,48.41,78.03,0.73,74.50,40.67,0.76,23.87,44.21,0.74,39.57,80.24,0.74,76.49,48.63,0.73,54.16,18.79,0.72,21.66,45.10,0.76,86.21,51.95,0.71,83.56,63.89,0.72,61.01,18.13,0.77,20.78,30.28,0.78,47.08,81.57,0.76,53.72,15.03,0.77,37.36,85.11,0.71,19.67,50.18,0.76,99.03,59.02,0.73,36.47,37.14,0.80,80.24,55.48,0.78,69.41,25.64,0.77,42.88,71.84,0.81,85.55,62.78,0.78,60.35,13.48,0.80,44.87,74.05,0.79,23.43,49.96,0.78,50.40,16.58,0.77,21.00,47.75,0.79,87.54,63.89,0.71,51.73,7.96,0.78,48.63,70.96,0.76,
