37-2,5/25/2007,1:13 PM,37-2,5/25/2007,1:26 PM,37-2,5/25/2007,1:37 PM,37-2,5/25/2007,1:45 PM,37-2,5/26/2007,9:44 AM,37-2,5/26/2007,9:50 AM,37-2,5/26/2007,9:56 AM,37-2,5/26/2007,10:02 AM,37-2,5/27/2007,9:01 AM,37-2,5/27/2007,9:06 AM,37-2,5/27/2007,9:12 AM,37-2*,5/27/2007,9:17 AM,37-2,5/28/2007,8:51 AM,37-2,5/28/2007,8:56 AM,37-2,5/28/2007,9:01 AM,37-2,5/28/2007,9:05 AM,37-2,5/29/2007,7:56 AM,37-2,5/29/2007,8:00 AM,37-2,5/29/2007,8:04 AM,37-2,5/29/2007,8:11 AM,37-2,5/30/2007,8:07 AM,37-2*,5/30/2007,8:11 AM,37-2,5/30/2007,8:16 AM,37-2,5/30/2007,8:21 AM,37-2,5/31/2007,11:42 AM,37-2,5/31/2007,11:47 AM,37-2,5/31/2007,11:51 AM,37-2,5/31/2007,11:56 AM,37-2,6/1/2007,11:55 AM,37-2,6/1/2007,11:58 AM,37-2,6/1/2007,12:03 PM,37-2,6/1/2007,12:08 PM,37-2,6/2/2007,8:18 AM,37-2,6/3/2007,8:37 AM,37-2,6/3/2007,8:41 AM,37-2,6/3/2007,8:45 AM,37-2,6/3/2007,8:49 AM,37-2,6/4/2007,2:48 PM,37-2,6/4/2007,2:53 PM,37-2,6/4/2007,2:58 PM,37-2,6/4/2007,3:03 PM,37-2*,6/5/2007,10:47 AM,37-2,6/5/2007,10:51 AM,37-2,6/5/2007,10:56 AM,37-2,6/5/2007,11:00 AM,37-2,6/6/2007,9:51 AM,37-2,6/6/2007,9:56 AM,37-2,6/6/2007,10:00 AM,37-2,6/6/2007,10:04 AM,37-2,6/7/2007,11:07 AM,37-2,6/8/2007,8:56 AM,37-2,6/8/2007,9:00 AM,37-2,6/8/2007,9:04 AM,37-2,6/8/2007,9:07 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
56.51,4.14,0.00,56.95,96.77,0.01,11.35,48.27,0.00,94.32,55.39,0.00,10.01,47.38,0.00,97.22,53.39,0.00,47.61,5.78,0.00,51.17,92.10,0.01,95.21,55.39,0.00,46.49,7.56,0.01,43.16,93.66,0.00,9.59,44.81,0.00,49.39,92.32,0.00,49.61,7.79,0.00,8.23,49.61,0.00,93.66,54.06,0.00,6.41,49.30,0.00,93.95,56.37,0.00,47.97,8.84,0.00,47.31,93.06,0.01,92.62,49.52,0.01,13.51,47.63,0.01,53.05,93.73,0.01,51.95,7.74,0.01,48.41,8.18,0.00,50.62,90.19,0.00,97.49,55.04,0.01,7.07,43.99,0.00,53.05,98.37,0.00,94.17,51.73,0.00,55.48,11.27,0.00,8.40,42.44,0.00,53.94,8.84,0.00,97.71,50.40,0.00,46.86,10.61,0.00,6.41,43.77,0.01,53.05,94.17,0.00,51.73,8.84,0.00,54.38,92.62,0.00,9.51,45.76,0.00,98.37,55.48,0.00,14.18,40.09,0.00,98.59,54.60,0.00,48.19,11.27,0.01,58.80,91.74,0.00,91.96,54.60,0.01,45.98,12.60,0.00,55.48,90.63,0.00,6.63,51.06,0.00,48.63,83.56,0.00,7.29,42.22,0.00,96.82,55.71,0.00,49.96,9.73,0.00,55.93,88.86,0.00,
57.17,5.56,0.08,56.95,97.22,0.08,11.35,48.50,0.10,94.77,55.39,0.08,10.01,46.72,0.08,96.99,54.06,0.10,47.16,5.56,0.09,51.17,92.10,0.08,94.55,56.28,0.09,45.83,7.79,0.09,41.82,93.43,0.09,10.68,44.05,0.10,49.39,90.99,0.11,48.94,9.12,0.08,8.90,50.72,0.08,93.43,54.50,0.08,6.85,50.40,0.08,93.51,56.81,0.07,47.31,9.28,0.09,46.86,92.84,0.09,91.74,49.74,0.09,14.59,45.54,0.08,52.83,91.74,0.09,52.17,8.18,0.08,48.19,10.17,0.10,50.40,89.31,0.07,97.49,54.82,0.08,7.29,44.21,0.07,53.72,97.71,0.08,93.95,51.73,0.09,55.04,11.94,0.08,8.18,42.88,0.08,54.38,8.84,0.10,97.49,50.18,0.07,47.08,11.27,0.07,6.41,43.99,0.08,53.27,93.51,0.08,51.28,10.17,0.08,54.60,92.18,0.08,10.39,45.98,0.08,98.15,55.48,0.08,12.41,38.99,0.08,98.81,53.50,0.07,47.97,11.94,0.08,58.58,90.41,0.09,91.74,55.26,0.08,45.98,12.82,0.08,55.26,89.53,0.09,6.41,51.51,0.08,49.07,82.01,0.07,7.52,42.66,0.08,97.26,55.48,0.08,49.74,10.17,0.08,55.26,87.98,0.07,
57.40,5.78,0.16,56.51,97.22,0.18,11.12,48.72,0.20,94.99,55.39,0.14,10.01,47.38,0.18,96.55,54.73,0.20,47.38,5.56,0.19,51.39,92.10,0.14,93.66,57.62,0.19,44.94,8.45,0.19,40.04,93.21,0.19,12.01,43.60,0.20,49.61,89.21,0.21,47.83,10.01,0.14,9.57,51.39,0.14,92.99,54.73,0.14,9.06,53.50,0.18,92.40,57.47,0.17,46.64,9.73,0.19,46.64,92.62,0.19,90.19,50.40,0.19,14.81,45.32,0.17,52.61,89.75,0.17,52.39,8.40,0.15,48.41,12.16,0.20,49.96,88.86,0.16,97.04,55.04,0.14,7.29,44.21,0.14,54.60,96.60,0.18,93.06,51.73,0.19,54.82,12.60,0.18,8.18,43.11,0.14,55.48,8.18,0.20,97.26,49.52,0.13,47.53,12.16,0.15,6.85,43.99,0.17,53.50,92.62,0.15,50.84,11.49,0.16,54.38,91.07,0.14,11.05,46.20,0.15,98.59,55.71,0.17,11.72,38.91,0.17,98.37,52.39,0.14,47.75,12.38,0.15,57.92,87.98,0.19,91.30,55.93,0.14,45.76,12.82,0.14,54.38,87.98,0.19,6.41,52.61,0.17,49.52,80.24,0.14,7.74,42.88,0.14,98.59,54.82,0.14,49.74,10.17,0.14,54.16,87.10,0.13,
57.40,6.45,0.25,56.28,96.99,0.28,10.90,49.39,0.30,95.21,55.39,0.24,10.01,48.27,0.28,95.88,55.84,0.30,46.94,5.78,0.29,51.17,91.65,0.23,92.54,59.18,0.29,43.60,10.01,0.29,38.26,92.32,0.29,13.79,42.49,0.30,49.83,86.76,0.31,46.94,12.01,0.24,11.12,52.72,0.24,92.77,55.17,0.22,10.61,56.15,0.28,90.85,58.36,0.26,45.76,10.61,0.29,46.42,92.62,0.29,88.86,51.95,0.29,15.25,45.10,0.27,51.95,87.32,0.26,52.83,9.06,0.25,49.07,13.93,0.30,49.30,87.76,0.26,96.82,55.26,0.21,7.52,44.43,0.24,53.94,94.17,0.28,92.40,51.73,0.29,54.16,13.71,0.28,8.18,44.21,0.23,56.15,7.74,0.30,96.16,48.41,0.22,47.31,13.04,0.25,7.29,44.43,0.26,53.72,91.30,0.25,50.18,13.04,0.26,54.38,89.97,0.22,12.16,45.98,0.25,98.59,55.93,0.27,10.83,39.13,0.27,97.93,50.62,0.23,47.53,13.48,0.26,57.03,85.77,0.29,90.41,56.81,0.24,45.76,13.26,0.23,53.50,85.99,0.29,6.19,53.94,0.27,50.40,77.81,0.22,7.96,43.33,0.24,99.70,53.50,0.24,50.18,11.05,0.22,53.27,85.77,0.22,
57.40,6.90,0.35,56.06,96.99,0.38,10.68,50.28,0.40,95.88,55.84,0.34,9.57,49.39,0.37,95.44,57.40,0.40,46.05,5.56,0.39,51.61,90.99,0.33,91.88,61.18,0.39,42.71,11.35,0.39,36.93,90.77,0.39,14.68,41.16,0.40,50.28,84.54,0.41,46.72,13.35,0.34,12.24,53.17,0.34,92.32,54.95,0.32,11.49,58.58,0.38,88.64,58.36,0.37,44.65,11.94,0.39,45.98,92.40,0.39,87.98,53.72,0.39,14.81,44.43,0.37,50.84,85.55,0.36,52.83,9.95,0.35,49.96,15.47,0.40,48.41,86.21,0.36,96.38,55.26,0.31,7.52,44.87,0.34,53.27,91.96,0.38,91.30,51.73,0.39,53.94,14.59,0.38,8.62,45.32,0.33,56.00,7.29,0.40,95.50,48.19,0.32,46.86,14.15,0.35,8.40,44.87,0.36,53.94,89.97,0.35,49.30,14.59,0.36,53.72,88.20,0.32,13.04,45.32,0.35,98.81,55.71,0.37,10.39,39.79,0.37,97.49,48.63,0.33,46.86,14.15,0.35,56.37,83.78,0.39,89.09,58.14,0.34,45.54,13.93,0.33,52.83,84.22,0.40,7.74,55.48,0.37,52.17,75.16,0.32,8.40,43.55,0.34,101.02,51.28,0.34,50.62,12.16,0.32,51.51,84.66,0.32,
57.40,7.34,0.46,55.84,97.22,0.48,9.79,51.61,0.50,96.55,56.73,0.44,9.34,49.83,0.47,95.21,59.18,0.50,46.27,5.56,0.49,51.61,90.32,0.43,90.99,63.18,0.49,41.38,12.90,0.49,35.59,88.99,0.49,15.13,39.38,0.50,50.94,82.09,0.51,46.94,15.13,0.44,13.79,52.72,0.44,91.88,55.39,0.42,12.82,60.79,0.48,86.43,58.36,0.47,43.55,13.26,0.49,45.32,92.18,0.49,87.32,55.26,0.49,14.81,42.88,0.47,49.96,83.34,0.46,52.61,11.27,0.45,50.84,16.58,0.50,47.31,85.33,0.46,95.72,55.26,0.41,8.40,45.76,0.44,52.17,90.19,0.48,90.41,52.17,0.49,53.94,15.47,0.48,9.95,47.08,0.43,55.26,6.41,0.50,94.17,49.07,0.42,46.86,15.47,0.45,9.28,45.98,0.47,53.94,88.86,0.45,48.41,16.58,0.46,53.05,86.87,0.42,14.15,44.43,0.45,99.48,55.04,0.47,9.95,41.34,0.47,96.82,46.42,0.43,46.42,15.47,0.45,55.93,81.79,0.49,87.54,59.46,0.44,45.10,14.37,0.43,52.83,82.23,0.50,9.06,57.25,0.47,54.38,72.73,0.42,9.73,44.87,0.44,101.91,49.07,0.44,51.28,13.93,0.42,49.96,83.56,0.42,
57.40,8.01,0.56,55.39,98.33,0.58,8.90,52.72,0.60,97.22,56.95,0.54,9.12,50.50,0.57,95.21,60.73,0.60,45.61,6.01,0.59,52.28,89.21,0.53,89.65,65.18,0.59,39.82,14.68,0.59,34.70,86.98,0.59,15.79,37.60,0.60,51.17,79.64,0.61,47.16,16.91,0.54,15.57,52.28,0.54,90.54,55.39,0.52,14.59,63.22,0.58,83.78,58.58,0.56,42.66,15.03,0.59,44.21,91.74,0.59,86.43,56.59,0.59,14.59,42.00,0.57,48.19,82.23,0.56,52.17,12.82,0.55,51.95,17.68,0.60,46.20,83.56,0.56,94.17,55.04,0.51,9.28,47.31,0.54,51.28,87.98,0.58,89.53,51.95,0.59,53.50,16.14,0.58,11.05,48.63,0.53,54.38,6.85,0.60,93.51,50.18,0.52,46.20,16.80,0.55,10.17,47.08,0.56,54.16,88.20,0.55,47.08,18.57,0.56,52.61,85.77,0.52,15.03,43.11,0.55,100.58,54.38,0.57,10.61,42.88,0.57,96.16,43.77,0.53,45.32,16.80,0.55,54.82,80.46,0.59,85.77,60.35,0.54,44.43,15.03,0.53,53.94,80.24,0.60,11.05,58.58,0.57,56.81,70.30,0.52,11.94,45.98,0.54,102.79,46.64,0.54,52.17,15.69,0.52,47.97,82.45,0.52,
57.62,7.79,0.65,54.73,99.22,0.68,7.56,53.84,0.70,98.33,57.62,0.64,8.45,50.72,0.68,95.66,62.07,0.70,45.87,6.67,0.69,53.17,88.54,0.63,87.43,67.18,0.69,38.26,17.13,0.69,34.04,84.31,0.69,16.24,35.82,0.70,50.28,77.19,0.71,47.83,18.69,0.64,17.57,51.61,0.64,88.99,54.95,0.62,16.58,65.43,0.68,80.91,58.80,0.67,41.56,17.24,0.69,43.11,91.30,0.69,85.33,58.58,0.69,14.37,41.34,0.67,46.64,81.13,0.66,51.73,14.59,0.65,52.83,18.79,0.70,44.65,81.57,0.65,92.84,54.82,0.61,10.61,48.63,0.64,50.40,86.21,0.68,88.20,52.17,0.69,53.05,16.80,0.68,12.38,50.18,0.63,53.94,7.52,0.70,92.62,51.06,0.62,46.20,17.68,0.65,11.49,48.19,0.66,54.38,87.32,0.65,45.98,21.00,0.66,52.61,84.44,0.62,15.47,41.34,0.65,100.58,52.83,0.67,11.49,43.99,0.67,95.05,41.12,0.63,43.77,18.57,0.65,53.94,78.92,0.69,83.78,60.13,0.64,43.77,15.69,0.63,55.04,77.81,0.69,13.04,58.58,0.67,58.80,67.86,0.62,14.15,46.42,0.64,103.01,44.87,0.64,53.27,17.68,0.62,46.20,81.13,0.62,
57.84,7.34,0.75,54.06,100.11,0.78,6.67,54.06,0.80,99.22,57.62,0.74,8.01,51.17,0.77,96.10,62.96,0.80,46.27,6.90,0.79,53.84,88.10,0.73,84.98,68.30,0.79,36.71,19.13,0.79,33.59,81.87,0.79,16.46,34.70,0.80,48.94,75.42,0.81,48.50,20.47,0.74,19.58,51.61,0.74,86.98,54.28,0.72,18.57,67.64,0.78,78.47,59.46,0.76,40.45,19.23,0.79,42.00,90.63,0.79,83.78,60.13,0.79,14.37,40.45,0.77,45.10,79.80,0.76,51.51,15.92,0.75,53.72,19.67,0.80,43.33,79.80,0.76,91.30,54.38,0.71,11.94,49.74,0.74,49.52,84.44,0.78,86.87,52.17,0.79,52.61,17.91,0.78,13.93,51.95,0.73,54.16,9.73,0.80,92.18,51.95,0.72,46.64,19.23,0.75,12.60,48.85,0.76,55.04,86.43,0.75,44.87,23.43,0.76,51.51,83.78,0.72,15.92,39.79,0.75,99.48,51.06,0.77,12.82,44.65,0.77,95.05,38.02,0.73,42.66,20.12,0.75,53.27,78.03,0.79,81.35,59.24,0.74,42.66,16.58,0.74,56.81,75.60,0.80,15.03,58.14,0.77,60.79,64.99,0.72,16.58,46.42,0.74,103.01,42.66,0.74,54.16,19.90,0.72,44.65,78.92,0.72,
