32-2,5/25/2007,10:17 AM,32-2,5/25/2007,10:27 AM,32-2,5/25/2007,10:38 AM,32-2,5/25/2007,10:47 AM,32-2,5/26/2007,7:35 AM,32-2,5/26/2007,7:42 AM,32-2,5/26/2007,7:48 AM,32-2,5/26/2007,7:54 AM,32-2,5/27/2007,7:19 AM,32-2,5/27/2007,7:25 AM,32-2,5/27/2007,7:32 AM,32-2,5/27/2007,7:38 AM,32-2,5/28/2007,7:30 AM,32-2,5/28/2007,7:36 AM,32-2,5/28/2007,7:41 AM,32-2*,5/28/2007,7:46 AM,32-2,5/29/2007,6:31 AM,32-2,5/29/2007,6:35 AM,32-2,5/29/2007,6:40 AM,32-2,5/29/2007,6:44 AM,32-2,5/30/2007,6:46 AM,32-2,5/30/2007,6:52 AM,32-2,5/30/2007,6:57 AM,32-2,5/30/2007,7:01 AM,32-2,5/31/2007,10:26 AM,32-2,5/31/2007,10:30 AM,32-2,5/31/2007,10:34 AM,32-2,5/31/2007,10:39 AM,32-2,6/1/2007,10:31 AM,32-2,6/1/2007,10:35 AM,32-2,6/1/2007,10:39 AM,32-2,6/1/2007,10:44 AM,32-2,6/2/2007,7:39 AM,32-2,6/3/2007,7:24 AM,32-2,6/3/2007,7:28 AM,32-2,6/3/2007,7:32 AM,32-2,6/3/2007,7:36 AM,32-2,6/4/2007,1:23 PM,32-2,6/4/2007,1:27 PM,32-2,6/4/2007,1:33 PM,32-2,6/4/2007,1:37 PM,32-2,6/5/2007,9:32 AM,32-2,6/5/2007,9:37 AM,32-2,6/5/2007,9:40 AM,32-2,6/5/2007,9:45 AM,32-2,6/6/2007,8:43 AM,32-2,6/6/2007,8:47 AM,32-2,6/6/2007,8:51 AM,32-2,6/6/2007,8:55 AM,32-2,6/7/2007,10:32 AM,32-2,6/8/2007,7:46 AM,32-2,6/8/2007,7:50 AM,32-2,6/8/2007,7:54 AM,32-2,6/8/2007,7:57 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
55.62,90.32,0.00,55.84,5.78,0.01,12.46,45.38,0.01,94.55,55.17,0.00,9.34,39.82,0.00,93.21,53.17,0.00,56.51,8.68,0.01,56.06,93.66,0.00,97.44,47.38,0.00,8.01,42.49,0.00,58.29,89.65,0.00,59.40,8.01,0.00,43.83,7.79,0.00,55.39,94.55,0.00,95.44,51.61,0.00,9.59,41.24,0.00,49.74,91.74,0.00,98.59,52.83,0.00,58.58,10.39,0.00,11.94,39.35,0.00,94.17,51.95,0.00,56.37,7.74,0.00,9.51,47.97,0.00,48.41,90.19,0.00,47.08,9.28,0.00,13.48,43.33,0.00,51.51,91.96,0.00,90.63,48.85,0.01,11.72,46.64,0.00,52.61,82.67,0.00,90.63,53.72,0.00,54.60,5.53,0.00,60.57,11.27,0.00,47.53,85.33,0.00,8.18,42.44,0.00,92.84,46.64,0.00,57.70,7.29,0.00,42.66,80.91,0.01,51.28,6.41,0.00,7.74,45.76,0.01,92.62,54.82,0.01,14.81,43.33,0.00,96.82,49.52,0.00,51.51,7.74,0.01,43.99,79.58,0.00,92.18,52.83,0.00,7.29,47.08,0.00,49.30,86.87,0.00,52.39,6.41,0.00,93.06,51.28,0.00,8.18,42.00,0.00,92.84,43.55,0.00,49.30,7.74,0.00,51.06,89.53,0.01,
56.51,89.65,0.08,56.73,6.01,0.11,12.24,45.83,0.08,94.55,54.73,0.08,10.23,38.71,0.08,92.77,52.95,0.07,56.95,8.23,0.08,56.28,92.10,0.10,96.99,47.83,0.08,8.01,41.82,0.07,58.06,88.10,0.09,60.73,7.56,0.11,43.16,8.01,0.09,54.95,93.88,0.08,94.32,52.50,0.08,9.81,42.58,0.08,49.30,91.74,0.08,98.15,51.73,0.08,59.24,10.39,0.07,11.49,38.91,0.07,93.73,51.28,0.08,56.81,7.96,0.07,9.51,48.85,0.08,47.75,89.53,0.07,47.31,10.17,0.08,14.81,43.55,0.08,51.06,91.52,0.09,88.42,49.30,0.11,13.04,46.64,0.08,51.73,82.01,0.08,89.97,54.82,0.07,54.82,5.53,0.08,60.57,12.82,0.08,46.86,84.00,0.07,8.62,41.78,0.09,91.96,47.31,0.09,58.58,8.62,0.08,41.34,80.46,0.08,51.28,7.52,0.09,7.52,45.10,0.10,92.40,55.26,0.09,15.69,42.44,0.08,96.38,48.85,0.08,51.06,7.96,0.08,43.77,78.03,0.08,90.85,53.05,0.08,7.96,47.31,0.08,48.63,85.77,0.08,53.05,6.19,0.10,90.85,51.28,0.09,8.18,41.78,0.08,91.96,43.11,0.08,48.85,7.74,0.08,51.51,88.86,0.08,
58.06,88.99,0.14,57.40,6.67,0.21,11.57,46.27,0.14,94.99,53.84,0.14,10.90,38.04,0.15,92.10,52.06,0.14,57.17,8.45,0.17,56.51,90.77,0.20,96.33,48.27,0.14,8.23,41.60,0.15,56.95,85.43,0.19,61.84,6.67,0.21,42.49,8.90,0.19,53.39,92.99,0.15,93.66,53.39,0.14,10.48,44.14,0.16,48.41,90.63,0.16,97.26,51.51,0.14,60.13,11.05,0.15,11.27,38.68,0.14,93.06,51.73,0.14,56.81,8.18,0.16,9.28,49.52,0.14,46.20,88.64,0.17,47.75,11.27,0.14,16.14,43.99,0.16,49.74,90.63,0.19,86.43,49.96,0.21,14.59,45.76,0.16,50.40,81.35,0.14,89.09,55.71,0.14,54.82,5.75,0.14,60.57,14.59,0.14,45.76,82.67,0.15,9.06,41.56,0.19,90.19,48.41,0.19,59.91,10.17,0.14,39.57,79.36,0.15,51.28,7.96,0.15,7.74,44.87,0.20,91.30,55.26,0.19,16.36,41.56,0.14,95.50,49.07,0.18,51.06,8.40,0.14,43.99,76.26,0.14,89.75,53.72,0.14,8.40,47.53,0.14,48.19,84.66,0.14,53.94,6.41,0.20,88.64,50.40,0.19,8.62,42.22,0.14,90.85,42.22,0.14,47.75,7.96,0.17,52.39,87.98,0.15,
59.84,87.87,0.22,58.51,6.90,0.31,11.57,47.38,0.22,95.44,53.39,0.22,12.24,37.82,0.25,91.65,51.17,0.22,56.51,7.79,0.26,55.62,89.21,0.30,96.77,49.61,0.23,9.79,40.49,0.25,55.84,82.76,0.29,62.73,6.67,0.31,40.93,9.79,0.29,51.61,92.77,0.25,91.65,54.28,0.24,9.81,46.15,0.26,47.08,89.53,0.26,95.72,51.51,0.24,61.01,11.49,0.25,11.27,38.46,0.23,91.74,51.95,0.22,57.47,8.84,0.26,9.73,49.74,0.21,44.65,87.54,0.26,48.63,12.60,0.25,17.91,45.32,0.26,49.07,89.53,0.29,84.66,51.06,0.31,15.69,44.65,0.26,48.63,80.24,0.23,87.76,57.03,0.23,55.26,5.75,0.23,59.46,17.02,0.24,43.77,80.69,0.25,9.51,40.90,0.29,88.86,49.30,0.29,60.35,11.72,0.21,37.58,77.81,0.25,50.40,8.84,0.28,7.29,44.87,0.30,90.19,55.48,0.29,17.24,40.01,0.23,93.73,49.07,0.28,50.84,9.06,0.24,44.43,74.27,0.23,87.54,54.16,0.24,9.28,47.97,0.21,47.08,83.12,0.21,55.26,7.52,0.31,86.87,49.07,0.29,8.62,42.22,0.24,89.75,40.67,0.23,47.08,8.62,0.27,53.72,86.65,0.25,
62.29,86.76,0.31,59.84,8.01,0.41,11.57,48.50,0.32,95.44,51.83,0.32,13.57,38.49,0.35,92.10,49.16,0.32,55.84,7.12,0.37,54.28,87.65,0.40,97.88,51.17,0.33,12.24,38.93,0.35,54.06,80.09,0.39,62.96,7.12,0.41,40.27,11.35,0.39,49.39,92.77,0.35,89.65,54.95,0.34,9.59,47.93,0.36,46.20,87.54,0.36,94.17,51.51,0.34,61.67,12.38,0.35,11.49,37.80,0.34,90.19,52.83,0.32,57.03,9.95,0.36,10.17,50.18,0.31,43.77,85.99,0.37,49.30,13.93,0.34,19.23,47.53,0.36,48.19,88.20,0.39,82.45,52.17,0.41,17.02,43.77,0.36,46.42,79.58,0.33,86.43,58.80,0.33,55.26,5.97,0.33,57.92,19.45,0.34,41.56,79.80,0.35,9.95,40.45,0.39,87.32,49.07,0.39,60.79,13.93,0.31,36.70,76.04,0.35,50.40,9.73,0.35,7.74,45.32,0.40,89.31,55.48,0.39,18.35,38.68,0.33,92.18,49.74,0.38,51.51,10.17,0.34,45.76,72.06,0.33,85.33,53.50,0.34,10.17,48.63,0.31,47.08,80.91,0.31,57.03,9.51,0.41,85.55,47.31,0.39,9.06,42.44,0.34,88.86,39.35,0.33,46.86,9.06,0.37,55.04,84.66,0.35,
64.51,85.65,0.41,60.96,8.90,0.51,12.68,50.28,0.42,94.99,50.72,0.42,14.68,39.60,0.45,92.99,47.16,0.42,54.95,7.34,0.47,52.50,86.54,0.50,99.00,51.83,0.43,14.46,38.04,0.45,51.83,77.86,0.49,63.62,7.34,0.51,40.49,13.13,0.49,48.05,92.10,0.45,87.65,54.95,0.44,9.59,48.82,0.46,46.42,85.77,0.46,92.62,51.28,0.44,61.67,13.26,0.45,12.16,36.92,0.44,88.86,53.72,0.42,56.37,11.72,0.46,10.83,50.40,0.41,42.88,84.00,0.47,49.30,15.25,0.44,20.56,49.74,0.46,47.31,87.32,0.49,80.24,53.94,0.51,18.35,43.55,0.47,43.77,79.36,0.43,84.66,60.13,0.43,55.26,6.19,0.43,55.93,22.11,0.44,38.46,79.36,0.45,10.39,40.23,0.49,84.89,48.41,0.49,60.35,16.58,0.41,36.92,73.83,0.45,50.40,11.05,0.45,8.40,45.76,0.50,89.09,55.71,0.49,19.01,37.14,0.43,90.41,49.30,0.48,52.61,11.27,0.44,47.08,70.07,0.43,82.90,52.39,0.44,12.16,49.07,0.41,47.75,78.25,0.41,58.36,11.49,0.50,85.11,45.10,0.49,10.39,42.88,0.44,88.42,37.80,0.43,47.53,9.95,0.47,56.59,82.45,0.45,
66.74,84.09,0.51,60.96,10.23,0.61,13.79,51.83,0.52,94.10,50.05,0.52,15.13,40.93,0.55,94.55,45.83,0.52,54.28,8.45,0.56,50.94,86.32,0.60,100.33,52.06,0.53,16.68,36.71,0.55,49.39,76.30,0.59,64.74,7.79,0.61,41.16,15.13,0.59,46.72,91.21,0.55,86.32,54.28,0.54,9.59,49.94,0.56,46.64,82.90,0.56,90.85,50.62,0.54,61.01,14.37,0.55,12.60,36.25,0.54,86.87,54.60,0.52,55.04,13.71,0.56,11.72,50.18,0.51,42.44,81.35,0.56,48.41,17.02,0.55,21.00,52.61,0.56,46.20,86.43,0.59,78.03,55.48,0.61,20.34,44.43,0.57,41.12,79.14,0.53,82.45,60.79,0.53,55.48,6.41,0.53,53.50,24.54,0.54,35.59,78.92,0.55,11.27,40.01,0.59,82.67,47.31,0.59,60.13,19.01,0.51,37.80,72.06,0.55,50.40,12.82,0.56,9.73,46.42,0.60,88.42,55.93,0.59,20.56,36.03,0.53,88.64,48.41,0.58,53.94,12.16,0.54,49.74,68.53,0.53,80.91,50.62,0.54,13.93,49.74,0.51,49.07,75.60,0.51,59.91,13.71,0.61,85.33,42.66,0.59,11.49,42.66,0.54,88.64,36.47,0.53,48.41,11.27,0.57,58.58,80.24,0.55,
68.07,82.09,0.62,60.07,10.90,0.71,15.13,53.84,0.62,92.99,49.39,0.62,15.35,42.71,0.65,96.55,44.72,0.62,54.28,9.79,0.67,49.39,86.98,0.70,101.67,51.83,0.63,19.58,35.15,0.65,46.72,75.86,0.69,66.07,8.45,0.71,42.49,17.13,0.69,44.94,89.65,0.65,84.76,53.61,0.64,9.12,49.61,0.66,47.08,80.46,0.66,88.86,49.96,0.64,59.91,15.47,0.65,13.71,36.47,0.63,85.11,54.38,0.62,53.50,15.47,0.66,12.82,49.30,0.62,41.78,78.92,0.67,47.31,18.79,0.64,21.00,55.48,0.66,45.32,85.55,0.69,75.60,57.03,0.71,21.66,45.98,0.66,38.68,78.92,0.63,80.24,60.79,0.63,55.71,6.85,0.63,50.84,26.08,0.64,32.94,77.59,0.65,11.94,39.35,0.69,80.24,46.42,0.69,60.35,21.44,0.61,39.35,70.30,0.65,49.96,14.81,0.65,10.83,46.42,0.70,88.20,56.37,0.69,22.55,36.25,0.63,86.65,46.86,0.68,55.93,13.04,0.64,52.39,66.76,0.63,79.14,47.97,0.64,16.14,50.62,0.61,50.84,73.39,0.61,61.01,15.92,0.70,85.99,39.79,0.69,13.48,42.66,0.64,88.42,34.93,0.63,49.74,12.16,0.67,60.57,77.81,0.65,
68.30,80.09,0.71,59.18,11.57,0.81,16.68,55.84,0.72,91.88,49.39,0.72,15.35,44.49,0.75,98.33,44.27,0.72,54.73,11.12,0.76,48.05,87.87,0.80,102.33,51.39,0.73,22.25,33.59,0.75,43.60,75.86,0.79,67.63,10.01,0.81,42.27,19.35,0.79,43.38,88.32,0.75,83.42,51.61,0.74,9.57,50.28,0.76,47.53,78.92,0.76,86.87,48.63,0.74,58.58,16.36,0.75,14.81,37.36,0.74,82.67,54.16,0.72,51.51,17.46,0.76,13.26,48.19,0.71,40.90,76.04,0.76,45.76,20.12,0.75,21.00,58.14,0.76,44.21,84.22,0.79,73.17,58.80,0.81,22.33,47.97,0.76,36.47,78.25,0.73,78.03,60.35,0.73,55.93,6.85,0.73,47.31,27.85,0.74,31.17,76.04,0.75,13.04,38.68,0.79,78.03,46.20,0.79,59.24,23.21,0.71,42.00,69.19,0.75,49.74,16.58,0.75,12.16,45.76,0.80,87.54,56.81,0.79,24.54,36.70,0.73,85.11,45.10,0.78,58.14,14.37,0.74,55.04,64.99,0.73,77.59,45.54,0.74,18.13,51.73,0.71,53.27,71.62,0.71,62.34,18.57,0.81,85.77,37.36,0.79,15.69,42.88,0.74,88.64,34.04,0.73,51.28,13.48,0.77,63.00,75.60,0.75,
