33-1,5/25/2007,11:07 AM,33-1,5/25/2007,11:17 AM,33-1,5/25/2007,11:24 AM,33-1,5/25/2007,11:34 AM,33-1,5/26/2007,8:11 AM,33-1,5/26/2007,8:17 AM,33-1,5/26/2007,8:24 AM,33-1,5/26/2007,8:30 AM,33-1,5/27/2007,7:46 AM,33-1,5/27/2007,7:54 AM,33-1,5/27/2007,8:00 AM,33-1,5/27/2007,8:04 AM,33-1,5/28/2007,7:56 AM,33-1*,5/28/2007,8:01 AM,33-1,5/28/2007,8:05 AM,33-1,5/28/2007,8:10 AM,33-1,5/29/2007,7:01 AM,33-1,5/29/2007,7:05 AM,33-1,5/29/2007,7:09 AM,33-1,5/29/2007,7:14 AM,33-1,5/30/2007,7:12 AM,33-1,5/30/2007,7:17 AM,33-1,5/30/2007,7:22 AM,33-1,5/30/2007,7:27 AM,33-1,5/31/2007,10:48 AM,33-1,5/31/2007,10:52 AM,33-1,5/31/2007,10:57 AM,33-1,5/31/2007,11:01 AM,33-1,6/1/2007,10:55 AM,33-1,6/1/2007,10:59 AM,33-1,6/1/2007,11:03 AM,33-1,6/1/2007,11:07 AM,33-1,6/2/2007,7:48 AM,33-1,6/3/2007,7:47 AM,33-1,6/3/2007,7:51 AM,33-1*,6/3/2007,7:56 AM,33-1,6/3/2007,7:59 AM,33-1,6/4/2007,1:47 PM,33-1,6/4/2007,1:52 PM,33-1,6/4/2007,1:57 PM,33-1,6/4/2007,2:02 PM,33-1,6/5/2007,9:51 AM,33-1,6/5/2007,9:55 AM,33-1,6/5/2007,9:59 AM,33-1,6/5/2007,10:04 AM,33-1,6/6/2007,9:04 AM,33-1,6/6/2007,9:07 AM,33-1*,6/6/2007,9:11 AM,33-1,6/6/2007,9:15 AM,33-1,6/7/2007,10:39 AM,33-1,6/8/2007,8:13 AM,33-1,6/8/2007,8:17 AM,33-1,6/8/2007,8:21 AM,33-1,6/8/2007,8:25 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
50.05,9.34,0.00,50.94,100.33,0.01,99.44,49.16,0.00,11.79,41.38,0.00,52.28,91.43,0.00,97.44,55.39,0.00,50.28,7.12,0.01,7.79,46.49,0.01,97.88,51.39,0.00,51.61,8.23,0.00,13.35,40.71,0.00,53.39,95.21,0.01,52.72,7.56,0.00,7.36,47.26,0.00,52.28,93.88,0.00,99.89,49.16,0.00,12.38,40.45,0.00,51.73,87.54,0.00,93.06,52.39,0.00,49.96,11.49,0.00,51.28,92.40,0.01,9.51,40.67,0.00,91.07,51.95,0.00,49.96,6.19,0.00,56.15,10.17,0.00,49.52,88.42,0.01,10.39,43.33,0.00,95.05,52.39,0.00,9.51,42.22,0.00,93.73,48.85,0.01,49.96,8.84,0.00,47.08,84.44,0.00,91.30,55.26,0.00,97.49,48.34,0.00,52.39,5.97,0.00,48.73,90.38,0.00,7.29,46.64,0.00,47.31,7.52,0.00,49.74,90.85,0.00,97.04,57.47,0.00,7.74,47.75,0.00,43.11,87.98,0.00,95.14,52.83,0.01,53.94,5.53,0.01,6.63,49.74,0.00,93.73,57.47,0.01,51.28,6.41,0.00,5.09,47.41,0.01,47.97,85.77,0.00,48.85,12.16,0.00,46.42,87.10,0.00,93.51,49.74,0.00,51.28,10.61,0.00,7.96,46.86,0.01,
49.16,9.79,0.11,50.72,100.33,0.10,99.22,48.50,0.08,12.46,41.38,0.08,52.72,90.99,0.08,97.88,54.28,0.09,50.28,7.34,0.08,7.79,46.72,0.08,96.99,51.61,0.08,51.83,8.23,0.08,13.57,40.27,0.08,53.84,94.99,0.08,52.72,7.79,0.08,6.46,48.38,0.10,52.06,93.88,0.09,99.89,48.50,0.08,14.15,39.79,0.09,51.51,86.43,0.08,92.18,52.39,0.08,50.40,12.60,0.08,51.06,91.96,0.08,9.73,41.12,0.08,90.63,52.61,0.08,49.30,6.85,0.09,57.03,10.17,0.09,49.30,87.54,0.08,11.05,43.33,0.08,95.72,52.39,0.08,9.28,42.00,0.08,93.29,49.07,0.09,49.74,9.51,0.08,46.64,83.78,0.08,90.85,55.71,0.08,96.60,49.96,0.09,51.95,5.75,0.08,48.73,88.61,0.08,7.74,46.86,0.11,47.53,7.52,0.09,49.30,90.19,0.08,96.60,57.25,0.08,8.18,47.08,0.10,42.44,87.32,0.08,93.73,52.17,0.08,54.60,2.43,0.08,7.07,49.52,0.08,93.29,56.81,0.09,51.06,6.19,0.07,6.41,46.64,0.08,47.53,84.89,0.08,48.41,12.60,0.11,47.08,86.65,0.07,93.06,49.30,0.08,51.28,10.61,0.08,7.96,46.64,0.08,
48.94,9.79,0.21,50.72,99.66,0.20,98.77,48.50,0.17,13.57,41.38,0.16,53.17,90.32,0.14,98.55,53.39,0.19,50.50,7.79,0.16,8.01,47.16,0.14,96.10,52.28,0.16,51.61,8.90,0.17,14.02,39.60,0.15,54.28,95.21,0.14,52.95,8.45,0.15,6.91,49.94,0.20,52.50,94.55,0.19,99.66,48.05,0.14,15.69,39.35,0.19,50.62,85.33,0.14,91.07,52.39,0.16,50.62,13.71,0.14,50.40,91.07,0.14,9.95,41.34,0.14,89.97,53.05,0.14,49.07,7.52,0.19,57.70,9.51,0.19,48.63,85.55,0.22,11.94,43.55,0.15,95.50,51.95,0.18,9.06,41.56,0.15,92.18,49.07,0.19,50.18,10.39,0.15,46.42,83.12,0.14,90.41,55.93,0.14,95.94,50.62,0.19,50.84,6.19,0.18,47.31,87.76,0.14,8.62,47.53,0.21,47.31,7.52,0.17,48.41,89.75,0.17,95.27,56.81,0.17,8.62,46.86,0.20,41.12,87.10,0.16,93.51,51.73,0.14,52.06,4.53,0.14,7.52,49.96,0.18,92.40,56.37,0.19,51.28,6.41,0.17,6.41,46.64,0.14,46.64,83.56,0.18,47.97,13.26,0.21,48.41,86.21,0.14,93.06,49.07,0.14,51.51,11.27,0.15,8.18,46.64,0.17,
48.50,9.79,0.31,50.50,98.77,0.30,98.11,49.16,0.27,15.35,40.93,0.26,54.50,90.10,0.24,99.66,52.50,0.29,50.72,8.45,0.27,8.23,47.38,0.22,94.99,52.95,0.26,51.61,9.79,0.27,14.91,38.26,0.25,54.50,94.77,0.22,53.61,9.12,0.25,8.03,49.49,0.30,53.39,95.66,0.29,99.66,46.72,0.22,17.91,39.13,0.29,49.30,84.00,0.22,89.31,52.83,0.25,50.40,15.69,0.24,49.74,90.63,0.23,10.61,41.78,0.23,89.09,54.16,0.23,49.07,8.40,0.29,57.92,8.62,0.29,48.19,84.89,0.28,13.48,44.43,0.25,95.94,51.95,0.28,9.06,41.34,0.25,91.74,49.30,0.29,50.62,12.16,0.25,45.54,82.23,0.22,89.75,56.59,0.22,94.83,51.51,0.29,49.52,7.29,0.28,47.08,86.65,0.22,9.95,48.19,0.31,47.53,7.96,0.25,47.08,89.09,0.27,94.17,57.03,0.27,9.51,45.98,0.30,38.46,86.21,0.26,93.06,50.84,0.23,49.52,6.63,0.22,7.96,50.18,0.28,91.74,55.93,0.29,50.84,7.29,0.27,6.41,46.86,0.22,46.64,81.79,0.28,47.97,13.71,0.31,49.96,85.77,0.22,92.62,48.41,0.24,51.51,11.72,0.25,8.62,46.64,0.26,
47.38,10.23,0.41,50.28,98.11,0.40,97.44,49.83,0.37,17.35,40.49,0.36,55.84,90.10,0.34,101.00,52.06,0.39,50.28,8.68,0.36,8.45,48.50,0.32,94.55,54.28,0.36,51.39,10.46,0.37,15.79,37.37,0.35,54.73,94.32,0.32,53.61,9.79,0.35,8.92,49.27,0.40,54.73,96.10,0.39,100.11,45.83,0.32,19.45,39.35,0.39,47.53,82.45,0.32,87.76,53.50,0.35,49.96,17.46,0.34,47.97,89.75,0.33,11.72,42.66,0.33,88.20,55.04,0.33,49.07,9.06,0.39,57.25,8.18,0.39,47.31,83.12,0.39,14.37,45.32,0.35,96.38,52.17,0.38,8.62,40.90,0.35,90.85,49.74,0.39,50.62,14.37,0.35,44.43,81.35,0.32,89.31,57.03,0.32,94.17,52.17,0.39,48.63,8.84,0.38,46.20,84.89,0.32,11.27,48.85,0.41,47.08,8.62,0.33,45.98,88.64,0.37,92.84,57.70,0.37,10.17,45.32,0.40,36.70,85.77,0.36,92.40,49.74,0.33,48.85,7.29,0.32,8.18,50.62,0.38,91.07,56.15,0.39,50.62,8.40,0.37,7.29,47.31,0.32,46.64,80.24,0.38,47.97,14.15,0.41,52.39,85.55,0.32,91.96,47.31,0.34,51.28,11.94,0.35,8.40,46.64,0.36,
46.49,11.35,0.51,50.50,96.77,0.50,97.66,51.17,0.47,19.58,40.49,0.46,57.40,90.10,0.44,101.89,51.17,0.49,49.83,9.12,0.49,9.57,49.39,0.42,93.88,55.84,0.46,51.61,11.79,0.47,16.68,35.59,0.45,55.39,94.10,0.42,52.95,10.68,0.45,9.34,48.94,0.50,56.73,95.66,0.49,101.00,44.94,0.42,21.22,40.01,0.49,45.54,82.23,0.42,85.99,54.38,0.46,49.07,19.45,0.44,46.20,88.42,0.43,12.60,43.99,0.43,87.54,55.48,0.43,48.85,10.17,0.50,56.37,7.74,0.49,46.86,81.35,0.46,15.25,46.42,0.45,96.82,52.17,0.48,8.40,41.12,0.45,89.97,49.96,0.49,51.06,16.36,0.45,42.88,80.69,0.42,88.86,57.47,0.43,93.51,51.95,0.49,47.97,10.39,0.48,45.32,84.22,0.42,12.82,49.52,0.51,47.53,9.28,0.42,45.32,88.20,0.47,91.30,58.36,0.47,10.83,44.87,0.50,34.48,84.66,0.46,91.30,47.97,0.43,47.97,9.06,0.42,9.06,51.06,0.48,90.41,55.71,0.49,51.06,10.83,0.47,8.84,47.31,0.43,47.53,78.47,0.48,47.53,14.81,0.51,54.82,84.89,0.42,91.52,46.64,0.44,51.73,12.16,0.45,9.51,46.64,0.46,
45.16,12.68,0.61,51.17,95.66,0.60,98.33,52.28,0.57,21.80,40.04,0.56,59.18,90.54,0.54,101.67,50.50,0.59,49.39,8.90,0.59,10.23,50.05,0.52,93.43,56.51,0.56,52.50,13.35,0.57,17.57,33.81,0.55,55.62,93.88,0.52,52.50,12.24,0.55,10.23,49.83,0.60,58.51,94.55,0.59,101.67,43.83,0.52,22.33,41.12,0.59,43.55,82.23,0.52,84.22,55.48,0.56,48.19,20.78,0.54,44.21,87.54,0.53,13.71,45.10,0.53,86.21,55.48,0.53,48.63,11.27,0.59,55.04,8.18,0.59,45.76,79.36,0.59,15.69,47.97,0.55,97.26,51.95,0.58,7.74,41.78,0.55,89.31,50.18,0.59,51.28,18.35,0.56,41.56,80.69,0.52,88.42,57.92,0.52,92.18,51.95,0.59,47.97,11.94,0.58,44.43,83.56,0.52,13.93,50.40,0.61,47.53,10.61,0.52,44.65,87.54,0.57,90.19,59.46,0.57,11.27,43.77,0.60,32.27,83.12,0.56,90.63,46.20,0.53,47.53,10.83,0.52,10.17,52.17,0.58,89.97,55.48,0.59,51.73,12.82,0.57,10.61,47.75,0.52,48.63,76.93,0.58,47.97,15.03,0.61,57.25,84.44,0.52,91.74,45.76,0.54,51.95,12.16,0.55,10.61,46.86,0.56,
44.27,14.46,0.71,52.06,95.21,0.70,99.44,53.39,0.67,24.25,39.60,0.66,60.96,90.77,0.64,101.00,49.39,0.69,49.16,8.90,0.66,11.35,50.72,0.62,92.99,57.17,0.66,53.61,14.91,0.67,18.69,32.26,0.65,55.84,94.10,0.62,51.39,13.79,0.65,12.01,50.50,0.70,60.07,92.99,0.69,101.89,43.38,0.62,23.65,42.44,0.69,41.78,82.67,0.62,82.45,57.03,0.65,47.08,22.55,0.64,42.22,86.87,0.63,14.59,46.86,0.63,85.11,55.26,0.63,48.41,12.16,0.69,53.72,9.28,0.69,44.43,77.59,0.72,16.36,49.30,0.65,97.93,51.51,0.68,8.18,42.66,0.65,88.20,50.62,0.69,51.28,20.56,0.65,40.45,80.24,0.62,87.32,58.58,0.62,90.63,51.73,0.69,48.63,13.71,0.68,43.77,83.56,0.62,15.03,51.28,0.71,47.97,11.49,0.62,43.11,86.87,0.67,89.31,60.57,0.67,11.72,42.44,0.70,30.51,81.57,0.66,89.53,43.99,0.63,46.86,13.04,0.62,11.27,52.61,0.68,89.31,55.04,0.69,53.05,14.81,0.67,12.16,47.75,0.62,49.96,75.16,0.68,48.63,15.47,0.71,59.46,83.56,0.62,91.96,44.43,0.64,52.83,11.94,0.65,11.72,47.31,0.66,
43.38,16.91,0.81,53.39,94.77,0.80,100.55,54.06,0.77,26.47,39.60,0.76,62.51,89.88,0.74,100.78,48.05,0.79,48.50,8.90,0.76,12.68,51.61,0.72,92.10,57.62,0.76,54.95,16.24,0.77,19.58,30.92,0.75,56.06,94.10,0.72,50.50,15.79,0.75,13.79,50.94,0.80,61.40,90.77,0.79,101.00,42.94,0.72,24.10,43.99,0.79,40.23,83.12,0.72,80.69,58.80,0.75,46.20,24.32,0.74,41.78,85.99,0.73,15.25,48.41,0.73,84.22,54.82,0.73,49.07,13.04,0.79,52.61,11.05,0.79,43.55,76.71,0.78,16.80,51.06,0.75,98.15,50.62,0.78,8.84,43.99,0.75,86.65,50.62,0.79,51.28,22.77,0.75,38.68,80.24,0.72,85.99,58.80,0.73,89.53,51.51,0.79,49.52,15.47,0.78,43.11,84.00,0.72,15.47,52.17,0.81,47.53,12.82,0.72,42.00,85.99,0.77,88.42,61.45,0.77,12.16,41.78,0.80,29.18,79.36,0.76,88.20,42.00,0.73,47.08,15.25,0.72,12.82,52.83,0.78,88.64,54.38,0.79,54.60,16.36,0.77,13.48,47.75,0.73,51.95,73.39,0.78,49.52,15.69,0.81,61.67,82.23,0.72,92.18,43.99,0.74,53.72,11.94,0.75,12.60,47.53,0.76,
