33-2,5/25/2007,11:09 AM,33-2,5/25/2007,11:19 AM,33-2,5/25/2007,11:27 AM,33-2,5/25/2007,11:35 AM,33-2,5/26/2007,8:12 AM,33-2,5/26/2007,8:18 AM,33-2,5/26/2007,8:25 AM,33-2,5/26/2007,8:31 AM,33-2,5/27/2007,7:48 AM,33-2,5/27/2007,7:55 AM,33-2,5/27/2007,8:00 AM,33-2,5/27/2007,8:05 AM,33-2,5/28/2007,7:57 AM,33-2*,5/28/2007,8:02 AM,33-2,5/28/2007,8:06 AM,33-2,5/28/2007,8:11 AM,33-2,5/29/2007,7:02 AM,33-2,5/29/2007,7:06 AM,33-2,5/29/2007,7:10 AM,33-2,5/29/2007,7:15 AM,33-2,5/30/2007,7:13 AM,33-2,5/30/2007,7:18 AM,33-2,5/30/2007,7:23 AM,33-2,5/30/2007,7:28 AM,33-2,5/31/2007,10:49 AM,33-2,5/31/2007,10:53 AM,33-2,5/31/2007,10:57 AM,33-2,5/31/2007,11:02 AM,33-2,6/1/2007,10:56 AM,33-2,6/1/2007,11:00 AM,33-2,6/1/2007,11:04 AM,33-2,6/1/2007,11:07 AM,33-2,6/2/2007,7:49 AM,33-2,6/3/2007,7:48 AM,33-2,6/3/2007,7:52 AM,33-2,6/3/2007,7:56 AM,33-2,6/3/2007,8:00 AM,33-2,6/4/2007,1:49 PM,33-2,6/4/2007,1:53 PM,33-2,6/4/2007,1:58 PM,33-2,6/4/2007,2:03 PM,33-2,6/5/2007,9:52 AM,33-2,6/5/2007,9:56 AM,33-2,6/5/2007,10:00 AM,33-2,6/5/2007,10:04 AM,33-2,6/6/2007,9:04 AM,33-2,6/6/2007,9:08 AM,33-2*,6/6/2007,9:12 AM,33-2,6/6/2007,9:16 AM,33-2,6/7/2007,10:40 AM,33-2,6/8/2007,8:14 AM,33-2,6/8/2007,8:18 AM,33-2,6/8/2007,8:22 AM,33-2,6/8/2007,8:26 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
51.17,5.34,0.00,54.06,97.44,0.01,100.11,51.83,0.00,10.46,42.27,0.00,50.50,92.54,0.00,96.99,49.39,0.01,53.39,5.78,0.00,12.68,44.94,0.00,94.10,49.39,0.00,53.61,5.56,0.00,18.02,48.72,0.01,9.79,42.71,0.00,52.95,7.12,0.00,13.60,41.24,0.00,58.51,95.88,0.00,95.88,47.61,0.00,9.28,40.90,0.00,52.39,93.29,0.00,99.48,46.86,0.00,51.95,7.74,0.00,54.16,93.73,0.00,11.27,50.18,0.00,94.39,46.86,0.01,55.04,9.73,0.00,52.39,6.85,0.00,48.63,92.18,0.00,15.47,44.21,0.00,95.27,55.93,0.00,5.97,44.21,0.00,87.54,47.08,0.00,52.61,5.08,0.00,51.95,90.63,0.00,49.74,6.63,0.00,91.07,51.51,0.00,52.61,11.27,0.00,51.28,91.96,0.00,6.63,47.53,0.00,51.51,8.84,0.01,46.86,89.53,0.01,98.15,55.48,0.00,7.96,46.20,0.00,49.52,89.75,0.00,96.27,56.37,0.00,53.72,5.75,0.00,7.96,44.65,0.00,94.39,55.71,0.00,52.83,6.63,0.00,5.32,44.53,0.00,46.42,88.20,0.01,46.64,91.30,0.00,50.84,93.29,0.01,94.39,39.71,0.00,53.94,5.75,0.00,7.52,42.00,0.01,
51.39,6.01,0.08,54.06,97.44,0.08,99.89,51.83,0.10,10.68,41.82,0.09,50.72,92.54,0.08,98.11,48.50,0.11,53.39,5.56,0.08,13.35,44.72,0.08,93.88,48.72,0.08,53.84,5.78,0.08,18.02,49.16,0.10,10.90,43.16,0.10,53.17,7.56,0.08,15.38,41.02,0.08,58.73,95.66,0.08,95.66,48.05,0.08,9.21,41.19,0.08,52.17,92.84,0.07,98.37,46.86,0.08,51.73,7.74,0.08,53.50,93.06,0.08,11.94,50.40,0.08,93.51,46.86,0.08,55.04,9.95,0.08,52.39,7.07,0.09,48.19,91.52,0.08,15.92,44.43,0.07,95.27,56.37,0.07,5.97,44.21,0.08,86.65,47.97,0.09,52.17,6.19,0.10,51.95,90.41,0.08,49.30,6.41,0.08,89.97,51.95,0.09,52.61,11.72,0.08,51.06,91.30,0.08,7.52,48.19,0.09,51.51,10.17,0.10,47.31,88.86,0.08,98.15,55.26,0.08,8.18,46.20,0.08,49.07,89.09,0.08,96.50,56.37,0.08,54.16,5.67,0.09,7.96,44.21,0.08,93.73,56.15,0.10,52.61,6.63,0.09,5.54,43.86,0.08,46.86,87.76,0.08,46.64,91.07,0.07,50.40,93.06,0.08,91.74,46.42,0.10,54.16,5.97,0.08,7.52,41.34,0.08,
52.06,6.90,0.17,53.61,97.44,0.14,100.11,51.83,0.20,11.35,41.16,0.19,51.39,93.21,0.16,99.44,48.05,0.21,53.39,5.78,0.16,13.57,44.72,0.14,93.88,49.16,0.14,54.28,6.90,0.15,18.02,49.61,0.20,11.79,43.38,0.20,53.84,8.23,0.14,16.02,42.05,0.16,58.95,95.21,0.16,95.44,48.27,0.14,9.14,41.48,0.14,51.73,92.18,0.15,96.60,46.86,0.18,51.28,8.40,0.16,53.05,92.18,0.14,12.16,50.62,0.14,92.84,47.08,0.14,55.26,10.17,0.14,52.39,7.29,0.19,47.08,90.63,0.16,16.80,44.21,0.17,95.05,56.59,0.14,6.19,44.21,0.18,85.55,49.30,0.19,51.51,7.07,0.20,51.28,89.97,0.15,49.52,6.19,0.14,89.09,52.61,0.19,52.61,12.38,0.14,50.62,90.41,0.18,8.62,49.07,0.19,51.95,12.16,0.20,47.53,88.42,0.14,97.93,55.04,0.19,8.40,45.76,0.14,47.75,87.98,0.16,96.82,56.81,0.14,54.38,7.07,0.19,8.18,43.77,0.17,92.84,57.03,0.20,52.39,6.41,0.19,5.54,44.30,0.18,47.08,87.10,0.16,46.64,90.63,0.17,50.18,93.06,0.14,90.63,46.86,0.20,53.94,6.41,0.18,7.74,41.12,0.14,
52.50,6.90,0.27,53.61,97.66,0.23,100.11,52.06,0.30,12.24,40.71,0.29,52.06,93.43,0.26,100.55,47.83,0.31,53.61,6.90,0.26,13.79,44.72,0.22,93.43,48.50,0.24,55.17,8.45,0.22,18.02,50.05,0.30,12.90,44.49,0.30,53.84,8.90,0.22,16.91,42.71,0.25,59.84,94.55,0.26,94.77,49.16,0.24,9.06,41.78,0.21,50.84,91.07,0.25,94.39,47.08,0.28,50.18,9.06,0.26,52.83,91.07,0.23,12.16,50.18,0.22,91.74,47.08,0.21,55.48,10.39,0.22,53.05,7.74,0.29,45.54,89.53,0.26,17.24,44.43,0.27,94.61,56.59,0.23,8.18,43.99,0.28,84.22,50.84,0.29,50.62,8.40,0.30,51.06,89.31,0.25,49.52,6.41,0.23,87.76,52.61,0.29,52.83,13.26,0.23,50.40,89.75,0.28,10.17,49.52,0.29,52.39,13.93,0.30,48.41,87.76,0.22,97.93,54.60,0.28,8.84,45.32,0.23,46.64,86.87,0.26,96.60,56.59,0.21,54.38,6.41,0.28,9.06,42.88,0.27,91.96,58.14,0.30,52.17,5.75,0.29,5.76,44.75,0.28,47.31,86.43,0.26,46.42,90.19,0.27,49.96,92.62,0.25,89.97,47.08,0.30,53.50,7.07,0.28,8.40,40.90,0.22,
52.50,6.45,0.37,52.95,97.66,0.33,99.44,52.28,0.40,13.35,41.16,0.39,51.83,93.88,0.36,101.67,48.05,0.41,54.50,8.23,0.36,14.02,44.72,0.31,93.21,47.83,0.34,56.06,10.01,0.31,17.80,50.72,0.40,13.79,45.38,0.40,53.84,10.68,0.32,17.80,44.05,0.35,60.51,93.88,0.36,94.55,50.28,0.34,9.28,42.00,0.31,49.96,90.19,0.35,92.62,47.08,0.38,49.74,9.73,0.36,53.05,89.75,0.32,12.82,49.52,0.32,90.41,47.08,0.31,55.48,10.61,0.32,53.50,8.62,0.39,43.77,87.54,0.36,17.68,44.43,0.37,94.39,56.59,0.33,9.95,43.77,0.38,82.45,52.39,0.39,50.40,9.51,0.40,51.06,88.64,0.35,48.63,7.07,0.34,85.99,53.05,0.40,53.27,15.03,0.34,49.96,88.86,0.38,11.49,49.30,0.39,52.39,16.80,0.41,49.52,86.87,0.32,97.71,54.16,0.38,9.06,44.65,0.33,45.32,85.55,0.36,97.04,55.93,0.31,53.94,6.19,0.38,10.17,42.66,0.37,90.63,59.46,0.41,52.17,5.97,0.39,6.65,45.19,0.38,48.19,85.55,0.36,46.20,89.75,0.37,49.74,91.74,0.34,89.31,47.97,0.40,53.05,7.29,0.38,9.06,40.90,0.32,
52.50,6.45,0.47,52.50,97.88,0.43,99.22,52.72,0.50,14.02,41.60,0.49,51.39,94.77,0.46,101.67,48.05,0.51,54.50,9.34,0.46,14.46,44.72,0.41,93.21,47.16,0.44,55.39,11.57,0.41,17.57,50.94,0.50,14.46,45.83,0.50,53.61,12.01,0.42,18.69,45.38,0.46,60.07,93.21,0.46,94.32,51.61,0.44,9.95,42.66,0.41,48.63,89.31,0.45,90.63,47.08,0.48,49.30,10.61,0.46,53.72,88.64,0.42,13.26,49.30,0.42,89.31,47.08,0.41,55.04,11.49,0.42,53.94,9.73,0.49,42.22,86.21,0.46,18.35,44.65,0.47,93.95,56.81,0.43,11.94,43.55,0.48,80.69,53.50,0.49,50.62,10.83,0.50,50.84,88.20,0.45,48.19,8.18,0.44,84.22,53.72,0.50,53.94,16.80,0.44,49.52,87.76,0.48,13.04,48.85,0.49,52.61,19.01,0.50,50.40,85.77,0.42,97.71,53.94,0.49,9.06,43.99,0.43,43.77,83.56,0.46,97.26,55.48,0.41,53.72,5.75,0.49,10.61,41.78,0.47,89.97,61.01,0.50,51.51,5.97,0.49,7.09,46.08,0.48,48.85,84.44,0.46,46.20,89.75,0.47,49.74,91.07,0.44,89.31,49.52,0.50,53.05,7.96,0.48,9.06,41.12,0.42,
53.17,6.45,0.57,51.61,97.44,0.53,97.66,53.39,0.60,14.91,42.49,0.59,51.17,94.32,0.56,101.00,48.05,0.61,53.61,10.68,0.56,15.13,45.61,0.51,92.54,46.27,0.54,54.73,12.90,0.51,17.80,51.83,0.60,15.35,46.05,0.60,53.17,13.79,0.52,18.91,46.72,0.56,59.62,92.10,0.56,94.32,52.72,0.54,10.39,43.33,0.51,46.64,88.20,0.55,88.86,47.53,0.58,49.30,11.49,0.56,54.38,87.32,0.52,13.71,48.63,0.52,88.20,47.08,0.51,54.38,12.38,0.52,54.60,10.83,0.59,40.90,84.66,0.56,18.79,44.87,0.57,93.06,57.03,0.53,13.93,43.33,0.58,78.25,54.60,0.59,51.06,12.60,0.60,51.06,87.76,0.55,48.63,10.61,0.54,82.45,54.82,0.60,54.38,18.57,0.54,49.30,86.65,0.58,14.81,48.19,0.59,52.39,21.66,0.60,51.95,84.89,0.52,97.26,53.72,0.58,9.06,43.55,0.53,41.78,82.01,0.56,96.60,54.16,0.51,53.27,5.97,0.58,11.05,42.00,0.57,89.09,63.00,0.60,51.06,6.63,0.59,7.07,44.65,0.58,50.18,82.90,0.56,46.86,89.31,0.57,49.74,89.75,0.55,89.53,51.28,0.60,53.27,8.18,0.58,9.28,41.78,0.52,
53.39,6.23,0.67,50.94,96.55,0.63,96.10,53.61,0.70,15.13,43.83,0.69,50.28,93.43,0.66,100.78,48.05,0.71,52.28,11.57,0.66,15.57,46.49,0.62,91.65,45.61,0.64,53.84,14.24,0.62,18.02,52.95,0.70,16.24,46.27,0.70,53.39,15.35,0.62,19.58,48.27,0.65,58.73,91.43,0.66,94.77,53.17,0.64,10.83,43.77,0.61,45.10,87.76,0.65,86.87,47.75,0.68,49.96,12.38,0.66,55.26,85.99,0.62,13.71,48.41,0.62,87.54,47.31,0.61,53.94,13.48,0.62,55.26,12.16,0.69,40.01,83.78,0.66,18.57,45.98,0.67,91.74,56.81,0.63,15.47,43.55,0.68,76.04,55.93,0.69,51.73,13.93,0.70,51.06,87.32,0.65,49.07,12.82,0.63,80.46,55.93,0.69,55.04,20.78,0.63,48.85,85.55,0.68,16.36,47.53,0.69,52.39,24.76,0.70,53.05,83.78,0.62,97.26,53.50,0.68,9.28,43.11,0.63,40.01,80.02,0.66,95.50,52.83,0.61,52.39,7.29,0.69,11.27,42.00,0.67,87.76,64.55,0.70,50.40,7.52,0.69,7.96,45.10,0.68,51.51,80.91,0.66,47.31,88.86,0.67,49.52,87.98,0.64,90.19,53.05,0.70,53.05,7.96,0.68,9.73,42.22,0.62,
53.61,5.78,0.77,50.50,95.66,0.73,94.55,53.61,0.80,15.35,45.61,0.79,49.83,92.32,0.76,100.33,48.50,0.81,50.94,12.68,0.76,16.02,48.05,0.71,90.54,45.61,0.74,52.28,15.35,0.71,18.46,54.06,0.80,17.13,46.72,0.80,53.61,17.35,0.72,19.80,49.61,0.75,57.40,90.54,0.76,94.99,53.84,0.74,11.05,43.99,0.71,43.33,86.65,0.75,85.33,47.97,0.78,50.40,13.48,0.76,56.15,85.11,0.72,13.71,47.97,0.72,86.21,47.97,0.71,52.83,14.59,0.72,55.26,13.26,0.79,40.01,83.12,0.76,18.57,47.31,0.77,90.41,56.81,0.73,16.80,44.21,0.78,73.61,57.70,0.79,52.61,15.69,0.80,51.28,86.87,0.75,50.18,14.59,0.74,77.81,56.81,0.80,54.82,23.21,0.74,48.63,84.00,0.78,17.24,46.86,0.79,52.39,27.19,0.80,54.38,82.45,0.72,97.26,53.05,0.78,9.51,42.88,0.73,38.91,77.81,0.76,94.17,51.51,0.71,51.73,8.40,0.79,11.94,42.44,0.77,86.43,66.10,0.80,50.62,9.51,0.79,8.40,45.10,0.78,52.83,78.70,0.76,47.31,88.42,0.77,49.52,85.55,0.75,90.63,54.60,0.80,53.05,8.40,0.78,10.83,43.33,0.72,
