33-4,5/25/2007,11:14 AM,33-4,5/25/2007,11:22 AM,33-4,5/25/2007,11:32 AM,33-4,5/25/2007,11:40 AM,33-4,5/26/2007,8:15 AM,33-4,5/26/2007,8:22 AM,33-4,5/26/2007,8:29 AM,33-4,5/26/2007,8:35 AM,33-4,5/27/2007,7:52 AM,33-4,5/27/2007,7:58 AM,33-4*,5/27/2007,8:02 AM,33-4,5/27/2007,8:07 AM,33-4,5/28/2007,7:59 AM,33-4,5/28/2007,8:04 AM,33-4,5/28/2007,8:08 AM,33-4,5/28/2007,8:14 AM,33-4,5/29/2007,7:03 AM,33-4,5/29/2007,7:08 AM,33-4,5/29/2007,7:13 AM,33-4,5/29/2007,7:17 AM,33-4,5/30/2007,7:15 AM,33-4,5/30/2007,7:20 AM,33-4,5/30/2007,7:25 AM,33-4,5/30/2007,7:31 AM,33-4,5/31/2007,10:51 AM,33-4,5/31/2007,10:55 AM,33-4,5/31/2007,10:59 AM,33-4,5/31/2007,11:04 AM,33-4,6/1/2007,10:57 AM,33-4,6/1/2007,11:02 AM,33-4,6/1/2007,11:06 AM,33-4,6/1/2007,11:09 AM,33-4,6/2/2007,7:53 AM,33-4,6/3/2007,7:50 AM,33-4,6/3/2007,7:54 AM,33-4,6/3/2007,7:58 AM,33-4,6/3/2007,8:02 AM,33-4,6/4/2007,1:51 PM,33-4,6/4/2007,1:56 PM,33-4,6/4/2007,2:00 PM,33-4,6/4/2007,2:05 PM,33-4*,6/5/2007,9:54 AM,33-4,6/5/2007,9:58 AM,33-4,6/5/2007,10:02 AM,33-4,6/5/2007,10:07 AM,33-4,6/6/2007,9:06 AM,33-4,6/6/2007,9:10 AM,33-4*,6/6/2007,9:14 AM,33-4,6/6/2007,9:18 AM,33-4,6/7/2007,10:44 AM,33-4,6/8/2007,8:16 AM,33-4,6/8/2007,8:20 AM,33-4,6/8/2007,8:24 AM,33-4,6/8/2007,8:28 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
57.62,6.45,0.00,60.29,95.44,0.00,97.44,54.73,0.00,12.01,45.61,0.00,53.17,95.88,0.00,97.22,49.83,0.00,55.39,6.01,0.00,7.56,44.49,0.00,89.88,50.94,0.00,50.05,6.67,0.01,6.69,45.70,0.00,47.38,91.43,0.01,48.05,12.01,0.00,15.57,51.83,0.01,51.61,88.10,0.00,86.98,50.50,0.00,8.62,42.88,0.00,54.60,88.42,0.00,94.61,45.76,0.00,47.97,9.06,0.00,58.14,89.53,0.00,9.51,40.67,0.00,93.29,51.51,0.00,53.05,10.17,0.00,54.38,9.73,0.00,52.83,92.62,0.00,6.41,43.77,0.00,92.62,51.73,0.01,8.84,42.00,0.00,99.25,42.88,0.01,50.18,5.97,0.00,50.84,5.75,0.01,11.49,43.33,0.01,99.03,46.64,0.00,49.30,6.85,0.00,53.27,82.01,0.00,8.18,44.21,0.00,53.05,9.73,0.01,45.54,89.75,0.01,84.22,50.84,0.00,9.95,53.05,0.00,48.07,84.18,0.00,78.47,50.40,0.00,46.20,12.16,0.00,10.83,48.41,0.00,86.87,52.17,0.00,49.27,2.65,0.00,7.09,47.41,0.00,51.95,85.77,0.00,8.18,43.77,0.01,48.85,91.74,0.00,95.27,47.31,0.00,48.19,6.41,0.00,6.63,44.21,0.00,
57.40,6.90,0.08,59.84,95.88,0.08,97.22,54.06,0.09,12.24,45.38,0.08,54.06,94.99,0.09,97.44,48.72,0.09,55.62,6.45,0.08,7.56,44.72,0.09,88.76,50.94,0.08,49.83,7.12,0.08,7.58,45.70,0.08,47.83,91.21,0.08,48.27,13.35,0.08,16.91,52.28,0.08,52.28,87.87,0.08,86.09,50.94,0.09,9.06,42.22,0.08,54.60,87.76,0.08,94.17,45.76,0.08,48.19,9.95,0.08,57.47,88.86,0.10,9.95,40.01,0.08,92.40,51.06,0.08,52.61,11.05,0.08,54.16,11.49,0.08,53.72,91.96,0.08,6.63,43.55,0.08,91.96,52.39,0.08,9.28,41.78,0.10,98.59,41.78,0.09,49.96,5.75,0.08,50.62,5.53,0.08,12.16,43.55,0.08,97.71,46.42,0.08,48.63,8.18,0.07,53.94,80.91,0.07,8.62,43.77,0.07,52.61,9.95,0.08,45.54,89.53,0.08,82.67,50.40,0.07,11.05,54.38,0.08,50.28,83.07,0.08,76.49,50.62,0.09,45.32,13.93,0.09,11.94,48.41,0.08,85.99,50.84,0.08,45.64,7.18,0.08,7.52,48.85,0.08,53.27,84.66,0.08,11.05,45.98,0.10,49.30,91.30,0.07,94.83,46.64,0.08,48.19,5.97,0.08,6.41,44.43,0.07,
57.62,7.79,0.17,58.95,97.44,0.18,96.77,52.95,0.19,12.46,44.94,0.18,54.95,92.77,0.19,98.55,47.83,0.19,56.06,7.12,0.14,7.34,45.16,0.19,87.87,51.17,0.14,50.50,8.68,0.17,6.91,45.25,0.14,48.05,90.99,0.14,49.61,15.13,0.18,17.80,52.95,0.14,54.28,86.76,0.18,84.54,52.06,0.19,10.61,41.78,0.18,54.38,86.87,0.16,93.95,46.20,0.14,48.41,11.27,0.14,56.81,89.09,0.20,10.17,39.79,0.14,91.96,49.96,0.18,52.17,12.16,0.14,53.72,12.82,0.14,54.82,90.63,0.18,7.29,44.21,0.17,91.30,52.17,0.14,10.39,41.12,0.20,97.04,40.90,0.19,49.74,6.19,0.15,50.62,6.41,0.15,13.26,43.77,0.15,96.60,46.64,0.14,47.97,9.51,0.15,55.04,79.58,0.13,9.28,43.11,0.14,52.61,10.17,0.15,45.76,88.86,0.15,82.01,49.96,0.15,12.38,55.04,0.15,51.73,81.13,0.18,73.61,51.73,0.19,44.43,15.69,0.18,13.04,48.41,0.14,85.55,49.52,0.14,42.00,11.72,0.14,8.18,49.07,0.14,54.82,83.56,0.15,14.37,47.08,0.20,49.74,90.85,0.15,94.83,45.76,0.14,47.97,5.97,0.15,6.19,44.43,0.17,
57.62,9.79,0.27,58.73,99.22,0.28,96.10,51.61,0.28,12.90,44.27,0.28,55.39,90.99,0.29,99.66,46.72,0.29,57.40,8.23,0.25,7.34,45.83,0.29,86.54,52.06,0.23,51.61,10.23,0.27,7.36,45.03,0.21,47.83,90.54,0.23,51.61,16.02,0.28,19.13,54.28,0.22,56.28,85.87,0.28,82.98,53.61,0.28,11.94,42.22,0.28,54.16,85.99,0.26,93.06,46.64,0.21,48.85,13.48,0.25,55.26,89.31,0.30,10.83,40.23,0.22,91.52,49.07,0.28,51.06,13.93,0.23,52.61,14.81,0.24,56.37,88.86,0.28,7.74,44.65,0.27,89.97,51.95,0.24,11.72,41.12,0.30,95.50,41.34,0.29,49.74,6.85,0.25,50.62,7.52,0.25,14.81,44.87,0.25,94.17,47.53,0.22,46.86,11.72,0.25,55.48,78.70,0.22,10.39,42.22,0.23,52.39,10.39,0.21,46.64,87.98,0.25,80.02,49.96,0.25,13.93,55.71,0.25,53.94,80.02,0.28,70.96,51.95,0.29,43.11,18.13,0.28,15.03,48.63,0.23,84.89,47.53,0.21,40.90,14.15,0.25,9.28,49.52,0.21,57.47,81.35,0.25,17.46,47.08,0.30,49.96,89.53,0.25,93.95,43.99,0.22,47.31,6.19,0.25,6.19,44.87,0.27,
57.84,14.24,0.37,58.73,100.78,0.38,95.44,50.72,0.38,12.90,43.60,0.38,55.17,88.32,0.39,101.22,46.27,0.39,58.51,9.12,0.34,8.23,46.94,0.39,85.20,52.95,0.33,52.95,11.35,0.37,6.69,44.81,0.31,48.50,89.43,0.33,53.61,16.02,0.38,21.13,56.28,0.32,58.29,84.31,0.38,81.42,55.39,0.38,13.48,43.33,0.38,53.72,84.89,0.36,92.18,47.75,0.31,49.74,15.47,0.34,53.94,89.75,0.40,11.94,40.90,0.32,90.85,47.97,0.38,50.40,15.69,0.34,51.73,16.80,0.34,57.47,87.32,0.38,9.51,44.87,0.37,88.42,51.95,0.34,13.48,42.00,0.40,93.29,41.78,0.39,49.96,7.74,0.35,50.40,8.62,0.35,16.36,45.98,0.35,92.84,48.41,0.32,45.54,13.71,0.35,55.26,76.49,0.32,11.72,41.78,0.33,52.39,10.83,0.31,47.53,86.87,0.35,78.03,50.18,0.35,15.92,55.48,0.35,56.15,78.47,0.38,68.75,52.17,0.39,41.56,20.34,0.38,17.24,49.30,0.34,84.89,44.65,0.31,40.01,17.02,0.34,11.05,50.18,0.32,59.69,79.14,0.34,20.34,46.64,0.40,50.84,87.76,0.35,92.40,41.78,0.32,47.31,6.85,0.35,5.75,45.10,0.37,
58.51,17.35,0.47,58.29,101.22,0.48,94.77,50.05,0.49,12.68,42.71,0.48,54.50,86.09,0.49,102.11,46.27,0.49,59.62,10.90,0.44,9.34,48.05,0.49,83.65,54.06,0.43,54.28,11.12,0.47,7.34,45.38,0.41,49.16,87.87,0.43,55.39,15.35,0.48,22.91,58.73,0.42,60.07,82.53,0.48,79.86,56.73,0.49,14.59,45.10,0.48,52.61,83.78,0.46,91.74,49.96,0.41,50.40,17.46,0.44,53.05,89.75,0.50,12.82,42.00,0.42,89.97,47.31,0.48,49.52,17.68,0.44,50.84,19.01,0.44,58.80,85.55,0.48,11.27,45.54,0.47,86.65,51.73,0.44,15.25,42.88,0.50,90.63,42.66,0.49,50.18,9.51,0.45,50.40,10.17,0.45,17.91,46.64,0.45,91.30,49.52,0.43,44.65,16.36,0.45,54.38,74.27,0.42,12.82,42.00,0.43,51.95,11.27,0.41,49.07,85.77,0.45,76.04,50.62,0.45,17.68,54.82,0.45,57.92,76.26,0.48,66.10,52.17,0.49,39.79,22.99,0.48,19.67,49.74,0.44,85.11,41.34,0.41,39.35,20.12,0.44,13.04,50.84,0.41,62.34,76.71,0.44,23.43,46.42,0.50,51.51,85.55,0.45,91.30,39.57,0.42,47.97,7.96,0.45,6.63,45.54,0.47,
60.07,19.58,0.57,57.62,101.44,0.58,94.32,50.05,0.58,12.01,41.82,0.58,53.17,84.09,0.59,102.33,46.49,0.59,60.96,12.46,0.55,10.68,48.72,0.59,82.53,56.28,0.53,55.17,10.46,0.57,7.56,45.61,0.51,50.05,86.09,0.53,56.73,14.24,0.58,24.47,61.40,0.52,60.51,80.75,0.58,77.64,57.84,0.58,15.47,47.53,0.58,50.62,83.12,0.56,91.30,52.17,0.51,51.51,19.45,0.55,52.17,89.75,0.60,13.48,43.55,0.52,89.31,46.64,0.58,48.63,19.90,0.54,50.62,21.44,0.54,59.46,83.78,0.58,13.26,46.64,0.57,84.66,52.17,0.54,17.24,43.99,0.60,88.42,43.77,0.59,50.18,11.05,0.55,49.96,11.94,0.55,19.45,46.64,0.55,89.75,49.74,0.52,43.33,19.01,0.55,53.05,72.73,0.52,14.15,42.66,0.53,51.95,11.72,0.51,50.84,84.66,0.55,73.61,50.62,0.55,19.45,53.50,0.55,59.24,73.39,0.58,63.66,52.83,0.59,38.02,25.64,0.58,22.33,49.74,0.54,85.99,38.46,0.51,39.35,23.21,0.55,15.69,51.06,0.51,64.55,74.27,0.55,26.75,45.76,0.60,53.05,83.34,0.55,90.41,36.92,0.52,48.63,9.51,0.55,8.18,45.76,0.57,
61.62,21.36,0.67,56.51,101.44,0.68,93.88,50.05,0.69,11.12,40.71,0.68,52.06,83.42,0.69,102.11,47.38,0.69,62.51,13.79,0.64,12.68,49.39,0.69,82.31,58.29,0.63,56.06,10.01,0.67,7.34,45.61,0.61,50.28,83.87,0.63,57.17,13.57,0.68,26.03,64.29,0.62,60.07,78.53,0.68,74.97,58.95,0.69,16.58,49.96,0.68,48.19,82.67,0.66,90.41,53.94,0.61,52.17,21.88,0.64,50.84,89.31,0.70,14.59,45.32,0.62,88.20,46.86,0.68,47.75,22.33,0.63,50.40,23.65,0.64,59.69,82.45,0.68,15.25,47.53,0.67,82.90,53.05,0.64,19.01,44.43,0.70,86.21,44.87,0.69,50.18,13.48,0.65,49.52,14.37,0.65,20.78,46.42,0.65,87.54,49.52,0.62,42.22,22.11,0.65,50.84,71.40,0.62,14.81,43.99,0.63,51.51,12.82,0.61,53.05,83.34,0.65,71.40,50.62,0.65,21.22,52.17,0.65,60.13,70.07,0.68,61.01,53.72,0.69,36.25,28.52,0.69,25.20,49.74,0.63,86.87,35.37,0.61,40.01,26.08,0.64,18.35,51.06,0.61,66.76,71.40,0.64,29.84,44.65,0.70,54.82,80.91,0.65,89.75,34.04,0.62,49.96,11.05,0.65,9.51,45.98,0.67,
63.40,21.13,0.77,55.62,100.55,0.78,94.32,50.72,0.79,9.79,39.60,0.78,50.50,83.87,0.79,101.00,48.50,0.79,63.85,14.24,0.75,14.02,48.94,0.79,82.09,60.29,0.73,56.73,9.34,0.77,6.67,45.61,0.71,49.83,82.09,0.73,56.51,12.90,0.78,27.14,67.41,0.72,58.95,76.08,0.78,71.86,60.29,0.79,17.91,52.39,0.78,46.42,83.12,0.76,89.97,55.04,0.71,52.83,24.10,0.75,49.96,88.42,0.80,15.69,46.64,0.72,86.87,47.31,0.78,47.08,24.76,0.74,50.62,26.53,0.74,59.24,81.35,0.78,17.46,48.41,0.77,80.91,54.16,0.74,20.34,44.21,0.80,83.56,46.64,0.79,49.74,15.47,0.75,49.30,16.58,0.75,22.11,45.54,0.75,85.33,48.85,0.73,40.67,24.76,0.75,48.19,70.30,0.72,15.25,45.98,0.73,51.28,13.93,0.71,54.60,81.79,0.75,68.53,50.62,0.75,22.77,51.28,0.75,61.23,67.20,0.78,58.36,55.48,0.79,34.71,31.17,0.78,28.07,49.07,0.74,87.32,32.05,0.71,40.90,29.18,0.75,21.22,51.06,0.71,68.53,68.53,0.75,33.16,43.33,0.80,56.81,78.25,0.75,89.53,31.17,0.72,50.62,12.82,0.75,11.05,46.64,0.77,
