36-1,5/25/2007,12:13 PM,36-1,5/25/2007,12:21 PM,36-1,5/25/2007,12:29 PM,36-1,5/25/2007,12:38 PM,36-1,5/26/2007,8:58 AM,36-1,5/26/2007,9:06 AM,36-1,5/26/2007,9:13 AM,36-1,5/26/2007,9:20 AM,36-1,5/27/2007,8:22 AM,36-1,5/27/2007,8:28 AM,36-1,5/27/2007,8:34 AM,36-1,5/27/2007,8:41 AM,36-1,5/28/2007,8:27 AM,36-1,5/28/2007,8:32 AM,36-1*,5/28/2007,8:37 AM,36-1,5/28/2007,8:42 AM,36-1,5/29/2007,7:28 AM,36-1,5/29/2007,7:35 AM,36-1,5/29/2007,7:39 AM,36-1,5/29/2007,7:43 AM,36-1,5/30/2007,7:42 AM,36-1,5/30/2007,7:47 AM,36-1,5/30/2007,7:52 AM,36-1,5/30/2007,7:57 AM,36-1,5/31/2007,11:16 AM,36-1,5/31/2007,11:21 AM,36-1,5/31/2007,11:26 AM,36-1,5/31/2007,11:31 AM,36-1,6/1/2007,11:31 AM,36-1,6/1/2007,11:35 AM,36-1,6/1/2007,11:39 AM,36-1*,6/1/2007,11:44 AM,36-1,6/2/2007,8:06 AM,36-1,6/3/2007,8:15 AM,36-1,6/3/2007,8:19 AM,36-1,6/3/2007,8:22 AM,36-1,6/3/2007,8:26 AM,36-1,6/4/2007,2:19 PM,36-1,6/4/2007,2:26 PM,36-1,6/4/2007,2:31 PM,36-1,6/4/2007,2:35 PM,36-1,6/5/2007,10:17 AM,36-1,6/5/2007,10:22 AM,36-1,6/5/2007,10:26 AM,36-1,6/5/2007,10:33 AM,36-1,6/6/2007,9:28 AM,36-1,6/6/2007,9:33 AM,36-1,6/6/2007,9:37 AM,36-1,6/6/2007,9:42 AM,36-1,6/7/2007,10:55 AM,36-1*,6/8/2007,8:36 AM,36-1,6/8/2007,8:40 AM,36-1,6/8/2007,8:44 AM,36-1,6/8/2007,8:48 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
53.39,6.01,0.00,7.12,46.49,0.01,49.16,92.32,0.00,97.66,49.83,0.00,6.01,51.17,0.00,54.50,86.54,0.00,92.32,48.72,0.00,46.27,6.67,0.00,60.96,91.65,0.00,12.68,43.83,0.00,101.00,54.95,0.00,53.39,9.34,0.00,52.06,11.57,0.01,57.40,94.77,0.00,7.58,50.61,0.00,89.88,62.29,0.00,24.10,27.19,0.00,97.04,53.27,0.00,48.41,7.74,0.00,52.61,93.95,0.00,93.51,51.28,0.00,47.53,5.53,0.00,49.07,88.64,0.00,16.36,46.42,0.00,52.17,60.57,0.00,50.84,6.19,0.01,9.95,43.77,0.00,99.70,63.00,0.00,9.73,49.74,0.00,94.61,45.54,0.00,51.28,10.39,0.00,55.16,81.52,0.00,57.47,89.75,0.00,93.73,44.65,0.00,7.29,45.54,0.00,51.73,94.17,0.00,46.86,5.97,0.01,53.50,11.05,0.00,6.85,46.86,0.00,49.07,89.53,0.00,96.16,56.15,0.01,10.83,48.19,0.00,43.99,92.62,0.01,99.70,53.05,0.01,52.17,8.18,0.01,65.65,82.90,0.01,7.74,44.43,0.01,96.38,46.86,0.00,52.61,5.75,0.00,51.73,87.76,0.01,13.96,50.95,0.01,46.42,95.27,0.01,97.04,48.63,0.01,49.38,5.31,0.01,
54.28,5.56,0.08,6.67,46.49,0.08,48.50,92.54,0.08,97.22,49.39,0.08,7.12,50.94,0.10,55.17,85.87,0.08,91.21,48.27,0.08,45.83,7.34,0.09,60.96,90.10,0.08,13.35,44.27,0.08,101.00,54.95,0.08,52.95,10.01,0.08,51.39,12.90,0.08,56.51,94.77,0.09,8.03,52.61,0.09,88.54,62.51,0.08,25.42,28.07,0.07,96.16,52.17,0.08,48.41,8.40,0.09,53.50,94.17,0.07,92.84,51.73,0.08,46.42,7.07,0.09,47.75,88.42,0.08,17.02,46.86,0.08,53.72,60.35,0.08,51.28,5.31,0.08,10.17,44.21,0.08,98.37,64.33,0.07,11.05,50.62,0.08,94.17,45.10,0.08,51.28,11.05,0.08,56.71,81.52,0.08,57.70,89.31,0.08,93.95,43.33,0.09,7.74,45.76,0.08,51.51,93.73,0.08,46.20,5.97,0.08,53.27,11.27,0.08,7.74,46.20,0.12,48.85,88.86,0.08,95.72,55.48,0.08,12.16,48.85,0.09,43.55,91.96,0.08,99.48,52.83,0.09,51.95,8.40,0.08,65.87,80.91,0.08,8.40,43.77,0.08,90.63,45.54,0.08,52.39,5.75,0.08,52.39,85.99,0.11,15.51,50.28,0.09,46.20,94.83,0.08,96.38,48.19,0.08,49.14,5.53,0.09,
55.17,5.34,0.15,6.23,46.27,0.14,47.83,93.43,0.14,96.33,48.94,0.15,7.79,51.17,0.20,55.84,84.76,0.17,90.32,48.05,0.16,45.61,8.01,0.19,60.29,87.65,0.16,14.02,44.94,0.14,100.55,54.73,0.14,52.28,10.46,0.18,50.05,14.91,0.17,54.95,94.32,0.19,8.69,55.29,0.19,86.32,62.29,0.18,26.53,28.74,0.14,95.27,51.28,0.14,47.31,9.06,0.19,54.38,93.73,0.14,91.96,51.95,0.17,43.77,10.17,0.19,45.32,87.98,0.18,17.91,47.53,0.14,55.04,60.13,0.14,51.95,6.19,0.17,10.83,44.65,0.18,97.04,65.21,0.15,12.38,51.06,0.14,93.29,44.65,0.14,50.84,12.16,0.16,56.59,79.80,0.14,58.36,88.86,0.14,92.84,42.22,0.19,7.74,45.32,0.14,50.62,93.29,0.15,44.87,5.97,0.18,53.27,11.49,0.14,8.84,44.87,0.22,49.30,87.54,0.14,95.27,55.04,0.18,14.15,49.07,0.19,42.66,89.75,0.17,98.81,52.39,0.19,51.73,8.84,0.14,64.99,79.36,0.18,9.28,43.55,0.18,89.97,45.32,0.14,52.39,6.19,0.14,53.50,83.56,0.21,16.14,49.96,0.19,45.54,94.39,0.14,96.16,47.75,0.14,49.07,5.97,0.19,
57.17,5.34,0.25,5.78,45.61,0.24,47.38,94.55,0.22,95.44,48.72,0.25,10.01,52.72,0.30,57.40,84.09,0.27,89.21,47.83,0.26,44.72,8.90,0.28,59.40,85.20,0.26,14.68,46.27,0.22,100.33,54.28,0.23,51.17,11.57,0.28,48.94,16.91,0.27,53.17,93.88,0.29,11.15,56.85,0.29,83.87,62.29,0.28,26.53,30.51,0.23,93.51,50.40,0.22,46.20,9.73,0.29,55.48,92.40,0.22,90.63,53.05,0.28,42.00,12.82,0.29,43.33,87.32,0.28,18.57,48.41,0.24,57.03,59.91,0.24,52.61,7.07,0.26,11.27,44.87,0.28,93.51,65.43,0.25,13.48,51.51,0.24,92.62,43.99,0.21,51.06,13.71,0.26,58.14,78.25,0.24,58.80,87.76,0.23,92.18,40.90,0.29,7.96,45.54,0.21,49.07,92.18,0.25,44.43,6.19,0.28,53.05,12.16,0.22,10.17,43.99,0.31,49.52,86.21,0.23,94.61,54.82,0.28,16.14,48.63,0.29,42.88,87.98,0.27,97.71,51.28,0.29,51.95,9.51,0.24,63.89,78.03,0.28,9.95,42.66,0.28,89.09,43.99,0.23,52.61,6.85,0.24,54.16,81.13,0.31,16.80,49.96,0.28,45.76,93.73,0.23,95.50,47.31,0.23,48.63,6.63,0.29,
59.40,5.78,0.35,5.56,45.61,0.34,46.94,96.10,0.32,94.55,49.39,0.38,11.35,53.61,0.40,58.73,83.87,0.37,88.10,48.27,0.36,44.27,9.79,0.38,58.51,82.76,0.36,16.02,48.27,0.33,100.33,54.73,0.33,50.28,12.90,0.38,47.83,19.58,0.37,51.17,93.21,0.39,10.68,56.73,0.39,81.42,62.29,0.38,26.08,32.94,0.34,90.85,49.52,0.31,45.98,11.05,0.39,57.03,91.07,0.32,89.53,54.16,0.37,40.67,15.25,0.39,41.56,86.43,0.38,18.57,49.74,0.34,58.80,60.13,0.34,53.27,8.18,0.37,11.49,45.76,0.38,89.75,65.87,0.35,15.03,52.39,0.34,91.30,43.33,0.31,51.51,15.47,0.36,59.24,76.26,0.33,59.46,86.21,0.33,91.07,39.57,0.39,7.96,45.54,0.31,47.53,90.85,0.35,43.77,6.19,0.38,52.39,13.26,0.32,12.16,42.88,0.40,50.40,84.89,0.33,93.29,55.04,0.38,18.13,48.19,0.39,43.33,85.99,0.37,96.16,50.84,0.39,52.39,9.73,0.34,62.78,76.71,0.38,11.05,42.66,0.38,87.54,42.66,0.34,52.39,7.07,0.34,54.60,78.03,0.41,17.91,49.96,0.38,45.98,92.84,0.33,94.83,47.08,0.33,47.31,7.29,0.40,
61.62,6.90,0.45,6.01,45.83,0.44,46.94,97.88,0.43,94.32,50.05,0.48,12.90,52.72,0.50,60.73,84.09,0.47,87.21,48.72,0.46,44.27,10.68,0.49,58.06,80.09,0.46,17.13,50.50,0.42,100.11,55.62,0.43,49.83,14.68,0.48,46.94,22.47,0.47,49.16,92.10,0.49,12.68,58.51,0.49,78.31,62.73,0.48,25.20,34.71,0.44,88.20,48.85,0.41,45.98,12.82,0.49,58.36,89.09,0.43,88.20,56.37,0.47,39.57,17.91,0.49,39.57,84.89,0.48,18.35,51.51,0.44,60.57,59.91,0.44,53.72,11.05,0.47,11.72,47.31,0.48,86.43,66.32,0.45,15.92,53.50,0.44,89.75,43.77,0.41,51.95,17.24,0.46,60.13,73.83,0.43,59.69,84.44,0.43,89.53,38.24,0.49,7.96,45.54,0.41,45.54,89.53,0.45,42.66,6.85,0.48,51.95,14.37,0.42,13.93,42.22,0.49,51.06,82.90,0.43,91.52,55.48,0.48,20.56,47.31,0.49,44.65,83.78,0.47,94.17,51.06,0.49,51.95,11.05,0.44,60.57,76.26,0.48,11.72,42.44,0.48,85.77,41.56,0.44,52.17,7.29,0.44,55.26,75.16,0.51,19.45,50.62,0.49,46.64,91.52,0.43,94.39,46.64,0.43,46.42,8.40,0.50,
63.62,7.79,0.55,6.45,45.83,0.54,47.38,99.44,0.52,93.88,51.17,0.58,14.68,51.61,0.60,62.07,83.87,0.57,86.32,49.39,0.56,44.72,11.79,0.58,58.29,77.19,0.56,17.80,52.06,0.52,99.22,55.62,0.53,49.39,17.13,0.58,45.61,25.81,0.57,46.94,91.21,0.59,14.46,60.07,0.59,75.42,62.73,0.58,24.10,37.36,0.54,85.11,49.07,0.51,45.98,14.81,0.59,58.80,86.87,0.53,86.43,58.58,0.57,38.91,21.00,0.59,38.68,83.56,0.58,18.13,53.27,0.54,62.56,59.46,0.54,53.50,13.71,0.56,11.49,48.41,0.58,83.12,66.54,0.55,16.58,55.26,0.54,87.54,44.65,0.51,52.61,19.01,0.56,60.13,71.40,0.53,59.91,82.67,0.53,88.20,36.70,0.59,8.18,45.10,0.51,43.33,87.76,0.55,41.34,7.29,0.58,50.62,15.92,0.52,17.02,41.56,0.63,52.17,80.91,0.53,89.53,55.93,0.58,22.55,46.86,0.59,45.98,81.57,0.57,92.18,51.95,0.59,51.73,12.38,0.54,58.36,76.49,0.58,13.04,42.88,0.58,84.00,40.45,0.54,51.73,8.40,0.54,55.71,71.62,0.61,21.22,50.84,0.58,47.31,90.63,0.53,93.95,46.64,0.53,45.10,9.51,0.60,
65.85,8.68,0.65,7.12,45.83,0.64,48.27,100.33,0.62,94.10,51.83,0.65,15.35,50.28,0.70,63.18,83.42,0.67,85.65,50.28,0.66,45.83,12.68,0.69,58.29,74.30,0.66,19.35,54.28,0.62,98.55,56.51,0.63,48.94,19.35,0.68,44.05,28.70,0.67,44.49,89.43,0.69,16.24,61.84,0.69,72.52,62.96,0.68,23.43,39.35,0.63,81.79,49.30,0.62,45.98,17.24,0.69,59.24,84.22,0.63,84.22,60.57,0.68,38.24,24.32,0.69,38.24,81.35,0.68,18.79,54.82,0.64,64.33,58.36,0.64,52.83,15.92,0.67,11.72,49.07,0.68,79.58,67.42,0.65,17.46,57.25,0.64,85.33,45.98,0.61,53.05,20.78,0.66,60.79,69.63,0.63,60.35,80.46,0.63,86.87,34.71,0.69,8.40,45.10,0.61,41.12,86.43,0.65,40.45,7.52,0.68,49.74,17.68,0.62,18.57,42.00,0.69,53.05,79.14,0.63,87.54,56.59,0.68,25.64,46.64,0.69,47.31,78.92,0.67,90.19,52.61,0.69,51.28,14.15,0.64,55.71,76.93,0.68,14.37,43.55,0.68,81.79,39.57,0.63,51.28,9.95,0.64,56.37,68.09,0.71,22.99,51.51,0.69,49.07,89.97,0.63,93.51,45.76,0.63,44.21,10.83,0.69,
67.63,9.57,0.75,8.01,45.38,0.74,48.27,100.33,0.73,94.32,53.17,0.75,16.02,48.50,0.80,64.51,82.31,0.77,85.20,51.17,0.76,46.72,13.79,0.79,58.06,71.86,0.76,21.13,56.73,0.72,97.44,56.95,0.73,48.50,21.80,0.78,41.82,31.37,0.77,42.05,87.43,0.79,17.80,64.07,0.79,69.19,62.73,0.78,23.21,41.78,0.74,78.70,49.52,0.71,46.20,19.90,0.79,58.80,81.79,0.73,82.23,62.12,0.77,37.80,28.07,0.79,38.24,79.36,0.78,19.45,56.81,0.74,65.87,57.25,0.74,52.17,18.57,0.76,11.94,50.18,0.78,76.26,68.75,0.75,18.57,59.24,0.74,83.34,47.75,0.71,52.83,23.43,0.76,61.67,68.31,0.73,61.01,78.25,0.73,85.11,32.72,0.79,9.20,44.87,0.71,38.68,84.89,0.75,39.13,8.40,0.78,48.85,19.90,0.72,21.44,43.33,0.82,53.50,76.71,0.73,85.11,57.25,0.78,28.52,46.86,0.79,47.97,76.04,0.77,88.86,53.50,0.79,50.62,16.14,0.74,53.05,77.15,0.78,15.69,44.65,0.78,79.14,38.46,0.74,50.84,11.72,0.74,56.59,64.33,0.81,24.54,51.73,0.79,50.84,89.75,0.73,93.06,45.10,0.73,42.66,12.38,0.80,
