37-3,5/25/2007,1:16 PM,37-3,5/25/2007,1:28 PM,37-3,5/25/2007,1:39 PM,37-3,5/25/2007,1:47 PM,37-3,5/26/2007,9:45 AM,37-3,5/26/2007,9:52 AM,37-3,5/26/2007,9:57 AM,37-3,5/26/2007,10:03 AM,37-3,5/27/2007,9:02 AM,37-3,5/27/2007,9:07 AM,37-3,5/27/2007,9:13 AM,37-3*,5/27/2007,9:18 AM,37-3,5/28/2007,8:52 AM,37-3,5/28/2007,8:58 AM,37-3*,5/28/2007,9:01 AM,37-3,5/28/2007,9:06 AM,37-3,5/29/2007,7:56 AM,37-3,5/29/2007,8:01 AM,37-3,5/29/2007,8:05 AM,37-3,5/29/2007,8:11 AM,37-3,5/30/2007,8:07 AM,37-3,5/30/2007,8:12 AM,37-3,5/30/2007,8:17 AM,37-3,5/30/2007,8:22 AM,37-3,5/31/2007,11:43 AM,37-3,5/31/2007,11:48 AM,37-3,5/31/2007,11:52 AM,37-3,5/31/2007,11:56 AM,37-3,6/1/2007,11:55 AM,37-3,6/1/2007,11:59 AM,37-3,6/1/2007,12:04 PM,37-3,6/1/2007,12:08 PM,37-3,6/2/2007,8:19 AM,37-3,6/3/2007,8:38 AM,37-3,6/3/2007,8:42 AM,37-3,6/3/2007,8:46 AM,37-3,6/3/2007,8:50 AM,37-3,6/4/2007,2:49 PM,37-3,6/4/2007,2:55 PM,37-3,6/4/2007,2:59 PM,37-3,6/4/2007,3:03 PM,37-3,6/5/2007,10:48 AM,37-3,6/5/2007,10:52 AM,37-3,6/5/2007,10:56 AM,37-3,6/5/2007,11:01 AM,37-3,6/6/2007,9:52 AM,37-3,6/6/2007,9:57 AM,37-3,6/6/2007,10:01 AM,37-3,6/6/2007,10:05 AM,37-3,6/7/2007,11:09 AM,37-3,6/8/2007,8:57 AM,37-3,6/8/2007,9:01 AM,37-3,6/8/2007,9:04 AM,37-3,6/8/2007,9:08 AM,
x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,
52.95,5.78,0.00,47.16,96.33,0.00,8.23,47.61,0.00,95.21,44.94,0.00,6.67,41.60,0.00,97.22,56.51,0.00,52.95,7.79,0.00,50.94,99.89,0.01,97.22,53.61,0.00,55.17,6.01,0.00,46.72,94.77,0.00,7.58,43.69,0.00,36.48,93.66,0.00,43.16,15.35,0.00,8.03,47.93,0.00,91.65,51.61,0.00,11.49,48.19,0.00,94.61,53.72,0.00,51.51,6.85,0.01,47.08,89.09,0.00,89.09,57.92,0.00,8.62,46.42,0.00,45.32,92.62,0.00,47.97,7.74,0.00,49.52,8.18,0.01,56.15,95.05,0.01,89.09,54.16,0.00,9.06,43.77,0.00,37.80,87.98,0.00,95.27,55.48,0.00,49.07,12.60,0.00,6.41,47.97,0.01,10.61,42.00,0.00,93.29,54.82,0.00,52.61,6.72,0.00,5.97,49.96,0.00,50.84,90.85,0.00,49.74,6.63,0.00,51.28,91.96,0.01,5.97,50.62,0.00,93.06,57.70,0.00,13.26,40.23,0.00,93.95,54.16,0.00,49.30,8.18,0.00,48.63,87.98,0.00,92.84,51.28,0.00,48.85,7.96,0.00,45.10,90.63,0.00,8.18,48.19,0.00,7.29,42.88,0.00,7.52,45.98,0.00,93.73,53.72,0.00,50.62,3.32,0.00,46.86,88.64,0.01,
52.95,5.78,0.08,46.72,96.99,0.08,8.23,47.61,0.08,95.21,44.94,0.08,6.67,41.38,0.08,98.33,56.06,0.08,52.28,8.01,0.08,51.17,99.66,0.10,97.44,53.39,0.08,55.17,6.23,0.09,46.05,95.21,0.08,7.58,42.58,0.08,35.82,93.21,0.08,43.38,17.13,0.08,9.59,47.93,0.08,89.88,51.83,0.08,13.26,47.97,0.09,94.61,54.16,0.10,51.06,7.07,0.14,47.75,89.09,0.07,88.42,58.36,0.08,9.28,46.86,0.11,45.10,92.40,0.08,47.75,7.52,0.08,49.07,8.40,0.08,57.25,94.61,0.08,88.20,54.38,0.07,9.73,43.55,0.09,37.58,87.10,0.09,94.83,55.04,0.08,48.85,12.82,0.08,7.52,48.19,0.09,11.27,41.34,0.08,92.62,55.04,0.08,49.07,9.28,0.10,5.97,50.18,0.07,50.84,89.97,0.08,49.30,6.63,0.07,51.51,91.74,0.08,5.97,51.73,0.11,92.40,57.70,0.08,14.81,40.67,0.10,93.06,54.16,0.10,48.63,7.52,0.08,49.07,86.87,0.07,92.18,51.28,0.08,48.41,8.40,0.08,44.87,89.75,0.08,8.62,48.63,0.08,7.74,42.44,0.10,7.52,45.98,0.08,93.29,53.27,0.10,47.97,5.53,0.10,46.42,87.76,0.09,
53.39,5.56,0.14,46.05,97.66,0.14,8.45,47.16,0.14,95.44,44.27,0.14,6.90,40.49,0.14,99.00,55.62,0.14,52.28,8.23,0.16,51.39,99.66,0.20,98.11,52.95,0.14,55.17,6.67,0.19,45.83,94.99,0.14,8.45,41.16,0.16,35.37,92.77,0.15,43.38,18.69,0.14,11.37,48.15,0.18,87.43,52.50,0.19,15.25,47.31,0.19,94.39,54.60,0.20,50.40,7.96,0.27,48.63,89.09,0.13,87.54,58.58,0.14,10.17,47.97,0.21,44.65,91.96,0.17,47.75,7.07,0.17,48.85,8.40,0.14,58.14,93.73,0.14,87.54,54.60,0.13,10.39,43.11,0.19,37.58,85.11,0.19,94.61,55.26,0.14,48.41,13.48,0.18,8.62,48.85,0.19,12.38,40.67,0.17,91.96,55.04,0.17,47.97,9.51,0.20,6.19,50.18,0.14,50.84,89.31,0.14,49.30,6.41,0.14,51.73,91.30,0.15,6.63,52.17,0.21,91.52,57.70,0.15,16.36,41.34,0.20,91.74,54.16,0.20,48.19,7.74,0.14,49.52,85.33,0.14,91.30,51.51,0.16,47.31,9.51,0.18,44.21,88.64,0.18,9.06,49.30,0.14,9.28,41.56,0.20,7.96,45.76,0.17,92.18,52.39,0.20,47.75,5.53,0.20,45.54,86.21,0.19,
53.61,6.67,0.24,46.27,99.22,0.24,8.45,47.38,0.23,95.44,43.83,0.22,7.12,40.04,0.23,100.11,54.73,0.22,52.72,9.12,0.26,51.61,100.11,0.30,99.00,52.06,0.26,55.17,7.12,0.29,46.27,95.44,0.23,9.12,40.27,0.26,34.70,92.10,0.25,44.49,21.36,0.24,11.82,47.93,0.28,84.76,54.06,0.28,17.24,46.20,0.29,93.73,55.48,0.30,50.40,8.40,0.34,49.74,89.09,0.22,85.77,58.58,0.24,11.94,49.07,0.31,43.99,90.85,0.27,48.19,7.29,0.27,48.19,8.84,0.21,59.91,92.40,0.23,86.43,54.82,0.21,10.83,42.44,0.29,37.80,82.90,0.29,93.73,54.60,0.23,47.53,13.48,0.28,9.95,49.30,0.29,14.37,40.67,0.27,90.41,54.60,0.27,47.31,9.73,0.30,7.07,51.51,0.23,50.84,88.42,0.21,49.07,6.63,0.25,52.17,90.63,0.25,7.07,52.39,0.31,90.63,57.70,0.25,17.68,42.66,0.30,90.41,54.38,0.30,47.31,7.74,0.23,50.40,83.12,0.24,89.97,51.95,0.26,46.42,10.83,0.28,43.99,86.87,0.28,9.06,49.30,0.22,10.83,40.67,0.30,11.05,45.54,0.26,91.30,51.51,0.30,47.08,6.19,0.30,44.65,84.89,0.29,
54.06,6.90,0.34,46.27,100.11,0.34,8.45,47.38,0.33,94.99,43.38,0.32,7.56,39.82,0.32,101.00,53.84,0.32,52.50,10.01,0.36,52.28,100.55,0.40,98.55,50.94,0.32,55.39,8.23,0.39,46.94,96.33,0.33,9.79,39.38,0.36,33.81,91.21,0.35,46.05,24.03,0.34,12.46,47.83,0.38,81.64,55.39,0.38,19.45,45.32,0.39,93.06,56.59,0.40,51.06,8.84,0.41,51.28,88.86,0.32,83.78,58.14,0.34,13.93,49.96,0.41,43.11,89.97,0.37,47.97,7.29,0.37,47.53,9.51,0.31,61.45,91.07,0.33,84.89,55.48,0.31,11.94,42.66,0.39,37.36,80.46,0.39,92.62,54.16,0.33,46.64,13.93,0.38,11.72,50.40,0.40,16.80,41.12,0.37,88.86,54.16,0.37,46.42,9.73,0.40,8.84,53.05,0.34,51.28,86.65,0.31,47.75,7.96,0.34,52.61,90.85,0.35,7.74,53.27,0.41,89.75,57.92,0.35,18.79,44.43,0.40,89.09,54.38,0.40,45.98,9.06,0.33,51.51,80.91,0.34,87.98,52.83,0.36,44.87,12.16,0.38,43.99,84.89,0.38,9.73,50.40,0.32,12.60,40.01,0.40,13.71,44.87,0.37,91.52,50.40,0.40,47.31,6.63,0.40,43.99,83.78,0.39,
53.84,6.45,0.44,46.94,99.89,0.44,8.23,47.38,0.43,94.55,43.38,0.42,7.79,39.38,0.42,101.89,53.17,0.42,51.83,11.35,0.46,53.61,99.89,0.50,97.66,50.05,0.44,55.39,9.34,0.49,47.61,95.66,0.43,10.23,38.49,0.46,33.15,90.32,0.45,47.38,26.92,0.44,14.24,47.83,0.48,78.75,57.40,0.48,21.00,44.21,0.49,91.74,57.92,0.50,52.17,10.17,0.50,52.83,88.42,0.42,81.57,57.47,0.44,16.58,50.84,0.51,42.22,89.31,0.47,47.75,7.52,0.47,46.42,10.61,0.41,63.00,90.41,0.43,83.12,55.93,0.41,12.82,43.33,0.49,36.70,77.81,0.49,91.96,53.94,0.43,45.98,14.59,0.48,13.93,51.28,0.50,19.23,42.44,0.47,87.54,53.27,0.47,45.76,10.61,0.50,10.61,54.82,0.44,52.17,85.55,0.41,47.31,9.51,0.44,53.72,91.30,0.45,8.18,54.16,0.51,88.86,57.70,0.45,19.90,46.20,0.50,87.54,54.82,0.50,45.10,12.16,0.43,52.61,78.25,0.44,85.99,53.72,0.46,43.33,13.71,0.48,44.21,82.45,0.48,10.61,51.06,0.42,14.59,39.35,0.50,16.14,44.21,0.47,92.18,49.07,0.50,47.20,7.07,0.50,44.43,82.67,0.49,
53.61,6.67,0.54,47.38,99.66,0.54,8.01,47.38,0.53,93.66,43.16,0.52,8.45,39.15,0.52,102.33,52.06,0.52,51.83,13.13,0.56,54.73,98.77,0.60,95.44,49.16,0.54,55.39,10.46,0.59,48.72,94.55,0.53,11.57,37.60,0.56,32.03,88.99,0.55,48.05,29.81,0.54,15.79,46.94,0.58,75.86,59.18,0.58,22.99,44.21,0.59,90.19,58.58,0.60,53.72,10.61,0.61,54.16,87.54,0.52,79.14,56.59,0.54,18.79,51.95,0.61,41.12,88.20,0.57,47.31,7.29,0.57,45.76,11.94,0.51,64.11,90.41,0.53,80.69,56.59,0.51,13.71,44.43,0.59,36.03,74.72,0.59,90.85,53.94,0.53,44.65,15.69,0.58,16.14,52.61,0.60,21.44,43.55,0.57,86.21,51.95,0.57,44.87,11.49,0.60,12.16,56.81,0.54,53.05,84.22,0.51,47.75,11.05,0.55,54.82,91.74,0.55,9.06,55.26,0.61,87.76,57.47,0.55,21.22,48.41,0.60,85.33,54.82,0.60,44.65,14.81,0.53,53.72,75.60,0.54,83.78,54.60,0.56,41.78,15.03,0.58,44.21,80.02,0.58,11.94,51.51,0.52,16.80,38.68,0.60,17.68,44.65,0.56,92.62,48.63,0.60,47.97,7.07,0.60,45.54,81.35,0.59,
54.06,6.45,0.64,48.05,99.44,0.64,8.01,47.61,0.63,93.66,42.94,0.62,8.90,38.26,0.62,103.22,51.17,0.62,52.72,14.91,0.66,56.51,95.21,0.70,94.10,49.16,0.61,55.84,11.35,0.69,49.61,92.77,0.63,12.68,36.71,0.66,30.92,87.65,0.65,48.50,32.70,0.64,17.57,47.16,0.68,72.75,61.40,0.68,24.54,45.10,0.69,87.98,58.58,0.70,55.48,11.05,0.70,55.93,86.65,0.62,77.15,55.04,0.64,21.44,53.50,0.71,39.57,87.54,0.67,46.42,7.52,0.67,45.10,13.26,0.61,65.21,90.85,0.63,78.25,57.47,0.61,14.37,46.20,0.69,35.37,72.51,0.69,89.53,53.94,0.63,43.55,17.02,0.68,18.57,54.16,0.69,23.21,45.76,0.67,86.21,50.18,0.67,43.99,12.60,0.70,14.15,58.58,0.63,54.16,83.34,0.61,48.41,12.60,0.64,55.93,92.40,0.65,10.39,56.59,0.71,86.65,56.81,0.65,22.55,50.84,0.70,82.90,55.04,0.70,44.65,17.24,0.63,54.82,72.95,0.64,81.35,54.60,0.66,41.12,15.25,0.68,44.43,77.15,0.68,13.26,52.17,0.62,19.45,38.02,0.70,19.23,45.10,0.67,93.73,49.30,0.70,48.41,7.74,0.70,47.08,80.69,0.69,
53.61,5.78,0.74,49.16,99.22,0.74,7.56,47.61,0.73,93.43,42.71,0.72,9.79,38.04,0.72,103.00,50.50,0.72,53.84,16.91,0.76,57.17,92.10,0.80,91.43,49.83,0.72,56.28,12.90,0.79,49.83,90.10,0.73,14.24,35.82,0.76,29.37,86.09,0.75,49.16,36.26,0.74,19.58,47.61,0.78,69.63,63.40,0.78,25.42,46.42,0.79,85.33,58.14,0.80,56.37,11.72,0.81,57.03,85.33,0.72,75.60,53.27,0.74,23.87,55.71,0.81,37.80,86.87,0.77,45.10,8.40,0.77,44.43,14.81,0.71,65.21,90.85,0.73,75.60,58.36,0.71,15.69,47.97,0.79,34.26,70.52,0.79,87.98,54.38,0.73,42.22,19.01,0.78,21.22,55.93,0.80,24.98,48.41,0.77,86.87,48.41,0.77,43.77,14.37,0.80,16.14,60.79,0.74,55.93,82.45,0.71,49.52,14.37,0.75,56.37,93.06,0.75,11.94,57.92,0.81,85.77,56.15,0.75,23.87,53.50,0.80,79.80,55.26,0.80,44.21,19.23,0.73,56.15,69.85,0.74,79.58,53.50,0.76,40.01,15.25,0.78,44.43,74.27,0.78,15.03,52.39,0.72,22.33,37.58,0.80,19.90,46.20,0.76,94.61,50.18,0.80,49.74,8.40,0.80,49.30,80.02,0.79,
