dd_824,5/25/2007,10:21 a.m
x,y,t
237.61,51.20,0.03
237.61,51.20,0.07
237.61,51.20,0.10
237.61,51.20,0.13
237.61,51.20,0.17
237.61,51.20,0.20
237.61,51.20,0.23
237.16,51.20,0.27
237.61,51.20,0.30
237.61,51.20,0.33
237.61,51.64,0.37
237.61,51.64,0.40
237.61,51.64,0.43
237.16,51.64,0.47
236.72,52.09,0.50
237.16,52.09,0.53
237.61,52.54,0.57
237.61,52.54,0.60
238.05,52.54,0.63
238.49,52.99,0.67
238.49,52.99,0.70
239.38,53.44,0.73
239.38,53.89,0.77
239.38,53.89,0.80
239.82,53.89,0.83
240.27,54.34,0.87
240.27,54.79,0.90
240.71,55.24,0.93
240.71,55.24,0.97
240.71,55.24,1.00
240.71,55.24,1.03
240.71,55.24,1.07
240.71,55.69,1.10
240.71,56.58,1.13
240.71,57.03,1.17
240.71,57.03,1.20
240.71,57.48,1.23
240.27,57.93,1.27
239.82,58.83,1.30
239.38,59.73,1.33
238.94,60.18,1.37
238.94,60.18,1.40
238.49,60.63,1.43
238.49,60.63,1.47
237.61,61.08,1.50
236.72,61.97,1.53
236.28,62.42,1.57
236.28,62.42,1.60
235.84,62.87,1.63
235.39,63.32,1.67
234.95,63.32,1.70
234.06,64.22,1.74
233.62,64.67,1.77
233.62,64.67,1.80
233.18,65.57,1.84
232.29,66.02,1.87
232.29,66.46,1.90
231.40,66.91,1.94
230.96,67.81,1.97
230.96,67.81,2.00
230.52,68.26,2.04
230.52,68.71,2.07
230.07,69.16,2.10
229.63,70.06,2.14
229.19,70.96,2.17
229.19,70.96,2.20
228.74,71.40,2.24
228.30,71.85,2.27
228.30,72.30,2.30
227.41,74.10,2.34
226.97,74.55,2.37
226.97,74.55,2.40
226.53,75.45,2.44
226.08,76.34,2.47
225.64,76.34,2.50
224.75,77.24,2.54
224.31,78.14,2.57
224.31,78.14,2.60
223.87,78.59,2.64
223.42,79.04,2.67
222.98,79.49,2.70
221.21,80.84,2.74
220.32,81.73,2.77
220.32,81.73,2.80
219.88,82.63,2.84
218.99,83.08,2.87
218.10,83.98,2.90
216.33,85.33,2.94
215.44,86.22,2.97
215.44,86.22,3.00
214.56,86.67,3.04
213.67,87.57,3.07
213.23,88.02,3.10
211.90,88.92,3.14
211.01,90.27,3.17
211.01,90.27,3.20
209.68,91.16,3.24
208.79,92.51,3.27
207.46,93.41,3.30
205.69,96.10,3.34
206.13,95.66,3.37
206.13,95.66,3.40
205.25,97.00,3.44
204.36,98.35,3.47
203.47,99.25,3.50
202.14,102.39,3.54
202.14,102.84,3.57
202.14,102.84,3.60
201.70,103.29,3.64
201.70,103.74,3.67
201.26,104.19,3.70
200.81,105.98,3.74
200.37,106.43,3.77
200.37,106.43,3.80
199.93,107.78,3.84
197.71,109.58,3.87
198.60,110.03,3.90
197.71,112.27,3.94
196.82,113.62,3.97
196.82,113.62,4.00
196.38,114.97,4.04
195.94,115.86,4.07
194.61,117.21,4.10
193.72,119.91,4.14
192.39,119.01,4.17
192.39,119.01,4.20
192.39,120.36,4.24
191.95,123.50,4.27
191.51,123.95,4.30
191.51,125.74,4.34
190.62,126.19,4.37
190.62,126.19,4.40
190.18,127.54,4.44
190.18,128.44,4.47
189.73,129.34,4.50
189.29,131.13,4.54
188.85,132.03,4.57
188.85,132.03,4.60
188.85,132.93,4.64
188.40,133.38,4.67
188.40,134.28,4.70
187.96,135.62,4.74
187.52,136.52,4.77
187.52,136.52,4.80
187.07,137.42,4.84
186.63,137.87,4.87
185.74,138.77,4.90
185.74,139.67,4.94
184.86,140.11,4.97
184.86,140.11,5.00
183.97,141.01,5.04
183.53,141.46,5.07
182.64,141.91,5.11
181.31,142.81,5.14
