dd_505,5/25/2007,10:21 a.m.
x,y,t
243.63,50.11,0.03
243.17,49.66,0.07
242.72,48.76,0.10
241.80,47.85,0.13
241.35,47.40,0.17
241.35,47.40,0.20
240.89,46.95,0.23
239.98,46.50,0.27
239.52,46.05,0.30
238.15,44.69,0.33
237.70,44.24,0.37
237.70,44.24,0.40
236.79,43.79,0.43
235.87,43.34,0.47
235.42,42.89,0.50
233.14,41.53,0.53
232.22,41.08,0.57
232.22,41.08,0.60
231.77,40.63,0.63
230.85,40.18,0.67
229.94,39.73,0.70
228.12,38.82,0.73
226.75,38.37,0.77
226.75,38.37,0.80
225.38,37.92,0.83
224.01,37.47,0.87
223.10,37.02,0.90
221.73,36.57,0.93
219.90,36.12,0.97
219.90,36.12,1.00
218.99,35.66,1.03
218.08,35.66,1.07
218.54,35.66,1.10
216.71,35.66,1.13
216.25,35.66,1.17
216.25,35.66,1.20
214.89,35.21,1.23
213.97,34.76,1.27
212.15,34.31,1.30
208.95,33.41,1.33
208.04,33.41,1.37
207.59,33.41,1.40
206.22,32.96,1.43
204.85,32.96,1.47
203.94,32.96,1.50
202.11,32.50,1.53
200.74,32.50,1.57
200.74,32.50,1.60
199.83,32.05,1.63
198.46,32.05,1.67
197.55,32.05,1.70
195.72,32.50,1.74
194.36,32.50,1.77
194.36,32.50,1.80
193.44,32.50,1.84
192.53,32.50,1.87
191.62,32.50,1.90
189.79,32.50,1.94
188.42,32.96,1.97
188.42,32.96,2.00
187.97,32.96,2.04
187.06,32.96,2.07
185.69,32.96,2.10
183.41,33.41,2.14
182.95,33.41,2.17
182.95,33.41,2.20
182.49,33.86,2.24
181.58,33.86,2.27
180.67,33.86,2.30
178.39,34.31,2.34
176.56,34.31,2.37
176.56,34.31,2.40
175.65,34.76,2.44
174.74,35.21,2.47
173.82,35.21,2.50
171.09,36.12,2.54
170.18,36.12,2.57
170.18,36.12,2.60
169.26,36.57,2.64
168.35,37.02,2.67
166.98,37.02,2.70
165.16,37.92,2.74
164.24,38.37,2.77
164.24,38.37,2.80
162.88,38.82,2.84
162.42,38.82,2.87
161.05,39.73,2.90
159.68,40.18,2.94
158.77,40.63,2.97
158.77,40.63,3.00
157.86,41.08,3.04
156.94,41.53,3.07
156.49,41.98,3.10
155.58,42.89,3.14
154.66,43.34,3.17
154.66,43.34,3.20
154.21,43.79,3.24
153.29,44.69,3.27
153.29,45.14,3.30
152.84,45.60,3.34
152.84,46.05,3.37
152.84,46.05,3.40
152.84,46.50,3.44
152.38,46.95,3.47
151.93,47.40,3.50
151.93,47.85,3.54
151.93,47.85,3.57
151.93,47.85,3.60
151.93,48.30,3.64
151.93,49.21,3.67
151.93,49.21,3.70
152.38,49.66,3.74
152.38,49.66,3.77
152.38,49.66,3.80
152.38,50.11,3.84
152.84,50.56,3.87
152.84,51.01,3.90
152.84,51.01,3.94
152.84,51.46,3.97
152.84,51.46,4.00
152.38,51.46,4.04
152.38,51.92,4.07
152.38,51.92,4.10
152.38,52.37,4.14
152.38,52.37,4.17
152.38,52.37,4.20
152.38,52.82,4.24
152.38,52.82,4.27
152.38,53.27,4.30
152.38,53.27,4.34
152.38,53.27,4.37
152.38,53.27,4.40
151.93,53.72,4.44
151.47,54.17,4.47
151.01,54.17,4.50
151.01,54.17,4.54
150.56,54.62,4.57
150.56,54.62,4.60
150.56,54.62,4.64
150.10,55.08,4.67
150.10,55.08,4.70
149.64,55.53,4.74
149.64,55.53,4.77
149.64,55.53,4.80
149.64,55.53,4.84
149.64,55.98,4.87
149.64,55.98,4.90
149.19,56.43,4.94
149.19,56.43,4.97
149.19,56.43,5.00
149.19,56.43,5.04
149.19,56.88,5.07
149.19,56.88,5.11
148.73,57.33,5.14
148.73,57.33,5.17
148.73,57.33,5.21
148.28,57.78,5.24
148.28,57.78,5.27
147.82,58.24,5.31
