31-1.29,6/1/2007.2,10:36 AM.1
x,y,t
91.96,57.47,0.00
91.52,57.92,0.08
91.30,57.92,0.14
90.19,57.70,0.24
89.31,57.70,0.34
88.42,57.70,0.44
87.98,57.47,0.54
87.10,57.25,0.64
86.65,57.70,0.74
85.77,57.92,0.84
85.11,58.58,0.94
84.22,59.24,1.04
82.90,59.69,1.14
82.01,60.35,1.24
80.46,60.79,1.34
78.47,60.57,1.44
76.26,60.13,1.54
73.61,59.69,1.64
71.18,58.36,1.74
68.75,57.25,1.84
66.32,56.15,1.94
63.89,55.48,2.04
61.67,55.48,2.14
59.02,55.93,2.24
57.03,56.81,2.34
55.48,58.14,2.44
53.94,59.69,2.54
52.83,60.35,2.64
51.51,61.01,2.74
50.62,61.23,2.84
49.30,60.79,2.94
48.19,60.13,3.04
47.08,58.80,3.14
45.98,56.81,3.24
45.32,55.04,3.34
45.32,54.16,3.44
45.76,53.05,3.54
46.42,52.39,3.64
47.31,52.61,3.74
48.63,53.05,3.84
49.52,54.60,3.94
50.18,55.93,4.04
49.96,58.14,4.14
49.30,60.57,4.24
48.85,63.00,4.34
48.63,65.43,4.44
48.41,68.09,4.54
47.97,70.96,4.64
48.41,73.39,4.74
48.63,75.38,4.84
48.63,76.49,4.94
48.19,77.81,5.04
47.75,79.14,5.14
46.86,79.58,5.24
45.54,79.80,5.34
43.99,79.36,5.44
42.66,78.03,5.54
41.12,76.71,5.64
40.01,74.94,5.74
39.35,72.51,5.84
38.46,70.74,5.94
37.80,68.53,6.04
36.92,66.32,6.14
36.25,64.77,6.24
36.92,63.22,6.34
37.58,61.01,6.44
39.35,59.91,6.54
40.45,58.80,6.64
41.78,59.24,6.74
42.88,59.91,6.84
43.77,61.23,6.94
44.65,63.22,7.04
44.65,65.43,7.14
44.65,67.64,7.24
44.21,70.30,7.34
43.55,73.17,7.44
43.11,75.60,7.54
43.11,78.47,7.64
42.22,80.24,7.74
41.78,81.79,7.84
40.67,82.90,7.94
39.79,83.34,8.04
38.46,83.12,8.14
36.92,82.23,8.24
35.81,81.35,8.34
34.48,79.36,8.44
33.60,77.59,8.54
32.94,75.16,8.64
32.72,73.39,8.74
32.94,72.51,8.84
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
