31-1.37,6/4/2007.1,1:25 PM
x,y,t
49.96,8.18,0.00
49.96,8.40,0.08
49.52,8.84,0.18
49.52,9.28,0.28
49.52,9.73,0.38
49.74,10.61,0.49
49.52,11.05,0.58
49.30,12.38,0.68
49.07,13.71,0.78
49.30,15.03,0.88
49.30,16.58,0.98
48.85,18.13,1.08
48.85,20.34,1.18
48.19,22.55,1.28
47.53,24.98,1.38
46.20,27.41,1.48
44.43,29.18,1.58
42.66,30.51,1.68
40.67,31.83,1.78
39.79,32.72,1.88
38.46,33.82,1.98
36.92,35.59,2.08
35.59,37.36,2.18
34.04,39.35,2.28
31.83,40.90,2.38
30.28,41.78,2.48
28.30,41.78,2.58
26.97,42.00,2.68
26.31,42.66,2.78
25.20,43.11,2.88
24.32,43.77,2.98
23.87,45.10,3.08
23.65,46.64,3.18
23.65,48.41,3.28
24.10,50.62,3.38
23.87,52.17,3.48
22.99,53.94,3.58
22.11,55.04,3.68
21.22,55.93,3.78
20.78,55.48,3.88
19.90,55.26,3.98
19.90,54.82,4.08
20.56,54.16,4.18
21.88,53.27,4.28
24.10,52.83,4.38
26.31,52.17,4.48
28.07,51.28,4.58
29.18,49.96,4.68
30.28,47.97,4.78
30.28,46.86,4.88
29.62,45.76,4.98
28.52,44.65,5.08
27.41,43.77,5.18
25.86,43.77,5.28
24.98,44.21,5.38
24.32,45.10,5.48
23.65,45.98,5.58
23.65,47.31,5.68
23.87,49.07,5.78
24.32,50.84,5.88
24.76,52.61,5.98
25.64,54.60,6.08
26.53,55.93,6.18
27.85,57.47,6.28
29.62,59.24,6.38
30.73,60.79,6.48
31.61,62.78,6.58
31.61,64.33,6.68
30.95,65.43,6.78
30.28,66.32,6.88
29.18,66.54,6.98
28.30,66.10,7.08
27.41,65.65,7.18
27.19,64.77,7.28
27.85,64.11,7.38
28.74,63.00,7.48
30.28,62.56,7.58
32.27,62.12,7.68
33.38,61.45,7.78
35.15,60.57,7.88
36.25,59.24,7.98
37.14,57.47,8.08
38.24,56.15,8.18
39.35,55.04,8.28
40.23,54.60,8.38
41.34,55.04,8.48
42.44,55.71,8.58
43.55,57.25,8.68
44.65,59.02,8.78
45.54,61.01,8.88
46.64,63.22,8.98
47.53,65.65,9.08
48.41,67.64,9.18
49.07,70.07,9.28
48.41,72.06,9.38
47.75,73.17,9.48
47.08,73.83,9.58
45.76,74.05,9.68
43.99,73.39,9.78
42.00,72.51,9.88
40.23,71.40,9.98
38.02,70.07,10.08
36.25,68.31,10.18
34.48,66.54,10.28
33.16,64.55,10.38
32.27,62.56,10.48
31.61,59.91,10.58
31.17,57.47,10.68
30.51,54.82,10.78
29.62,52.17,10.88
28.30,49.74,10.98
26.97,47.31,11.08
25.86,44.87,11.18
24.76,42.22,11.28
23.87,39.57,11.38
22.99,36.92,11.48
22.55,34.48,11.58
22.99,32.50,11.68
23.65,31.17,11.78
24.76,29.62,11.88
26.53,28.74,11.98
28.30,27.63,12.08
29.40,26.53,12.18
30.95,24.76,12.28
31.83,22.77,12.38
32.72,20.56,12.48
33.16,18.57,12.58
33.60,15.92,12.68
33.82,13.93,12.78
33.82,11.72,12.88
34.26,10.17,12.98
34.71,8.84,13.08
34.93,8.40,13.18
35.15,8.40,13.28
35.81,8.62,13.38
37.58,9.28,13.48
40.01,10.61,13.58
42.00,11.94,13.68
43.77,13.48,13.78
45.54,15.25,13.88
47.31,17.46,13.98
48.63,19.23,14.08
50.18,21.44,14.18
52.17,23.43,14.28
53.94,25.64,14.38
55.71,27.41,14.48
57.92,29.18,14.58
60.13,30.28,14.68
62.12,30.28,14.78
63.66,29.84,14.88
65.21,28.52,14.98
66.10,26.75,15.08
66.54,24.76,15.18
66.76,22.33,15.28
66.76,19.67,15.38
66.54,17.46,15.48
66.76,15.03,15.58
66.98,12.60,15.68
67.42,10.39,15.78
68.09,8.62,15.88
68.53,7.74,15.98
68.31,7.52,16.08
67.86,7.74,16.18
67.42,7.96,16.28
67.42,8.40,16.38
67.42,8.40,16.48
67.64,8.18,16.58
67.64,8.40,16.68
67.64,8.84,16.78
68.09,9.28,16.88
67.42,10.17,16.98
66.76,11.49,17.08
65.65,12.60,17.18
64.33,13.71,17.28
62.12,14.81,17.38
59.91,15.92,17.48
57.47,16.80,17.58
55.26,17.91,17.68
52.83,18.57,17.78
50.18,19.90,17.88
48.19,21.44,17.98
45.98,23.43,18.08
43.99,25.64,18.18
42.00,28.07,18.28
40.23,29.84,18.38
38.02,31.39,18.48
35.59,32.50,18.58
32.72,33.82,18.68
30.51,35.15,18.78
27.63,36.92,18.88
24.98,38.68,18.98
22.33,40.67,19.08
19.67,42.44,19.18
17.02,44.43,19.28
14.59,46.42,19.38
11.94,48.63,19.48
9.51,50.62,19.58
7.29,52.39,19.68
5.97,53.72,19.78
5.53,53.94,19.88
5.75,54.16,19.98
5.97,54.38,20.08
6.19,54.38,20.18
6.26,54.38,20.28
6.85,54.82,20.38
7.29,55.04,20.48
7.52,55.26,20.58
7.74,55.93,20.68
8.18,56.81,20.78
9.06,58.14,20.88
9.95,59.24,20.98
11.49,60.57,21.08
13.26,61.67,21.18
15.03,63.22,21.28
16.80,65.21,21.38
18.35,66.32,21.48
19.90,68.09,21.58
21.66,69.19,21.68
23.65,70.74,21.78
25.20,72.73,21.88
26.08,74.94,21.98
27.19,77.37,22.08
28.30,80.02,22.18
28.96,82.90,22.28
29.62,85.11,22.38
30.95,87.10,22.48
31.83,88.42,22.58
32.72,89.31,22.68
34.04,89.09,22.78
35.15,88.64,22.88
35.81,86.87,22.98
35.81,86.21,23.08
35.37,84.00,23.18
34.48,81.79,23.28
33.60,79.36,23.38
32.72,76.49,23.48
31.83,74.05,23.58
31.17,70.96,23.68
31.39,68.53,23.78
32.27,66.76,23.88
34.04,65.65,23.98
35.59,64.77,24.08
37.58,64.77,24.18
39.57,65.21,24.28
41.78,66.10,24.38
43.99,66.98,24.48
45.32,68.09,24.58
46.64,69.41,24.68
46.64,70.52,24.78
46.20,71.84,24.88
45.76,72.51,24.98
44.43,73.17,25.08
42.88,72.95,25.18
38.24,70.52,25.44
36.47,69.41,25.53
33.82,67.20,25.67
32.27,65.87,25.74
30.73,64.55,25.80
26.75,61.01,25.96
24.32,57.92,26.10
22.55,55.93,26.18
20.78,51.95,26.32
19.90,48.41,26.43
19.01,45.54,26.53
17.91,41.12,26.68
16.58,37.80,26.80
